device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=min_max
round   1 | acc=0.3674 | bsr=nan | agg=0.18s
round   2 | acc=0.5253 | bsr=nan | agg=0.18s
round   3 | acc=0.6168 | bsr=nan | agg=0.17s
round   4 | acc=0.6706 | bsr=nan | agg=0.17s
round   5 | acc=0.6876 | bsr=nan | agg=0.20s
round   6 | acc=0.7037 | bsr=nan | agg=0.17s
round   7 | acc=0.7286 | bsr=nan | agg=0.18s
round   8 | acc=0.7328 | bsr=nan | agg=0.18s
round   9 | acc=0.7305 | bsr=nan | agg=0.17s
round  10 | acc=0.7444 | bsr=nan | agg=0.17s
round  11 | acc=0.7610 | bsr=nan | agg=0.17s
round  12 | acc=0.7642 | bsr=nan | agg=0.17s
round  13 | acc=0.7663 | bsr=nan | agg=0.17s
round  14 | acc=0.7647 | bsr=nan | agg=0.17s
round  15 | acc=0.7702 | bsr=nan | agg=0.18s
round  16 | acc=0.7739 | bsr=nan | agg=0.17s
round  17 | acc=0.7791 | bsr=nan | agg=0.17s
round  18 | acc=0.7790 | bsr=nan | agg=0.17s
round  19 | acc=0.7818 | bsr=nan | agg=0.18s
round  20 | acc=0.7875 | bsr=nan | agg=0.17s
round  21 | acc=0.7938 | bsr=nan | agg=0.17s
round  22 | acc=0.7889 | bsr=nan | agg=0.17s
round  23 | acc=0.7975 | bsr=nan | agg=0.17s
round  24 | acc=0.8021 | bsr=nan | agg=0.18s
round  25 | acc=0.8045 | bsr=nan | agg=0.17s
round  26 | acc=0.8098 | bsr=nan | agg=0.18s
round  27 | acc=0.8067 | bsr=nan | agg=0.17s
round  28 | acc=0.8085 | bsr=nan | agg=0.18s
round  29 | acc=0.8184 | bsr=nan | agg=0.18s
round  30 | acc=0.8177 | bsr=nan | agg=0.18s
round  31 | acc=0.8119 | bsr=nan | agg=0.18s
round  32 | acc=0.8079 | bsr=nan | agg=0.18s
round  33 | acc=0.8144 | bsr=nan | agg=0.18s
round  34 | acc=0.8164 | bsr=nan | agg=0.17s
round  35 | acc=0.8157 | bsr=nan | agg=0.18s
round  36 | acc=0.8213 | bsr=nan | agg=0.15s
round  37 | acc=0.8220 | bsr=nan | agg=0.18s
round  38 | acc=0.8254 | bsr=nan | agg=0.15s
round  39 | acc=0.8224 | bsr=nan | agg=0.16s
round  40 | acc=0.8260 | bsr=nan | agg=0.15s
round  41 | acc=0.8266 | bsr=nan | agg=0.16s
round  42 | acc=0.8310 | bsr=nan | agg=0.18s
round  43 | acc=0.8357 | bsr=nan | agg=0.18s
round  44 | acc=0.8356 | bsr=nan | agg=0.18s
round  45 | acc=0.8369 | bsr=nan | agg=0.18s
round  46 | acc=0.8391 | bsr=nan | agg=0.18s
round  47 | acc=0.8383 | bsr=nan | agg=0.18s
round  48 | acc=0.8412 | bsr=nan | agg=0.18s
round  49 | acc=0.8422 | bsr=nan | agg=0.18s
round  50 | acc=0.8399 | bsr=nan | agg=0.18s
round  51 | acc=0.8394 | bsr=nan | agg=0.18s
round  52 | acc=0.8405 | bsr=nan | agg=0.18s
round  53 | acc=0.8461 | bsr=nan | agg=0.18s
round  54 | acc=0.8425 | bsr=nan | agg=0.18s
round  55 | acc=0.8431 | bsr=nan | agg=0.18s
round  56 | acc=0.8452 | bsr=nan | agg=0.18s
round  57 | acc=0.8459 | bsr=nan | agg=0.15s
round  58 | acc=0.8476 | bsr=nan | agg=0.15s
round  59 | acc=0.8483 | bsr=nan | agg=0.15s
round  60 | acc=0.8500 | bsr=nan | agg=0.16s
