round   1 | acc=0.0625 | bsr=nan | agg=0.50s | det_auroc=0.984 | tpr@5=0.75
round   2 | acc=0.0855 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.1057 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.2221 | bsr=nan | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.4517 | bsr=nan | agg=0.54s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5054 | bsr=nan | agg=0.54s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5161 | bsr=nan | agg=0.53s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.5068 | bsr=nan | agg=0.52s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.5027 | bsr=nan | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.5167 | bsr=nan | agg=0.58s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.5594 | bsr=nan | agg=0.56s | det_auroc=0.969 | tpr@5=0.50
round  12 | acc=0.5792 | bsr=nan | agg=0.43s | det_auroc=0.953 | tpr@5=0.25
round  13 | acc=0.6020 | bsr=nan | agg=0.45s | det_auroc=0.969 | tpr@5=0.50
round  14 | acc=0.6141 | bsr=nan | agg=0.51s | det_auroc=0.969 | tpr@5=0.50
round  15 | acc=0.6205 | bsr=nan | agg=0.42s | det_auroc=0.969 | tpr@5=0.50
round  16 | acc=0.6319 | bsr=nan | agg=0.42s | det_auroc=0.953 | tpr@5=0.50
round  17 | acc=0.6392 | bsr=nan | agg=0.54s | det_auroc=0.969 | tpr@5=0.50
round  18 | acc=0.6458 | bsr=nan | agg=0.54s | det_auroc=0.969 | tpr@5=0.50
round  19 | acc=0.6540 | bsr=nan | agg=0.39s | det_auroc=0.922 | tpr@5=0.50
round  20 | acc=0.6595 | bsr=nan | agg=0.52s | det_auroc=0.875 | tpr@5=0.50
round  21 | acc=0.6671 | bsr=nan | agg=0.53s | det_auroc=0.953 | tpr@5=0.50
round  22 | acc=0.6716 | bsr=nan | agg=0.46s | det_auroc=0.828 | tpr@5=0.25
round  23 | acc=0.6751 | bsr=nan | agg=0.54s | det_auroc=0.859 | tpr@5=0.25
round  24 | acc=0.6796 | bsr=nan | agg=0.53s | det_auroc=0.828 | tpr@5=0.25
round  25 | acc=0.6856 | bsr=nan | agg=0.51s | det_auroc=0.766 | tpr@5=0.00
round  26 | acc=0.6935 | bsr=nan | agg=0.49s | det_auroc=0.875 | tpr@5=0.00
round  27 | acc=0.6960 | bsr=nan | agg=0.50s | det_auroc=0.875 | tpr@5=0.50
round  28 | acc=0.6961 | bsr=nan | agg=0.52s | det_auroc=0.875 | tpr@5=0.00
round  29 | acc=0.7052 | bsr=nan | agg=0.48s | det_auroc=0.938 | tpr@5=0.50
round  30 | acc=0.7111 | bsr=nan | agg=0.52s | det_auroc=0.797 | tpr@5=0.00
round  31 | acc=0.7135 | bsr=nan | agg=0.55s | det_auroc=0.812 | tpr@5=0.00
round  32 | acc=0.7146 | bsr=nan | agg=0.54s | det_auroc=0.891 | tpr@5=0.00
round  33 | acc=0.7162 | bsr=nan | agg=0.52s | det_auroc=0.844 | tpr@5=0.25
round  34 | acc=0.7178 | bsr=nan | agg=0.45s | det_auroc=0.812 | tpr@5=0.00
round  35 | acc=0.7191 | bsr=nan | agg=0.48s | det_auroc=0.797 | tpr@5=0.00
round  36 | acc=0.7174 | bsr=nan | agg=0.49s | det_auroc=0.781 | tpr@5=0.00
round  37 | acc=0.7186 | bsr=nan | agg=0.54s | det_auroc=0.922 | tpr@5=0.00
round  38 | acc=0.7220 | bsr=nan | agg=0.53s | det_auroc=0.859 | tpr@5=0.00
round  39 | acc=0.7238 | bsr=nan | agg=0.54s | det_auroc=0.906 | tpr@5=0.00
round  40 | acc=0.7259 | bsr=nan | agg=0.53s | det_auroc=0.906 | tpr@5=0.25
round  41 | acc=0.7272 | bsr=nan | agg=0.54s | det_auroc=0.859 | tpr@5=0.25
round  42 | acc=0.7302 | bsr=nan | agg=0.50s | det_auroc=0.719 | tpr@5=0.00
round  43 | acc=0.7307 | bsr=nan | agg=0.51s | det_auroc=0.891 | tpr@5=0.00
round  44 | acc=0.7298 | bsr=nan | agg=0.53s | det_auroc=0.906 | tpr@5=0.00
round  45 | acc=0.7317 | bsr=nan | agg=0.51s | det_auroc=0.828 | tpr@5=0.00
round  46 | acc=0.7356 | bsr=nan | agg=0.41s | det_auroc=0.781 | tpr@5=0.00
round  47 | acc=0.7374 | bsr=nan | agg=0.56s | det_auroc=0.906 | tpr@5=0.25
round  48 | acc=0.7394 | bsr=nan | agg=0.49s | det_auroc=0.875 | tpr@5=0.25
round  49 | acc=0.7408 | bsr=nan | agg=0.54s | det_auroc=0.891 | tpr@5=0.25
round  50 | acc=0.7437 | bsr=nan | agg=0.46s | det_auroc=0.891 | tpr@5=0.00
round  51 | acc=0.7463 | bsr=nan | agg=0.51s | det_auroc=0.875 | tpr@5=0.25
round  52 | acc=0.7485 | bsr=nan | agg=0.51s | det_auroc=0.859 | tpr@5=0.25
round  53 | acc=0.7529 | bsr=nan | agg=0.49s | det_auroc=0.828 | tpr@5=0.00
round  54 | acc=0.7519 | bsr=nan | agg=0.51s | det_auroc=0.891 | tpr@5=0.00
round  55 | acc=0.7532 | bsr=nan | agg=0.51s | det_auroc=0.703 | tpr@5=0.00
round  56 | acc=0.7550 | bsr=nan | agg=0.51s | det_auroc=0.906 | tpr@5=0.00
round  57 | acc=0.7558 | bsr=nan | agg=0.46s | det_auroc=0.906 | tpr@5=0.00
round  58 | acc=0.7603 | bsr=nan | agg=0.52s | det_auroc=0.812 | tpr@5=0.00
round  59 | acc=0.7624 | bsr=nan | agg=0.53s | det_auroc=0.859 | tpr@5=0.25
round  60 | acc=0.7662 | bsr=nan | agg=0.53s | det_auroc=0.844 | tpr@5=0.25
