round   1 | acc=0.3721 | bsr=nan | agg=0.02s
round   2 | acc=0.4687 | bsr=nan | agg=0.02s
round   3 | acc=0.5944 | bsr=nan | agg=0.02s
round   4 | acc=0.6143 | bsr=nan | agg=0.02s
round   5 | acc=0.6479 | bsr=nan | agg=0.02s
round   6 | acc=0.6654 | bsr=nan | agg=0.02s
round   7 | acc=0.6851 | bsr=nan | agg=0.02s
round   8 | acc=0.6911 | bsr=nan | agg=0.02s
round   9 | acc=0.6888 | bsr=nan | agg=0.02s
round  10 | acc=0.7075 | bsr=nan | agg=0.02s
round  11 | acc=0.7311 | bsr=nan | agg=0.02s
round  12 | acc=0.7334 | bsr=nan | agg=0.02s
round  13 | acc=0.7361 | bsr=nan | agg=0.02s
round  14 | acc=0.7391 | bsr=nan | agg=0.02s
round  15 | acc=0.7408 | bsr=nan | agg=0.02s
round  16 | acc=0.7425 | bsr=nan | agg=0.02s
round  17 | acc=0.7519 | bsr=nan | agg=0.02s
round  18 | acc=0.7568 | bsr=nan | agg=0.02s
round  19 | acc=0.7574 | bsr=nan | agg=0.02s
round  20 | acc=0.7555 | bsr=nan | agg=0.02s
round  21 | acc=0.7646 | bsr=nan | agg=0.02s
round  22 | acc=0.7675 | bsr=nan | agg=0.02s
round  23 | acc=0.7804 | bsr=nan | agg=0.02s
round  24 | acc=0.7719 | bsr=nan | agg=0.02s
round  25 | acc=0.7804 | bsr=nan | agg=0.02s
round  26 | acc=0.7794 | bsr=nan | agg=0.02s
round  27 | acc=0.7849 | bsr=nan | agg=0.03s
round  28 | acc=0.7943 | bsr=nan | agg=0.02s
round  29 | acc=0.7909 | bsr=nan | agg=0.02s
round  30 | acc=0.7866 | bsr=nan | agg=0.02s
round  31 | acc=0.7901 | bsr=nan | agg=0.02s
round  32 | acc=0.7947 | bsr=nan | agg=0.02s
round  33 | acc=0.7986 | bsr=nan | agg=0.02s
round  34 | acc=0.7982 | bsr=nan | agg=0.02s
round  35 | acc=0.8004 | bsr=nan | agg=0.02s
round  36 | acc=0.8086 | bsr=nan | agg=0.02s
round  37 | acc=0.8086 | bsr=nan | agg=0.02s
round  38 | acc=0.8083 | bsr=nan | agg=0.03s
round  39 | acc=0.8140 | bsr=nan | agg=0.02s
round  40 | acc=0.8132 | bsr=nan | agg=0.02s
round  41 | acc=0.8154 | bsr=nan | agg=0.02s
round  42 | acc=0.8200 | bsr=nan | agg=0.02s
round  43 | acc=0.8184 | bsr=nan | agg=0.03s
round  44 | acc=0.8127 | bsr=nan | agg=0.02s
round  45 | acc=0.8274 | bsr=nan | agg=0.02s
round  46 | acc=0.8277 | bsr=nan | agg=0.02s
round  47 | acc=0.8313 | bsr=nan | agg=0.02s
round  48 | acc=0.8299 | bsr=nan | agg=0.02s
round  49 | acc=0.8247 | bsr=nan | agg=0.02s
round  50 | acc=0.8236 | bsr=nan | agg=0.02s
round  51 | acc=0.8212 | bsr=nan | agg=0.02s
round  52 | acc=0.8315 | bsr=nan | agg=0.02s
round  53 | acc=0.8383 | bsr=nan | agg=0.02s
round  54 | acc=0.8261 | bsr=nan | agg=0.02s
round  55 | acc=0.8346 | bsr=nan | agg=0.02s
round  56 | acc=0.8289 | bsr=nan | agg=0.02s
round  57 | acc=0.8371 | bsr=nan | agg=0.02s
round  58 | acc=0.8360 | bsr=nan | agg=0.02s
round  59 | acc=0.8397 | bsr=nan | agg=0.02s
round  60 | acc=0.8402 | bsr=nan | agg=0.02s
