device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0549 | bsr=0.000 | agg=0.22s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1321 | bsr=0.010 | agg=0.14s | det_auroc=0.828 | tpr@5=0.00
round   3 | acc=0.3511 | bsr=0.423 | agg=0.14s | det_auroc=0.859 | tpr@5=0.00
round   4 | acc=0.3995 | bsr=0.481 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round   5 | acc=0.5020 | bsr=0.419 | agg=0.12s | det_auroc=0.953 | tpr@5=0.50
round   6 | acc=0.6095 | bsr=0.323 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6687 | bsr=0.234 | agg=0.14s | det_auroc=0.953 | tpr@5=0.50
round   8 | acc=0.6955 | bsr=0.154 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round   9 | acc=0.6925 | bsr=0.121 | agg=0.14s | det_auroc=0.906 | tpr@5=0.00
round  10 | acc=0.6990 | bsr=0.108 | agg=0.14s | det_auroc=0.797 | tpr@5=0.00
round  11 | acc=0.6950 | bsr=0.093 | agg=0.15s | det_auroc=0.750 | tpr@5=0.00
round  12 | acc=0.7016 | bsr=0.093 | agg=0.14s | det_auroc=0.766 | tpr@5=0.00
round  13 | acc=0.7141 | bsr=0.096 | agg=0.13s | det_auroc=0.688 | tpr@5=0.00
round  14 | acc=0.7217 | bsr=0.095 | agg=0.14s | det_auroc=0.641 | tpr@5=0.00
round  15 | acc=0.7244 | bsr=0.092 | agg=0.14s | det_auroc=0.531 | tpr@5=0.00
round  16 | acc=0.7311 | bsr=0.088 | agg=0.14s | det_auroc=0.531 | tpr@5=0.00
round  17 | acc=0.7330 | bsr=0.092 | agg=0.14s | det_auroc=0.594 | tpr@5=0.00
round  18 | acc=0.7386 | bsr=0.097 | agg=0.14s | det_auroc=0.422 | tpr@5=0.00
round  19 | acc=0.7437 | bsr=0.098 | agg=0.14s | det_auroc=0.406 | tpr@5=0.00
round  20 | acc=0.7450 | bsr=0.106 | agg=0.14s | det_auroc=0.344 | tpr@5=0.00
round  21 | acc=0.7473 | bsr=0.109 | agg=0.15s | det_auroc=0.422 | tpr@5=0.00
round  22 | acc=0.7490 | bsr=0.110 | agg=0.12s | det_auroc=0.359 | tpr@5=0.00
round  23 | acc=0.7519 | bsr=0.110 | agg=0.12s | det_auroc=0.391 | tpr@5=0.00
round  24 | acc=0.7574 | bsr=0.113 | agg=0.15s | det_auroc=0.438 | tpr@5=0.00
round  25 | acc=0.7603 | bsr=0.119 | agg=0.13s | det_auroc=0.359 | tpr@5=0.00
round  26 | acc=0.7618 | bsr=0.117 | agg=0.14s | det_auroc=0.359 | tpr@5=0.00
round  27 | acc=0.7646 | bsr=0.125 | agg=0.12s | det_auroc=0.219 | tpr@5=0.00
round  28 | acc=0.7641 | bsr=0.129 | agg=0.12s | det_auroc=0.281 | tpr@5=0.00
round  29 | acc=0.7660 | bsr=0.131 | agg=0.14s | det_auroc=0.344 | tpr@5=0.00
round  30 | acc=0.7676 | bsr=0.143 | agg=0.15s | det_auroc=0.391 | tpr@5=0.00
round  31 | acc=0.7681 | bsr=0.143 | agg=0.14s | det_auroc=0.406 | tpr@5=0.00
round  32 | acc=0.7720 | bsr=0.145 | agg=0.14s | det_auroc=0.172 | tpr@5=0.00
round  33 | acc=0.7738 | bsr=0.154 | agg=0.15s | det_auroc=0.266 | tpr@5=0.00
round  34 | acc=0.7745 | bsr=0.158 | agg=0.14s | det_auroc=0.344 | tpr@5=0.00
round  35 | acc=0.7774 | bsr=0.165 | agg=0.14s | det_auroc=0.406 | tpr@5=0.00
round  36 | acc=0.7806 | bsr=0.171 | agg=0.12s | det_auroc=0.344 | tpr@5=0.00
round  37 | acc=0.7813 | bsr=0.179 | agg=0.12s | det_auroc=0.297 | tpr@5=0.00
round  38 | acc=0.7825 | bsr=0.185 | agg=0.12s | det_auroc=0.438 | tpr@5=0.00
round  39 | acc=0.7847 | bsr=0.186 | agg=0.14s | det_auroc=0.344 | tpr@5=0.00
round  40 | acc=0.7855 | bsr=0.192 | agg=0.14s | det_auroc=0.312 | tpr@5=0.00
round  41 | acc=0.7867 | bsr=0.199 | agg=0.13s | det_auroc=0.344 | tpr@5=0.00
round  42 | acc=0.7890 | bsr=0.207 | agg=0.14s | det_auroc=0.328 | tpr@5=0.00
round  43 | acc=0.7910 | bsr=0.221 | agg=0.15s | det_auroc=0.141 | tpr@5=0.00
round  44 | acc=0.7929 | bsr=0.232 | agg=0.12s | det_auroc=0.281 | tpr@5=0.00
round  45 | acc=0.7938 | bsr=0.235 | agg=0.13s | det_auroc=0.188 | tpr@5=0.00
round  46 | acc=0.7952 | bsr=0.244 | agg=0.13s | det_auroc=0.266 | tpr@5=0.00
round  47 | acc=0.7968 | bsr=0.251 | agg=0.14s | det_auroc=0.219 | tpr@5=0.00
round  48 | acc=0.7977 | bsr=0.263 | agg=0.14s | det_auroc=0.266 | tpr@5=0.00
round  49 | acc=0.7989 | bsr=0.273 | agg=0.14s | det_auroc=0.297 | tpr@5=0.00
round  50 | acc=0.8002 | bsr=0.282 | agg=0.14s | det_auroc=0.250 | tpr@5=0.00
round  51 | acc=0.8014 | bsr=0.289 | agg=0.13s | det_auroc=0.281 | tpr@5=0.00
round  52 | acc=0.8025 | bsr=0.298 | agg=0.13s | det_auroc=0.312 | tpr@5=0.00
round  53 | acc=0.8034 | bsr=0.311 | agg=0.11s | det_auroc=0.344 | tpr@5=0.00
round  54 | acc=0.8043 | bsr=0.321 | agg=0.14s | det_auroc=0.203 | tpr@5=0.00
round  55 | acc=0.8058 | bsr=0.332 | agg=0.14s | det_auroc=0.453 | tpr@5=0.00
round  56 | acc=0.8065 | bsr=0.345 | agg=0.14s | det_auroc=0.328 | tpr@5=0.00
round  57 | acc=0.8085 | bsr=0.356 | agg=0.12s | det_auroc=0.297 | tpr@5=0.00
round  58 | acc=0.8103 | bsr=0.363 | agg=0.12s | det_auroc=0.234 | tpr@5=0.00
round  59 | acc=0.8102 | bsr=0.377 | agg=0.14s | det_auroc=0.266 | tpr@5=0.00
round  60 | acc=0.8108 | bsr=0.390 | agg=0.13s | det_auroc=0.359 | tpr@5=0.00
