device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fedavg attack=adaptive_ecf
round   1 | acc=0.5215 | bsr=0.338 | agg=0.02s
round   2 | acc=0.6447 | bsr=0.077 | agg=0.01s
round   3 | acc=0.7294 | bsr=0.136 | agg=0.02s
round   4 | acc=0.7312 | bsr=0.157 | agg=0.01s
round   5 | acc=0.7594 | bsr=0.234 | agg=0.02s
round   6 | acc=0.7653 | bsr=0.306 | agg=0.01s
round   7 | acc=0.7789 | bsr=0.444 | agg=0.02s
round   8 | acc=0.7890 | bsr=0.606 | agg=0.02s
round   9 | acc=0.7928 | bsr=0.672 | agg=0.02s
round  10 | acc=0.8095 | bsr=0.722 | agg=0.02s
round  11 | acc=0.8111 | bsr=0.786 | agg=0.02s
round  12 | acc=0.8151 | bsr=0.815 | agg=0.02s
round  13 | acc=0.8183 | bsr=0.821 | agg=0.02s
round  14 | acc=0.8212 | bsr=0.859 | agg=0.02s
round  15 | acc=0.8322 | bsr=0.872 | agg=0.02s
round  16 | acc=0.8334 | bsr=0.870 | agg=0.02s
round  17 | acc=0.8366 | bsr=0.877 | agg=0.02s
round  18 | acc=0.8429 | bsr=0.884 | agg=0.02s
round  19 | acc=0.8434 | bsr=0.890 | agg=0.02s
round  20 | acc=0.8470 | bsr=0.897 | agg=0.02s
round  21 | acc=0.8490 | bsr=0.912 | agg=0.02s
round  22 | acc=0.8522 | bsr=0.915 | agg=0.01s
round  23 | acc=0.8535 | bsr=0.907 | agg=0.02s
round  24 | acc=0.8534 | bsr=0.916 | agg=0.02s
round  25 | acc=0.8571 | bsr=0.917 | agg=0.02s
round  26 | acc=0.8582 | bsr=0.924 | agg=0.02s
round  27 | acc=0.8612 | bsr=0.933 | agg=0.02s
round  28 | acc=0.8605 | bsr=0.922 | agg=0.01s
round  29 | acc=0.8632 | bsr=0.930 | agg=0.02s
round  30 | acc=0.8655 | bsr=0.931 | agg=0.02s
round  31 | acc=0.8650 | bsr=0.935 | agg=0.02s
round  32 | acc=0.8671 | bsr=0.941 | agg=0.02s
round  33 | acc=0.8649 | bsr=0.933 | agg=0.02s
round  34 | acc=0.8704 | bsr=0.949 | agg=0.02s
round  35 | acc=0.8712 | bsr=0.948 | agg=0.02s
round  36 | acc=0.8713 | bsr=0.948 | agg=0.01s
round  37 | acc=0.8730 | bsr=0.955 | agg=0.02s
round  38 | acc=0.8734 | bsr=0.955 | agg=0.02s
round  39 | acc=0.8763 | bsr=0.954 | agg=0.02s
round  40 | acc=0.8763 | bsr=0.957 | agg=0.02s
round  41 | acc=0.8744 | bsr=0.959 | agg=0.02s
round  42 | acc=0.8786 | bsr=0.960 | agg=0.02s
round  43 | acc=0.8772 | bsr=0.963 | agg=0.02s
round  44 | acc=0.8779 | bsr=0.960 | agg=0.02s
round  45 | acc=0.8825 | bsr=0.974 | agg=0.02s
round  46 | acc=0.8823 | bsr=0.968 | agg=0.02s
round  47 | acc=0.8784 | bsr=0.968 | agg=0.02s
round  48 | acc=0.8825 | bsr=0.977 | agg=0.02s
round  49 | acc=0.8816 | bsr=0.972 | agg=0.02s
round  50 | acc=0.8845 | bsr=0.984 | agg=0.02s
round  51 | acc=0.8843 | bsr=0.978 | agg=0.02s
round  52 | acc=0.8838 | bsr=0.983 | agg=0.02s
round  53 | acc=0.8862 | bsr=0.983 | agg=0.02s
round  54 | acc=0.8843 | bsr=0.982 | agg=0.02s
round  55 | acc=0.8860 | bsr=0.983 | agg=0.02s
round  56 | acc=0.8867 | bsr=0.977 | agg=0.02s
round  57 | acc=0.8876 | bsr=0.986 | agg=0.02s
round  58 | acc=0.8848 | bsr=0.978 | agg=0.01s
round  59 | acc=0.8851 | bsr=0.981 | agg=0.02s
round  60 | acc=0.8888 | bsr=0.989 | agg=0.01s
