device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=adaptive_ecf
round   1 | acc=0.3749 | bsr=0.482 | agg=0.19s
round   2 | acc=0.6165 | bsr=0.020 | agg=0.19s
round   3 | acc=0.6730 | bsr=0.039 | agg=0.18s
round   4 | acc=0.7131 | bsr=0.038 | agg=0.18s
round   5 | acc=0.7388 | bsr=0.039 | agg=0.18s
round   6 | acc=0.7542 | bsr=0.033 | agg=0.19s
round   7 | acc=0.7620 | bsr=0.035 | agg=0.19s
round   8 | acc=0.7771 | bsr=0.044 | agg=0.19s
round   9 | acc=0.7854 | bsr=0.039 | agg=0.19s
round  10 | acc=0.7839 | bsr=0.037 | agg=0.19s
round  11 | acc=0.7960 | bsr=0.041 | agg=0.19s
round  12 | acc=0.8031 | bsr=0.044 | agg=0.20s
round  13 | acc=0.8065 | bsr=0.036 | agg=0.19s
round  14 | acc=0.8100 | bsr=0.045 | agg=0.19s
round  15 | acc=0.8189 | bsr=0.045 | agg=0.19s
round  16 | acc=0.8194 | bsr=0.043 | agg=0.18s
round  17 | acc=0.8243 | bsr=0.041 | agg=0.19s
round  18 | acc=0.8298 | bsr=0.042 | agg=0.19s
round  19 | acc=0.8322 | bsr=0.042 | agg=0.19s
round  20 | acc=0.8365 | bsr=0.042 | agg=0.19s
round  21 | acc=0.8388 | bsr=0.047 | agg=0.19s
round  22 | acc=0.8425 | bsr=0.041 | agg=0.20s
round  23 | acc=0.8435 | bsr=0.039 | agg=0.20s
round  24 | acc=0.8448 | bsr=0.041 | agg=0.19s
round  25 | acc=0.8475 | bsr=0.043 | agg=0.19s
round  26 | acc=0.8534 | bsr=0.042 | agg=0.19s
round  27 | acc=0.8543 | bsr=0.045 | agg=0.19s
round  28 | acc=0.8555 | bsr=0.035 | agg=0.19s
round  29 | acc=0.8593 | bsr=0.040 | agg=0.19s
round  30 | acc=0.8608 | bsr=0.039 | agg=0.19s
round  31 | acc=0.8590 | bsr=0.044 | agg=0.19s
round  32 | acc=0.8623 | bsr=0.036 | agg=0.19s
round  33 | acc=0.8635 | bsr=0.041 | agg=0.19s
round  34 | acc=0.8652 | bsr=0.044 | agg=0.19s
round  35 | acc=0.8656 | bsr=0.043 | agg=0.19s
round  36 | acc=0.8680 | bsr=0.054 | agg=0.19s
round  37 | acc=0.8680 | bsr=0.047 | agg=0.19s
round  38 | acc=0.8698 | bsr=0.051 | agg=0.19s
round  39 | acc=0.8694 | bsr=0.049 | agg=0.19s
round  40 | acc=0.8711 | bsr=0.051 | agg=0.19s
round  41 | acc=0.8686 | bsr=0.045 | agg=0.19s
round  42 | acc=0.8721 | bsr=0.049 | agg=0.19s
round  43 | acc=0.8726 | bsr=0.056 | agg=0.19s
round  44 | acc=0.8733 | bsr=0.049 | agg=0.19s
round  45 | acc=0.8768 | bsr=0.060 | agg=0.19s
round  46 | acc=0.8765 | bsr=0.061 | agg=0.19s
round  47 | acc=0.8764 | bsr=0.062 | agg=0.19s
round  48 | acc=0.8794 | bsr=0.073 | agg=0.19s
round  49 | acc=0.8787 | bsr=0.069 | agg=0.19s
round  50 | acc=0.8800 | bsr=0.079 | agg=0.19s
round  51 | acc=0.8805 | bsr=0.074 | agg=0.19s
round  52 | acc=0.8824 | bsr=0.089 | agg=0.19s
round  53 | acc=0.8809 | bsr=0.085 | agg=0.19s
round  54 | acc=0.8824 | bsr=0.090 | agg=0.19s
round  55 | acc=0.8814 | bsr=0.096 | agg=0.19s
round  56 | acc=0.8829 | bsr=0.077 | agg=0.19s
round  57 | acc=0.8828 | bsr=0.108 | agg=0.19s
round  58 | acc=0.8831 | bsr=0.093 | agg=0.19s
round  59 | acc=0.8816 | bsr=0.108 | agg=0.19s
round  60 | acc=0.8844 | bsr=0.113 | agg=0.19s
