device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=adaptive_ecf
round   1 | acc=0.4589 | bsr=0.228 | agg=1.12s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6164 | bsr=0.043 | agg=1.12s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6965 | bsr=0.030 | agg=1.13s | det_auroc=0.953 | tpr@5=0.50
round   4 | acc=0.7063 | bsr=0.029 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7483 | bsr=0.028 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7574 | bsr=0.023 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7680 | bsr=0.024 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7785 | bsr=0.031 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7878 | bsr=0.026 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7954 | bsr=0.022 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7983 | bsr=0.027 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8055 | bsr=0.028 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8067 | bsr=0.020 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8113 | bsr=0.026 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8209 | bsr=0.024 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8233 | bsr=0.022 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8241 | bsr=0.023 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8343 | bsr=0.022 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8342 | bsr=0.020 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8385 | bsr=0.019 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8387 | bsr=0.019 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8409 | bsr=0.021 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8464 | bsr=0.019 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8455 | bsr=0.018 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8492 | bsr=0.019 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8550 | bsr=0.019 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8560 | bsr=0.018 | agg=1.08s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8539 | bsr=0.013 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8570 | bsr=0.017 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8574 | bsr=0.014 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8573 | bsr=0.019 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8603 | bsr=0.013 | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8595 | bsr=0.015 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8637 | bsr=0.017 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8636 | bsr=0.014 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8653 | bsr=0.018 | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8667 | bsr=0.016 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8685 | bsr=0.019 | agg=1.11s | det_auroc=0.953 | tpr@5=0.75
round  39 | acc=0.8725 | bsr=0.023 | agg=1.11s | det_auroc=0.859 | tpr@5=0.50
round  40 | acc=0.8733 | bsr=0.027 | agg=1.11s | det_auroc=0.484 | tpr@5=0.25
round  41 | acc=0.8711 | bsr=0.022 | agg=1.11s | det_auroc=0.453 | tpr@5=0.25
round  42 | acc=0.8728 | bsr=0.031 | agg=1.13s | det_auroc=0.422 | tpr@5=0.25
round  43 | acc=0.8748 | bsr=0.037 | agg=1.11s | det_auroc=0.281 | tpr@5=0.00
round  44 | acc=0.8743 | bsr=0.040 | agg=1.11s | det_auroc=0.250 | tpr@5=0.00
round  45 | acc=0.8761 | bsr=0.061 | agg=1.10s | det_auroc=0.328 | tpr@5=0.00
round  46 | acc=0.8749 | bsr=0.064 | agg=1.11s | det_auroc=0.156 | tpr@5=0.00
round  47 | acc=0.8764 | bsr=0.075 | agg=1.11s | det_auroc=0.281 | tpr@5=0.00
round  48 | acc=0.8772 | bsr=0.108 | agg=1.10s | det_auroc=0.203 | tpr@5=0.00
round  49 | acc=0.8777 | bsr=0.120 | agg=1.10s | det_auroc=0.172 | tpr@5=0.00
round  50 | acc=0.8789 | bsr=0.149 | agg=1.10s | det_auroc=0.094 | tpr@5=0.00
round  51 | acc=0.8763 | bsr=0.172 | agg=1.10s | det_auroc=0.062 | tpr@5=0.00
round  52 | acc=0.8795 | bsr=0.218 | agg=1.10s | det_auroc=0.234 | tpr@5=0.00
round  53 | acc=0.8812 | bsr=0.229 | agg=1.11s | det_auroc=0.109 | tpr@5=0.00
round  54 | acc=0.8807 | bsr=0.276 | agg=1.11s | det_auroc=0.109 | tpr@5=0.00
round  55 | acc=0.8812 | bsr=0.299 | agg=1.13s | det_auroc=0.156 | tpr@5=0.00
round  56 | acc=0.8792 | bsr=0.328 | agg=1.11s | det_auroc=0.016 | tpr@5=0.00
round  57 | acc=0.8800 | bsr=0.408 | agg=1.11s | det_auroc=0.109 | tpr@5=0.00
round  58 | acc=0.8800 | bsr=0.434 | agg=1.13s | det_auroc=0.141 | tpr@5=0.00
round  59 | acc=0.8842 | bsr=0.491 | agg=1.11s | det_auroc=0.125 | tpr@5=0.00
round  60 | acc=0.8833 | bsr=0.532 | agg=1.10s | det_auroc=0.031 | tpr@5=0.00
