device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=adaptive_ecf
round   1 | acc=0.3793 | bsr=0.497 | agg=0.14s
round   2 | acc=0.6327 | bsr=0.024 | agg=0.14s
round   3 | acc=0.6803 | bsr=0.041 | agg=0.14s
round   4 | acc=0.7209 | bsr=0.037 | agg=0.13s
round   5 | acc=0.7423 | bsr=0.043 | agg=0.14s
round   6 | acc=0.7565 | bsr=0.032 | agg=0.13s
round   7 | acc=0.7672 | bsr=0.034 | agg=0.13s
round   8 | acc=0.7774 | bsr=0.047 | agg=0.13s
round   9 | acc=0.7856 | bsr=0.041 | agg=0.13s
round  10 | acc=0.7874 | bsr=0.039 | agg=0.13s
round  11 | acc=0.7989 | bsr=0.046 | agg=0.13s
round  12 | acc=0.8058 | bsr=0.046 | agg=0.13s
round  13 | acc=0.8084 | bsr=0.035 | agg=0.13s
round  14 | acc=0.8134 | bsr=0.047 | agg=0.13s
round  15 | acc=0.8196 | bsr=0.048 | agg=0.13s
round  16 | acc=0.8241 | bsr=0.047 | agg=0.13s
round  17 | acc=0.8266 | bsr=0.045 | agg=0.14s
round  18 | acc=0.8312 | bsr=0.047 | agg=0.13s
round  19 | acc=0.8354 | bsr=0.045 | agg=0.13s
round  20 | acc=0.8381 | bsr=0.046 | agg=0.13s
round  21 | acc=0.8407 | bsr=0.053 | agg=0.13s
round  22 | acc=0.8441 | bsr=0.047 | agg=0.13s
round  23 | acc=0.8465 | bsr=0.050 | agg=0.13s
round  24 | acc=0.8472 | bsr=0.052 | agg=0.13s
round  25 | acc=0.8477 | bsr=0.057 | agg=0.13s
round  26 | acc=0.8556 | bsr=0.054 | agg=0.13s
round  27 | acc=0.8557 | bsr=0.057 | agg=0.13s
round  28 | acc=0.8574 | bsr=0.051 | agg=0.13s
round  29 | acc=0.8580 | bsr=0.056 | agg=0.13s
round  30 | acc=0.8587 | bsr=0.056 | agg=0.13s
round  31 | acc=0.8589 | bsr=0.063 | agg=0.13s
round  32 | acc=0.8622 | bsr=0.056 | agg=0.14s
round  33 | acc=0.8637 | bsr=0.062 | agg=0.13s
round  34 | acc=0.8655 | bsr=0.071 | agg=0.13s
round  35 | acc=0.8668 | bsr=0.070 | agg=0.13s
round  36 | acc=0.8673 | bsr=0.080 | agg=0.13s
round  37 | acc=0.8693 | bsr=0.079 | agg=0.13s
round  38 | acc=0.8683 | bsr=0.085 | agg=0.13s
round  39 | acc=0.8689 | bsr=0.084 | agg=0.13s
round  40 | acc=0.8710 | bsr=0.086 | agg=0.13s
round  41 | acc=0.8679 | bsr=0.080 | agg=0.13s
round  42 | acc=0.8732 | bsr=0.088 | agg=0.13s
round  43 | acc=0.8732 | bsr=0.097 | agg=0.13s
round  44 | acc=0.8745 | bsr=0.089 | agg=0.13s
round  45 | acc=0.8764 | bsr=0.108 | agg=0.13s
round  46 | acc=0.8762 | bsr=0.103 | agg=0.13s
round  47 | acc=0.8768 | bsr=0.114 | agg=0.13s
round  48 | acc=0.8799 | bsr=0.128 | agg=0.13s
round  49 | acc=0.8788 | bsr=0.122 | agg=0.13s
round  50 | acc=0.8815 | bsr=0.140 | agg=0.13s
round  51 | acc=0.8812 | bsr=0.140 | agg=0.13s
round  52 | acc=0.8816 | bsr=0.155 | agg=0.13s
round  53 | acc=0.8828 | bsr=0.156 | agg=0.13s
round  54 | acc=0.8826 | bsr=0.168 | agg=0.13s
round  55 | acc=0.8810 | bsr=0.173 | agg=0.13s
round  56 | acc=0.8830 | bsr=0.158 | agg=0.13s
round  57 | acc=0.8838 | bsr=0.203 | agg=0.13s
round  58 | acc=0.8847 | bsr=0.184 | agg=0.13s
round  59 | acc=0.8817 | bsr=0.199 | agg=0.13s
round  60 | acc=0.8851 | bsr=0.215 | agg=0.13s
