device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=constrained_backdoor
round   1 | acc=0.0670 | bsr=0.000 | agg=0.05s | det_auroc=0.953 | tpr@5=0.25
round   2 | acc=0.1157 | bsr=0.000 | agg=0.06s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3573 | bsr=0.033 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4473 | bsr=0.101 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.5526 | bsr=0.115 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6554 | bsr=0.083 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6745 | bsr=0.076 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6730 | bsr=0.062 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6742 | bsr=0.055 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6843 | bsr=0.050 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6940 | bsr=0.043 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  12 | acc=0.7032 | bsr=0.035 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7141 | bsr=0.036 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7260 | bsr=0.035 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  15 | acc=0.7281 | bsr=0.036 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7329 | bsr=0.036 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7345 | bsr=0.033 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7398 | bsr=0.034 | agg=0.04s | det_auroc=0.984 | tpr@5=0.75
round  19 | acc=0.7424 | bsr=0.034 | agg=0.04s | det_auroc=0.938 | tpr@5=0.50
round  20 | acc=0.7439 | bsr=0.033 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7472 | bsr=0.031 | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
round  22 | acc=0.7478 | bsr=0.032 | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
round  23 | acc=0.7494 | bsr=0.033 | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  24 | acc=0.7533 | bsr=0.032 | agg=0.04s | det_auroc=0.961 | tpr@5=0.00
round  25 | acc=0.7563 | bsr=0.034 | agg=0.04s | det_auroc=0.859 | tpr@5=0.25
round  26 | acc=0.7574 | bsr=0.033 | agg=0.04s | det_auroc=0.961 | tpr@5=0.00
round  27 | acc=0.7527 | bsr=0.035 | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  28 | acc=0.7598 | bsr=0.034 | agg=0.04s | det_auroc=0.844 | tpr@5=0.00
round  29 | acc=0.7589 | bsr=0.033 | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  30 | acc=0.7592 | bsr=0.033 | agg=0.04s | det_auroc=0.953 | tpr@5=0.00
round  31 | acc=0.7674 | bsr=0.033 | agg=0.04s | det_auroc=0.828 | tpr@5=0.00
round  32 | acc=0.7694 | bsr=0.035 | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  33 | acc=0.7677 | bsr=0.032 | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  34 | acc=0.7689 | bsr=0.033 | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  35 | acc=0.7726 | bsr=0.030 | agg=0.04s | det_auroc=0.922 | tpr@5=0.00
round  36 | acc=0.7730 | bsr=0.037 | agg=0.04s | det_auroc=0.797 | tpr@5=0.00
round  37 | acc=0.7782 | bsr=0.034 | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  38 | acc=0.7759 | bsr=0.034 | agg=0.04s | det_auroc=0.945 | tpr@5=0.00
round  39 | acc=0.7762 | bsr=0.034 | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  40 | acc=0.7755 | bsr=0.034 | agg=0.04s | det_auroc=0.922 | tpr@5=0.00
round  41 | acc=0.7786 | bsr=0.031 | agg=0.04s | det_auroc=0.922 | tpr@5=0.00
