device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=constrained_backdoor
round   1 | acc=0.3747 | bsr=0.482 | agg=0.19s
round   2 | acc=0.6191 | bsr=0.019 | agg=0.18s
round   3 | acc=0.6702 | bsr=0.037 | agg=0.18s
round   4 | acc=0.7142 | bsr=0.037 | agg=0.19s
round   5 | acc=0.7389 | bsr=0.041 | agg=0.18s
round   6 | acc=0.7534 | bsr=0.034 | agg=0.19s
round   7 | acc=0.7614 | bsr=0.035 | agg=0.18s
round   8 | acc=0.7764 | bsr=0.045 | agg=0.18s
round   9 | acc=0.7851 | bsr=0.039 | agg=0.18s
round  10 | acc=0.7822 | bsr=0.037 | agg=0.18s
round  11 | acc=0.7970 | bsr=0.042 | agg=0.18s
round  12 | acc=0.8033 | bsr=0.045 | agg=0.18s
round  13 | acc=0.8066 | bsr=0.035 | agg=0.18s
round  14 | acc=0.8105 | bsr=0.045 | agg=0.18s
round  15 | acc=0.8180 | bsr=0.046 | agg=0.19s
round  16 | acc=0.8197 | bsr=0.043 | agg=0.18s
round  17 | acc=0.8249 | bsr=0.042 | agg=0.19s
round  18 | acc=0.8290 | bsr=0.042 | agg=0.19s
round  19 | acc=0.8324 | bsr=0.043 | agg=0.19s
round  20 | acc=0.8360 | bsr=0.044 | agg=0.19s
round  21 | acc=0.8390 | bsr=0.048 | agg=0.19s
round  22 | acc=0.8420 | bsr=0.041 | agg=0.19s
round  23 | acc=0.8436 | bsr=0.041 | agg=0.18s
round  24 | acc=0.8439 | bsr=0.042 | agg=0.19s
round  25 | acc=0.8466 | bsr=0.043 | agg=0.19s
round  26 | acc=0.8539 | bsr=0.042 | agg=0.19s
round  27 | acc=0.8543 | bsr=0.046 | agg=0.19s
round  28 | acc=0.8560 | bsr=0.036 | agg=0.19s
round  29 | acc=0.8590 | bsr=0.041 | agg=0.19s
round  30 | acc=0.8610 | bsr=0.039 | agg=0.19s
round  31 | acc=0.8605 | bsr=0.044 | agg=0.19s
round  32 | acc=0.8617 | bsr=0.038 | agg=0.19s
round  33 | acc=0.8635 | bsr=0.041 | agg=0.19s
round  34 | acc=0.8653 | bsr=0.046 | agg=0.20s
round  35 | acc=0.8658 | bsr=0.047 | agg=0.19s
round  36 | acc=0.8670 | bsr=0.054 | agg=0.19s
round  37 | acc=0.8685 | bsr=0.050 | agg=0.19s
round  38 | acc=0.8687 | bsr=0.056 | agg=0.19s
round  39 | acc=0.8707 | bsr=0.052 | agg=0.19s
round  40 | acc=0.8709 | bsr=0.054 | agg=0.19s
round  41 | acc=0.8682 | bsr=0.048 | agg=0.19s
round  42 | acc=0.8714 | bsr=0.053 | agg=0.19s
round  43 | acc=0.8738 | bsr=0.060 | agg=0.19s
round  44 | acc=0.8744 | bsr=0.054 | agg=0.19s
round  45 | acc=0.8770 | bsr=0.065 | agg=0.19s
round  46 | acc=0.8760 | bsr=0.065 | agg=0.19s
round  47 | acc=0.8758 | bsr=0.065 | agg=0.19s
round  48 | acc=0.8784 | bsr=0.080 | agg=0.19s
round  49 | acc=0.8781 | bsr=0.075 | agg=0.19s
round  50 | acc=0.8802 | bsr=0.086 | agg=0.19s
round  51 | acc=0.8803 | bsr=0.083 | agg=0.19s
round  52 | acc=0.8821 | bsr=0.096 | agg=0.19s
round  53 | acc=0.8808 | bsr=0.092 | agg=0.19s
round  54 | acc=0.8807 | bsr=0.101 | agg=0.19s
round  55 | acc=0.8810 | bsr=0.106 | agg=0.19s
round  56 | acc=0.8810 | bsr=0.087 | agg=0.19s
round  57 | acc=0.8836 | bsr=0.119 | agg=0.19s
round  58 | acc=0.8821 | bsr=0.103 | agg=0.19s
round  59 | acc=0.8823 | bsr=0.119 | agg=0.19s
round  60 | acc=0.8829 | bsr=0.126 | agg=0.19s
