device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=constrained_backdoor
round   1 | acc=0.3794 | bsr=0.497 | agg=0.13s
round   2 | acc=0.6334 | bsr=0.024 | agg=0.13s
round   3 | acc=0.6812 | bsr=0.039 | agg=0.13s
round   4 | acc=0.7233 | bsr=0.038 | agg=0.13s
round   5 | acc=0.7441 | bsr=0.043 | agg=0.13s
round   6 | acc=0.7549 | bsr=0.034 | agg=0.12s
round   7 | acc=0.7651 | bsr=0.034 | agg=0.12s
round   8 | acc=0.7789 | bsr=0.049 | agg=0.12s
round   9 | acc=0.7853 | bsr=0.042 | agg=0.12s
round  10 | acc=0.7880 | bsr=0.038 | agg=0.12s
round  11 | acc=0.7992 | bsr=0.046 | agg=0.12s
round  12 | acc=0.8064 | bsr=0.048 | agg=0.12s
round  13 | acc=0.8090 | bsr=0.036 | agg=0.12s
round  14 | acc=0.8138 | bsr=0.048 | agg=0.12s
round  15 | acc=0.8210 | bsr=0.049 | agg=0.12s
round  16 | acc=0.8233 | bsr=0.051 | agg=0.12s
round  17 | acc=0.8263 | bsr=0.047 | agg=0.12s
round  18 | acc=0.8320 | bsr=0.048 | agg=0.12s
round  19 | acc=0.8353 | bsr=0.047 | agg=0.12s
round  20 | acc=0.8378 | bsr=0.047 | agg=0.13s
round  21 | acc=0.8408 | bsr=0.055 | agg=0.12s
round  22 | acc=0.8443 | bsr=0.051 | agg=0.12s
round  23 | acc=0.8461 | bsr=0.053 | agg=0.12s
round  24 | acc=0.8484 | bsr=0.054 | agg=0.12s
round  25 | acc=0.8498 | bsr=0.060 | agg=0.12s
round  26 | acc=0.8556 | bsr=0.056 | agg=0.12s
round  27 | acc=0.8544 | bsr=0.063 | agg=0.12s
round  28 | acc=0.8562 | bsr=0.053 | agg=0.12s
round  29 | acc=0.8586 | bsr=0.060 | agg=0.12s
round  30 | acc=0.8596 | bsr=0.061 | agg=0.12s
round  31 | acc=0.8593 | bsr=0.068 | agg=0.12s
round  32 | acc=0.8616 | bsr=0.065 | agg=0.13s
round  33 | acc=0.8648 | bsr=0.069 | agg=0.13s
round  34 | acc=0.8663 | bsr=0.079 | agg=0.13s
round  35 | acc=0.8665 | bsr=0.079 | agg=0.13s
round  36 | acc=0.8682 | bsr=0.089 | agg=0.13s
round  37 | acc=0.8688 | bsr=0.090 | agg=0.12s
round  38 | acc=0.8698 | bsr=0.097 | agg=0.12s
round  39 | acc=0.8706 | bsr=0.095 | agg=0.13s
round  40 | acc=0.8731 | bsr=0.098 | agg=0.12s
round  41 | acc=0.8687 | bsr=0.094 | agg=0.12s
round  42 | acc=0.8733 | bsr=0.106 | agg=0.12s
round  43 | acc=0.8741 | bsr=0.116 | agg=0.12s
round  44 | acc=0.8744 | bsr=0.108 | agg=0.12s
round  45 | acc=0.8769 | bsr=0.127 | agg=0.12s
round  46 | acc=0.8757 | bsr=0.128 | agg=0.12s
round  47 | acc=0.8766 | bsr=0.137 | agg=0.13s
round  48 | acc=0.8799 | bsr=0.154 | agg=0.12s
round  49 | acc=0.8795 | bsr=0.154 | agg=0.12s
round  50 | acc=0.8808 | bsr=0.176 | agg=0.12s
round  51 | acc=0.8798 | bsr=0.180 | agg=0.12s
round  52 | acc=0.8821 | bsr=0.201 | agg=0.12s
round  53 | acc=0.8806 | bsr=0.201 | agg=0.12s
round  54 | acc=0.8816 | bsr=0.219 | agg=0.13s
round  55 | acc=0.8823 | bsr=0.227 | agg=0.13s
round  56 | acc=0.8821 | bsr=0.226 | agg=0.13s
round  57 | acc=0.8835 | bsr=0.273 | agg=0.13s
round  58 | acc=0.8825 | bsr=0.262 | agg=0.12s
round  59 | acc=0.8825 | bsr=0.272 | agg=0.12s
round  60 | acc=0.8855 | bsr=0.306 | agg=0.12s
