device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0562 | bsr=nan | agg=0.49s | det_auroc=0.625 | tpr@5=0.00
round   2 | acc=0.1070 | bsr=nan | agg=0.56s | det_auroc=0.656 | tpr@5=0.00
round   3 | acc=0.3590 | bsr=nan | agg=0.55s | det_auroc=0.594 | tpr@5=0.00
round   4 | acc=0.4733 | bsr=nan | agg=0.52s | det_auroc=0.609 | tpr@5=0.00
round   5 | acc=0.6207 | bsr=nan | agg=0.53s | det_auroc=0.609 | tpr@5=0.00
round   6 | acc=0.6921 | bsr=nan | agg=0.53s | det_auroc=0.562 | tpr@5=0.00
round   7 | acc=0.7092 | bsr=nan | agg=0.55s | det_auroc=0.578 | tpr@5=0.00
round   8 | acc=0.7133 | bsr=nan | agg=0.55s | det_auroc=0.609 | tpr@5=0.00
round   9 | acc=0.7130 | bsr=nan | agg=0.50s | det_auroc=0.609 | tpr@5=0.00
round  10 | acc=0.7172 | bsr=nan | agg=0.55s | det_auroc=0.578 | tpr@5=0.00
round  11 | acc=0.7228 | bsr=nan | agg=0.47s | det_auroc=0.562 | tpr@5=0.00
round  12 | acc=0.7260 | bsr=nan | agg=0.53s | det_auroc=0.547 | tpr@5=0.25
round  13 | acc=0.7321 | bsr=nan | agg=0.55s | det_auroc=0.688 | tpr@5=0.25
round  14 | acc=0.7348 | bsr=nan | agg=0.47s | det_auroc=0.594 | tpr@5=0.25
round  15 | acc=0.7373 | bsr=nan | agg=0.55s | det_auroc=0.562 | tpr@5=0.00
round  16 | acc=0.7413 | bsr=nan | agg=0.49s | det_auroc=0.500 | tpr@5=0.25
round  17 | acc=0.7464 | bsr=nan | agg=0.47s | det_auroc=0.641 | tpr@5=0.00
round  18 | acc=0.7493 | bsr=nan | agg=0.52s | det_auroc=0.594 | tpr@5=0.00
round  19 | acc=0.7538 | bsr=nan | agg=0.49s | det_auroc=0.703 | tpr@5=0.00
round  20 | acc=0.7565 | bsr=nan | agg=0.49s | det_auroc=0.609 | tpr@5=0.00
round  21 | acc=0.7590 | bsr=nan | agg=0.51s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.7608 | bsr=nan | agg=0.56s | det_auroc=0.625 | tpr@5=0.00
round  23 | acc=0.7628 | bsr=nan | agg=0.54s | det_auroc=0.656 | tpr@5=0.00
round  24 | acc=0.7649 | bsr=nan | agg=0.55s | det_auroc=0.531 | tpr@5=0.00
round  25 | acc=0.7659 | bsr=nan | agg=0.55s | det_auroc=0.547 | tpr@5=0.00
round  26 | acc=0.7680 | bsr=nan | agg=0.53s | det_auroc=0.656 | tpr@5=0.00
round  27 | acc=0.7707 | bsr=nan | agg=0.53s | det_auroc=0.688 | tpr@5=0.00
round  28 | acc=0.7741 | bsr=nan | agg=0.52s | det_auroc=0.516 | tpr@5=0.00
round  29 | acc=0.7754 | bsr=nan | agg=0.53s | det_auroc=0.672 | tpr@5=0.00
round  30 | acc=0.7759 | bsr=nan | agg=0.55s | det_auroc=0.578 | tpr@5=0.00
round  31 | acc=0.7787 | bsr=nan | agg=0.51s | det_auroc=0.578 | tpr@5=0.00
round  32 | acc=0.7794 | bsr=nan | agg=0.55s | det_auroc=0.594 | tpr@5=0.00
round  33 | acc=0.7825 | bsr=nan | agg=0.53s | det_auroc=0.578 | tpr@5=0.00
