device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.0562 | bsr=nan | agg=0.56s | det_auroc=0.609 | tpr@5=0.00
round   2 | acc=0.1074 | bsr=nan | agg=0.47s | det_auroc=0.641 | tpr@5=0.00
round   3 | acc=0.3585 | bsr=nan | agg=0.48s | det_auroc=0.594 | tpr@5=0.00
round   4 | acc=0.4732 | bsr=nan | agg=0.48s | det_auroc=0.656 | tpr@5=0.00
round   5 | acc=0.6191 | bsr=nan | agg=0.50s | det_auroc=0.641 | tpr@5=0.00
round   6 | acc=0.6912 | bsr=nan | agg=0.50s | det_auroc=0.547 | tpr@5=0.00
round   7 | acc=0.7075 | bsr=nan | agg=0.49s | det_auroc=0.594 | tpr@5=0.00
round   8 | acc=0.7137 | bsr=nan | agg=0.50s | det_auroc=0.625 | tpr@5=0.00
round   9 | acc=0.7132 | bsr=nan | agg=0.48s | det_auroc=0.609 | tpr@5=0.00
round  10 | acc=0.7181 | bsr=nan | agg=0.47s | det_auroc=0.578 | tpr@5=0.00
round  11 | acc=0.7226 | bsr=nan | agg=0.51s | det_auroc=0.547 | tpr@5=0.00
round  12 | acc=0.7267 | bsr=nan | agg=0.42s | det_auroc=0.578 | tpr@5=0.25
round  13 | acc=0.7316 | bsr=nan | agg=0.50s | det_auroc=0.672 | tpr@5=0.00
round  14 | acc=0.7351 | bsr=nan | agg=0.50s | det_auroc=0.625 | tpr@5=0.25
round  15 | acc=0.7370 | bsr=nan | agg=0.47s | det_auroc=0.531 | tpr@5=0.00
round  16 | acc=0.7422 | bsr=nan | agg=0.49s | det_auroc=0.500 | tpr@5=0.00
round  17 | acc=0.7464 | bsr=nan | agg=0.47s | det_auroc=0.609 | tpr@5=0.00
round  18 | acc=0.7499 | bsr=nan | agg=0.47s | det_auroc=0.594 | tpr@5=0.00
round  19 | acc=0.7530 | bsr=nan | agg=0.50s | det_auroc=0.672 | tpr@5=0.00
round  20 | acc=0.7569 | bsr=nan | agg=0.52s | det_auroc=0.625 | tpr@5=0.00
round  21 | acc=0.7592 | bsr=nan | agg=0.50s | det_auroc=0.688 | tpr@5=0.00
round  22 | acc=0.7602 | bsr=nan | agg=0.49s | det_auroc=0.562 | tpr@5=0.00
round  23 | acc=0.7627 | bsr=nan | agg=0.51s | det_auroc=0.562 | tpr@5=0.00
round  24 | acc=0.7642 | bsr=nan | agg=0.47s | det_auroc=0.531 | tpr@5=0.00
round  25 | acc=0.7665 | bsr=nan | agg=0.49s | det_auroc=0.531 | tpr@5=0.00
round  26 | acc=0.7677 | bsr=nan | agg=0.46s | det_auroc=0.672 | tpr@5=0.00
round  27 | acc=0.7716 | bsr=nan | agg=0.49s | det_auroc=0.641 | tpr@5=0.00
round  28 | acc=0.7742 | bsr=nan | agg=0.48s | det_auroc=0.609 | tpr@5=0.00
