device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fedavg attack=spurious_feature
round   1 | acc=0.5920 | bsr=nan | agg=0.02s
round   2 | acc=0.6766 | bsr=nan | agg=0.02s
round   3 | acc=0.7188 | bsr=nan | agg=0.02s
round   4 | acc=0.7477 | bsr=nan | agg=0.02s
round   5 | acc=0.7465 | bsr=nan | agg=0.02s
round   6 | acc=0.7758 | bsr=nan | agg=0.02s
round   7 | acc=0.7853 | bsr=nan | agg=0.03s
round   8 | acc=0.7929 | bsr=nan | agg=0.02s
round   9 | acc=0.7972 | bsr=nan | agg=0.02s
round  10 | acc=0.8063 | bsr=nan | agg=0.02s
round  11 | acc=0.8122 | bsr=nan | agg=0.02s
round  12 | acc=0.8129 | bsr=nan | agg=0.02s
round  13 | acc=0.8223 | bsr=nan | agg=0.03s
round  14 | acc=0.8291 | bsr=nan | agg=0.02s
round  15 | acc=0.8297 | bsr=nan | agg=0.03s
round  16 | acc=0.8341 | bsr=nan | agg=0.02s
round  17 | acc=0.8284 | bsr=nan | agg=0.02s
round  18 | acc=0.8415 | bsr=nan | agg=0.02s
round  19 | acc=0.8478 | bsr=nan | agg=0.02s
round  20 | acc=0.8496 | bsr=nan | agg=0.02s
round  21 | acc=0.8515 | bsr=nan | agg=0.03s
round  22 | acc=0.8464 | bsr=nan | agg=0.03s
round  23 | acc=0.8567 | bsr=nan | agg=0.02s
round  24 | acc=0.8571 | bsr=nan | agg=0.02s
round  25 | acc=0.8602 | bsr=nan | agg=0.03s
round  26 | acc=0.8596 | bsr=nan | agg=0.02s
round  27 | acc=0.8598 | bsr=nan | agg=0.02s
round  28 | acc=0.8638 | bsr=nan | agg=0.02s
round  29 | acc=0.8634 | bsr=nan | agg=0.02s
round  30 | acc=0.8616 | bsr=nan | agg=0.03s
round  31 | acc=0.8628 | bsr=nan | agg=0.02s
round  32 | acc=0.8632 | bsr=nan | agg=0.02s
round  33 | acc=0.8700 | bsr=nan | agg=0.03s
round  34 | acc=0.8691 | bsr=nan | agg=0.01s
round  35 | acc=0.8692 | bsr=nan | agg=0.02s
round  36 | acc=0.8718 | bsr=nan | agg=0.02s
round  37 | acc=0.8697 | bsr=nan | agg=0.02s
round  38 | acc=0.8743 | bsr=nan | agg=0.02s
round  39 | acc=0.8733 | bsr=nan | agg=0.02s
round  40 | acc=0.8761 | bsr=nan | agg=0.02s
round  41 | acc=0.8761 | bsr=nan | agg=0.02s
round  42 | acc=0.8762 | bsr=nan | agg=0.02s
round  43 | acc=0.8775 | bsr=nan | agg=0.02s
round  44 | acc=0.8773 | bsr=nan | agg=0.03s
round  45 | acc=0.8798 | bsr=nan | agg=0.02s
round  46 | acc=0.8805 | bsr=nan | agg=0.02s
round  47 | acc=0.8809 | bsr=nan | agg=0.02s
round  48 | acc=0.8790 | bsr=nan | agg=0.03s
round  49 | acc=0.8797 | bsr=nan | agg=0.03s
round  50 | acc=0.8809 | bsr=nan | agg=0.02s
round  51 | acc=0.8825 | bsr=nan | agg=0.02s
round  52 | acc=0.8830 | bsr=nan | agg=0.02s
round  53 | acc=0.8840 | bsr=nan | agg=0.02s
round  54 | acc=0.8828 | bsr=nan | agg=0.02s
round  55 | acc=0.8848 | bsr=nan | agg=0.02s
round  56 | acc=0.8834 | bsr=nan | agg=0.02s
round  57 | acc=0.8855 | bsr=nan | agg=0.03s
round  58 | acc=0.8843 | bsr=nan | agg=0.02s
round  59 | acc=0.8865 | bsr=nan | agg=0.02s
round  60 | acc=0.8871 | bsr=nan | agg=0.02s
