device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=spurious_feature
round   1 | acc=0.0648 | bsr=nan | agg=0.05s | det_auroc=0.781 | tpr@5=0.25
round   2 | acc=0.1370 | bsr=nan | agg=0.07s | det_auroc=0.797 | tpr@5=0.25
round   3 | acc=0.3283 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.25
round   4 | acc=0.4612 | bsr=nan | agg=0.04s | det_auroc=0.797 | tpr@5=0.25
round   5 | acc=0.5774 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round   6 | acc=0.6437 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round   7 | acc=0.6715 | bsr=nan | agg=0.04s | det_auroc=0.625 | tpr@5=0.00
round   8 | acc=0.6686 | bsr=nan | agg=0.04s | det_auroc=0.672 | tpr@5=0.00
round   9 | acc=0.6889 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  10 | acc=0.6858 | bsr=nan | agg=0.05s | det_auroc=0.703 | tpr@5=0.25
round  11 | acc=0.7001 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.25
round  12 | acc=0.7097 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.25
round  13 | acc=0.7134 | bsr=nan | agg=0.04s | det_auroc=0.672 | tpr@5=0.25
round  14 | acc=0.7208 | bsr=nan | agg=0.05s | det_auroc=0.859 | tpr@5=0.50
round  15 | acc=0.7269 | bsr=nan | agg=0.04s | det_auroc=0.828 | tpr@5=0.25
round  16 | acc=0.7318 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.00
round  17 | acc=0.7373 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.25
round  18 | acc=0.7387 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.25
round  19 | acc=0.7433 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.50
round  20 | acc=0.7464 | bsr=nan | agg=0.04s | det_auroc=0.703 | tpr@5=0.25
round  21 | acc=0.7515 | bsr=nan | agg=0.04s | det_auroc=0.719 | tpr@5=0.25
round  22 | acc=0.7521 | bsr=nan | agg=0.04s | det_auroc=0.617 | tpr@5=0.00
round  23 | acc=0.7529 | bsr=nan | agg=0.04s | det_auroc=0.672 | tpr@5=0.25
round  24 | acc=0.7554 | bsr=nan | agg=0.04s | det_auroc=0.648 | tpr@5=0.00
round  25 | acc=0.7580 | bsr=nan | agg=0.05s | det_auroc=0.797 | tpr@5=0.50
round  26 | acc=0.7577 | bsr=nan | agg=0.05s | det_auroc=0.828 | tpr@5=0.00
round  27 | acc=0.7625 | bsr=nan | agg=0.04s | det_auroc=0.633 | tpr@5=0.00
round  28 | acc=0.7650 | bsr=nan | agg=0.04s | det_auroc=0.484 | tpr@5=0.00
round  29 | acc=0.7642 | bsr=nan | agg=0.04s | det_auroc=0.438 | tpr@5=0.00
round  30 | acc=0.7654 | bsr=nan | agg=0.04s | det_auroc=0.844 | tpr@5=0.50
round  31 | acc=0.7674 | bsr=nan | agg=0.05s | det_auroc=0.859 | tpr@5=0.00
round  32 | acc=0.7711 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.00
round  33 | acc=0.7730 | bsr=nan | agg=0.04s | det_auroc=0.516 | tpr@5=0.00
round  34 | acc=0.7729 | bsr=nan | agg=0.05s | det_auroc=0.719 | tpr@5=0.00
round  35 | acc=0.7745 | bsr=nan | agg=0.05s | det_auroc=0.734 | tpr@5=0.50
round  36 | acc=0.7795 | bsr=nan | agg=0.05s | det_auroc=0.648 | tpr@5=0.00
round  37 | acc=0.7770 | bsr=nan | agg=0.04s | det_auroc=0.453 | tpr@5=0.00
round  38 | acc=0.7782 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.00
round  39 | acc=0.7715 | bsr=nan | agg=0.04s | det_auroc=0.703 | tpr@5=0.00
round  40 | acc=0.7810 | bsr=nan | agg=0.04s | det_auroc=0.523 | tpr@5=0.00
round  41 | acc=0.7839 | bsr=nan | agg=0.04s | det_auroc=0.578 | tpr@5=0.00
round  42 | acc=0.7848 | bsr=nan | agg=0.04s | det_auroc=0.695 | tpr@5=0.00
round  43 | acc=0.7888 | bsr=nan | agg=0.04s | det_auroc=0.484 | tpr@5=0.00
round  44 | acc=0.7898 | bsr=nan | agg=0.04s | det_auroc=0.625 | tpr@5=0.00
round  45 | acc=0.7885 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  46 | acc=0.7874 | bsr=nan | agg=0.04s | det_auroc=0.781 | tpr@5=0.00
round  47 | acc=0.7878 | bsr=nan | agg=0.04s | det_auroc=0.555 | tpr@5=0.00
round  48 | acc=0.7827 | bsr=nan | agg=0.04s | det_auroc=0.477 | tpr@5=0.00
round  49 | acc=0.7939 | bsr=nan | agg=0.04s | det_auroc=0.461 | tpr@5=0.00
round  50 | acc=0.7941 | bsr=nan | agg=0.04s | det_auroc=0.688 | tpr@5=0.00
round  51 | acc=0.7913 | bsr=nan | agg=0.04s | det_auroc=0.656 | tpr@5=0.00
round  52 | acc=0.8000 | bsr=nan | agg=0.04s | det_auroc=0.398 | tpr@5=0.00
round  53 | acc=0.7975 | bsr=nan | agg=0.04s | det_auroc=0.500 | tpr@5=0.00
round  54 | acc=0.8001 | bsr=nan | agg=0.04s | det_auroc=0.672 | tpr@5=0.00
round  55 | acc=0.8011 | bsr=nan | agg=0.05s | det_auroc=0.406 | tpr@5=0.00
round  56 | acc=0.8039 | bsr=nan | agg=0.05s | det_auroc=0.367 | tpr@5=0.00
round  57 | acc=0.8032 | bsr=nan | agg=0.04s | det_auroc=0.766 | tpr@5=0.00
round  58 | acc=0.8063 | bsr=nan | agg=0.05s | det_auroc=0.445 | tpr@5=0.00
round  59 | acc=0.8036 | bsr=nan | agg=0.04s | det_auroc=0.750 | tpr@5=0.00
round  60 | acc=0.8009 | bsr=nan | agg=0.04s | det_auroc=0.617 | tpr@5=0.00
