device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=spurious_feature
round   1 | acc=0.4917 | bsr=nan | agg=0.21s
round   2 | acc=0.6465 | bsr=nan | agg=0.20s
round   3 | acc=0.6993 | bsr=nan | agg=0.18s
round   4 | acc=0.7277 | bsr=nan | agg=0.17s
round   5 | acc=0.7545 | bsr=nan | agg=0.18s
round   6 | acc=0.7535 | bsr=nan | agg=0.17s
round   7 | acc=0.7655 | bsr=nan | agg=0.17s
round   8 | acc=0.7750 | bsr=nan | agg=0.18s
round   9 | acc=0.7831 | bsr=nan | agg=0.17s
round  10 | acc=0.7889 | bsr=nan | agg=0.19s
round  11 | acc=0.8001 | bsr=nan | agg=0.18s
round  12 | acc=0.8036 | bsr=nan | agg=0.19s
round  13 | acc=0.8095 | bsr=nan | agg=0.19s
round  14 | acc=0.8154 | bsr=nan | agg=0.18s
round  15 | acc=0.8195 | bsr=nan | agg=0.18s
round  16 | acc=0.8216 | bsr=nan | agg=0.18s
round  17 | acc=0.8241 | bsr=nan | agg=0.17s
round  18 | acc=0.8323 | bsr=nan | agg=0.18s
round  19 | acc=0.8379 | bsr=nan | agg=0.19s
round  20 | acc=0.8402 | bsr=nan | agg=0.19s
round  21 | acc=0.8421 | bsr=nan | agg=0.18s
round  22 | acc=0.8428 | bsr=nan | agg=0.18s
round  23 | acc=0.8468 | bsr=nan | agg=0.19s
round  24 | acc=0.8528 | bsr=nan | agg=0.20s
round  25 | acc=0.8526 | bsr=nan | agg=0.18s
round  26 | acc=0.8522 | bsr=nan | agg=0.18s
round  27 | acc=0.8527 | bsr=nan | agg=0.18s
round  28 | acc=0.8584 | bsr=nan | agg=0.19s
round  29 | acc=0.8580 | bsr=nan | agg=0.19s
round  30 | acc=0.8599 | bsr=nan | agg=0.18s
round  31 | acc=0.8554 | bsr=nan | agg=0.18s
round  32 | acc=0.8601 | bsr=nan | agg=0.19s
round  33 | acc=0.8637 | bsr=nan | agg=0.19s
round  34 | acc=0.8613 | bsr=nan | agg=0.19s
round  35 | acc=0.8621 | bsr=nan | agg=0.16s
round  36 | acc=0.8644 | bsr=nan | agg=0.19s
round  37 | acc=0.8643 | bsr=nan | agg=0.18s
round  38 | acc=0.8667 | bsr=nan | agg=0.19s
round  39 | acc=0.8674 | bsr=nan | agg=0.16s
round  40 | acc=0.8697 | bsr=nan | agg=0.19s
round  41 | acc=0.8694 | bsr=nan | agg=0.19s
round  42 | acc=0.8692 | bsr=nan | agg=0.19s
round  43 | acc=0.8713 | bsr=nan | agg=0.19s
round  44 | acc=0.8747 | bsr=nan | agg=0.18s
round  45 | acc=0.8748 | bsr=nan | agg=0.17s
round  46 | acc=0.8732 | bsr=nan | agg=0.19s
round  47 | acc=0.8758 | bsr=nan | agg=0.18s
round  48 | acc=0.8753 | bsr=nan | agg=0.16s
round  49 | acc=0.8719 | bsr=nan | agg=0.19s
round  50 | acc=0.8764 | bsr=nan | agg=0.19s
round  51 | acc=0.8778 | bsr=nan | agg=0.18s
round  52 | acc=0.8782 | bsr=nan | agg=0.18s
round  53 | acc=0.8773 | bsr=nan | agg=0.20s
round  54 | acc=0.8780 | bsr=nan | agg=0.19s
round  55 | acc=0.8804 | bsr=nan | agg=0.18s
round  56 | acc=0.8784 | bsr=nan | agg=0.19s
round  57 | acc=0.8818 | bsr=nan | agg=0.19s
round  58 | acc=0.8807 | bsr=nan | agg=0.17s
round  59 | acc=0.8805 | bsr=nan | agg=0.18s
round  60 | acc=0.8815 | bsr=nan | agg=0.19s
