device=cuda dataset=fraud(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.8491 | bsr=nan | agg=0.36s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.8476 | bsr=nan | agg=0.20s | det_auroc=0.812 | tpr@5=0.00
round   3 | acc=0.8476 | bsr=nan | agg=0.23s | det_auroc=0.812 | tpr@5=0.00
round   4 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.812 | tpr@5=0.00
round   5 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.812 | tpr@5=0.00
round   6 | acc=0.8476 | bsr=nan | agg=0.23s | det_auroc=0.750 | tpr@5=0.00
round   7 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.750 | tpr@5=0.00
round   8 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.688 | tpr@5=0.00
round   9 | acc=0.8476 | bsr=nan | agg=0.23s | det_auroc=0.688 | tpr@5=0.00
round  10 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.688 | tpr@5=0.00
round  11 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.688 | tpr@5=0.00
round  12 | acc=0.8476 | bsr=nan | agg=0.28s | det_auroc=0.688 | tpr@5=0.00
round  13 | acc=0.8476 | bsr=nan | agg=0.20s | det_auroc=0.688 | tpr@5=0.00
round  14 | acc=0.8476 | bsr=nan | agg=0.20s | det_auroc=0.688 | tpr@5=0.00
round  15 | acc=0.8476 | bsr=nan | agg=0.25s | det_auroc=0.688 | tpr@5=0.00
round  16 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.625 | tpr@5=0.00
round  17 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.750 | tpr@5=0.00
round  18 | acc=0.8476 | bsr=nan | agg=0.25s | det_auroc=0.562 | tpr@5=0.00
round  19 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.688 | tpr@5=0.00
round  20 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.688 | tpr@5=0.00
round  21 | acc=0.8476 | bsr=nan | agg=0.23s | det_auroc=0.750 | tpr@5=0.00
round  22 | acc=0.8476 | bsr=nan | agg=0.24s | det_auroc=0.750 | tpr@5=0.00
round  23 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.500 | tpr@5=0.00
round  24 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.500 | tpr@5=0.00
round  25 | acc=0.8491 | bsr=nan | agg=0.23s | det_auroc=0.500 | tpr@5=0.00
round  26 | acc=0.8506 | bsr=nan | agg=0.28s | det_auroc=0.625 | tpr@5=0.00
round  27 | acc=0.8521 | bsr=nan | agg=0.20s | det_auroc=0.562 | tpr@5=0.00
round  28 | acc=0.8582 | bsr=nan | agg=0.22s | det_auroc=0.625 | tpr@5=0.00
round  29 | acc=0.8613 | bsr=nan | agg=0.23s | det_auroc=0.500 | tpr@5=0.00
round  30 | acc=0.8613 | bsr=nan | agg=0.24s | det_auroc=0.625 | tpr@5=0.00
round  31 | acc=0.8674 | bsr=nan | agg=0.23s | det_auroc=0.688 | tpr@5=0.00
round  32 | acc=0.8704 | bsr=nan | agg=0.22s | det_auroc=0.625 | tpr@5=0.00
round  33 | acc=0.8704 | bsr=nan | agg=0.22s | det_auroc=0.625 | tpr@5=0.00
round  34 | acc=0.8704 | bsr=nan | agg=0.23s | det_auroc=0.688 | tpr@5=0.00
round  35 | acc=0.8750 | bsr=nan | agg=0.25s | det_auroc=0.500 | tpr@5=0.00
round  36 | acc=0.8750 | bsr=nan | agg=0.23s | det_auroc=0.688 | tpr@5=0.00
round  37 | acc=0.8765 | bsr=nan | agg=0.22s | det_auroc=0.625 | tpr@5=0.00
round  38 | acc=0.8765 | bsr=nan | agg=0.23s | det_auroc=0.688 | tpr@5=0.00
round  39 | acc=0.8780 | bsr=nan | agg=0.45s | det_auroc=0.500 | tpr@5=0.00
round  40 | acc=0.8780 | bsr=nan | agg=0.22s | det_auroc=0.438 | tpr@5=0.00
