device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.5219 | bsr=0.486 | agg=0.39s | det_auroc=0.109 | tpr@5=0.00
round   2 | acc=0.5426 | bsr=0.606 | agg=0.35s | det_auroc=0.078 | tpr@5=0.00
round   3 | acc=0.5487 | bsr=0.722 | agg=0.34s | det_auroc=0.125 | tpr@5=0.00
round   4 | acc=0.5606 | bsr=0.729 | agg=0.32s | det_auroc=0.031 | tpr@5=0.00
round   5 | acc=0.5527 | bsr=0.789 | agg=0.38s | det_auroc=0.047 | tpr@5=0.00
round   6 | acc=0.5658 | bsr=0.732 | agg=0.35s | det_auroc=0.016 | tpr@5=0.00
round   7 | acc=0.5687 | bsr=0.730 | agg=0.34s | det_auroc=0.047 | tpr@5=0.00
round   8 | acc=0.5715 | bsr=0.722 | agg=0.31s | det_auroc=0.062 | tpr@5=0.00
round   9 | acc=0.5766 | bsr=0.703 | agg=0.37s | det_auroc=0.062 | tpr@5=0.00
round  10 | acc=0.5766 | bsr=0.715 | agg=0.33s | det_auroc=0.062 | tpr@5=0.00
round  11 | acc=0.5799 | bsr=0.691 | agg=0.33s | det_auroc=0.078 | tpr@5=0.00
round  12 | acc=0.5806 | bsr=0.699 | agg=0.33s | det_auroc=0.125 | tpr@5=0.00
round  13 | acc=0.5835 | bsr=0.688 | agg=0.32s | det_auroc=0.078 | tpr@5=0.00
round  14 | acc=0.5870 | bsr=0.674 | agg=0.33s | det_auroc=0.172 | tpr@5=0.00
round  15 | acc=0.5903 | bsr=0.661 | agg=0.31s | det_auroc=0.156 | tpr@5=0.00
round  16 | acc=0.5971 | bsr=0.626 | agg=0.32s | det_auroc=0.312 | tpr@5=0.00
round  17 | acc=0.5988 | bsr=0.622 | agg=0.32s | det_auroc=0.234 | tpr@5=0.00
round  18 | acc=0.6012 | bsr=0.611 | agg=0.36s | det_auroc=0.281 | tpr@5=0.00
round  19 | acc=0.6037 | bsr=0.596 | agg=0.33s | det_auroc=0.281 | tpr@5=0.00
round  20 | acc=0.6069 | bsr=0.559 | agg=0.34s | det_auroc=0.312 | tpr@5=0.00
