device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=adaptive_ecf
round   1 | acc=0.5000 | bsr=1.000 | agg=0.16s | det_auroc=0.188 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=1.000 | agg=0.18s | det_auroc=0.625 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.031 | tpr@5=0.00
round   4 | acc=0.5011 | bsr=0.998 | agg=0.13s | det_auroc=0.625 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5002 | bsr=0.999 | agg=0.13s | det_auroc=0.125 | tpr@5=0.00
round   7 | acc=0.5026 | bsr=0.994 | agg=0.13s | det_auroc=0.203 | tpr@5=0.00
round   8 | acc=0.5039 | bsr=0.991 | agg=0.13s | det_auroc=0.062 | tpr@5=0.00
round   9 | acc=0.5014 | bsr=0.998 | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5172 | bsr=0.954 | agg=0.13s | det_auroc=0.688 | tpr@5=0.00
round  11 | acc=0.5102 | bsr=0.975 | agg=0.13s | det_auroc=0.125 | tpr@5=0.00
round  12 | acc=0.5339 | bsr=0.910 | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  13 | acc=0.5152 | bsr=0.964 | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.5346 | bsr=0.910 | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  15 | acc=0.5434 | bsr=0.881 | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  16 | acc=0.5274 | bsr=0.931 | agg=0.13s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.5503 | bsr=0.856 | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  18 | acc=0.5730 | bsr=0.770 | agg=0.13s | det_auroc=0.250 | tpr@5=0.00
round  19 | acc=0.5511 | bsr=0.860 | agg=0.13s | det_auroc=0.125 | tpr@5=0.00
round  20 | acc=0.5621 | bsr=0.817 | agg=0.15s | det_auroc=0.188 | tpr@5=0.00
