device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=adaptive_ecf
round   1 | acc=0.5000 | bsr=0.000 | agg=3.44s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=0.000 | agg=3.43s | det_auroc=0.422 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=0.000 | agg=3.39s | det_auroc=0.422 | tpr@5=0.00
round   4 | acc=0.5008 | bsr=0.001 | agg=3.41s | det_auroc=0.391 | tpr@5=0.00
round   5 | acc=0.5149 | bsr=0.016 | agg=3.47s | det_auroc=0.359 | tpr@5=0.00
round   6 | acc=0.5115 | bsr=0.010 | agg=3.42s | det_auroc=0.422 | tpr@5=0.00
round   7 | acc=0.5326 | bsr=0.039 | agg=3.36s | det_auroc=0.438 | tpr@5=0.00
round   8 | acc=0.5427 | bsr=0.050 | agg=3.35s | det_auroc=0.438 | tpr@5=0.00
round   9 | acc=0.5686 | bsr=0.093 | agg=3.36s | det_auroc=0.484 | tpr@5=0.00
round  10 | acc=0.5727 | bsr=0.099 | agg=3.44s | det_auroc=0.500 | tpr@5=0.00
round  11 | acc=0.5680 | bsr=0.086 | agg=3.42s | det_auroc=0.531 | tpr@5=0.00
round  12 | acc=0.5862 | bsr=0.123 | agg=3.36s | det_auroc=0.516 | tpr@5=0.00
round  13 | acc=0.5999 | bsr=0.152 | agg=3.36s | det_auroc=0.500 | tpr@5=0.00
round  14 | acc=0.5896 | bsr=0.125 | agg=3.39s | det_auroc=0.531 | tpr@5=0.00
round  15 | acc=0.6111 | bsr=0.183 | agg=3.41s | det_auroc=0.500 | tpr@5=0.00
round  16 | acc=0.6348 | bsr=0.359 | agg=3.36s | det_auroc=0.297 | tpr@5=0.00
round  17 | acc=0.5796 | bsr=0.093 | agg=3.39s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.6312 | bsr=0.244 | agg=3.42s | det_auroc=0.531 | tpr@5=0.00
round  19 | acc=0.5921 | bsr=0.109 | agg=3.39s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.6282 | bsr=0.202 | agg=3.46s | det_auroc=0.594 | tpr@5=0.00
