device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.5164 | bsr=0.584 | agg=0.49s | det_auroc=0.281 | tpr@5=0.00
round   2 | acc=0.5275 | bsr=0.773 | agg=0.38s | det_auroc=0.266 | tpr@5=0.00
round   3 | acc=0.5225 | bsr=0.887 | agg=0.35s | det_auroc=0.406 | tpr@5=0.00
round   4 | acc=0.5220 | bsr=0.914 | agg=0.37s | det_auroc=0.781 | tpr@5=0.00
round   5 | acc=0.5166 | bsr=0.943 | agg=0.34s | det_auroc=0.750 | tpr@5=0.00
round   6 | acc=0.5220 | bsr=0.931 | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5227 | bsr=0.931 | agg=0.36s | det_auroc=0.969 | tpr@5=0.50
round   8 | acc=0.5241 | bsr=0.930 | agg=0.34s | det_auroc=0.953 | tpr@5=0.25
round   9 | acc=0.5270 | bsr=0.925 | agg=0.34s | det_auroc=0.984 | tpr@5=0.75
round  10 | acc=0.5281 | bsr=0.924 | agg=0.37s | det_auroc=0.953 | tpr@5=0.50
round  11 | acc=0.5308 | bsr=0.915 | agg=0.34s | det_auroc=0.969 | tpr@5=0.75
round  12 | acc=0.5305 | bsr=0.917 | agg=0.36s | det_auroc=0.984 | tpr@5=0.75
round  13 | acc=0.5331 | bsr=0.908 | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.5354 | bsr=0.902 | agg=0.33s | det_auroc=0.906 | tpr@5=0.25
round  15 | acc=0.5370 | bsr=0.899 | agg=0.36s | det_auroc=0.891 | tpr@5=0.00
round  16 | acc=0.5415 | bsr=0.883 | agg=0.37s | det_auroc=0.938 | tpr@5=0.75
round  17 | acc=0.5430 | bsr=0.878 | agg=0.34s | det_auroc=0.938 | tpr@5=0.25
round  18 | acc=0.5455 | bsr=0.869 | agg=0.35s | det_auroc=0.891 | tpr@5=0.25
round  19 | acc=0.5488 | bsr=0.860 | agg=0.36s | det_auroc=0.938 | tpr@5=0.50
round  20 | acc=0.5532 | bsr=0.838 | agg=0.36s | det_auroc=0.938 | tpr@5=0.75
