device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.5072 | bsr=nan | agg=0.51s | det_auroc=0.438 | tpr@5=0.00
round   2 | acc=0.5001 | bsr=nan | agg=0.46s | det_auroc=0.438 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=0.37s | det_auroc=0.406 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=0.42s | det_auroc=0.359 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.39s | det_auroc=0.359 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=nan | agg=0.42s | det_auroc=0.312 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.41s | det_auroc=0.312 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.42s | det_auroc=0.297 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.40s | det_auroc=0.266 | tpr@5=0.00
round  10 | acc=0.5001 | bsr=nan | agg=0.40s | det_auroc=0.266 | tpr@5=0.00
round  11 | acc=0.5015 | bsr=nan | agg=0.37s | det_auroc=0.297 | tpr@5=0.00
round  12 | acc=0.5060 | bsr=nan | agg=0.45s | det_auroc=0.266 | tpr@5=0.00
round  13 | acc=0.5100 | bsr=nan | agg=0.35s | det_auroc=0.234 | tpr@5=0.00
round  14 | acc=0.5182 | bsr=nan | agg=0.39s | det_auroc=0.266 | tpr@5=0.00
round  15 | acc=0.5218 | bsr=nan | agg=0.39s | det_auroc=0.188 | tpr@5=0.00
round  16 | acc=0.5360 | bsr=nan | agg=0.40s | det_auroc=0.219 | tpr@5=0.00
round  17 | acc=0.5423 | bsr=nan | agg=0.41s | det_auroc=0.250 | tpr@5=0.00
round  18 | acc=0.5436 | bsr=nan | agg=0.40s | det_auroc=0.234 | tpr@5=0.00
round  19 | acc=0.5403 | bsr=nan | agg=0.41s | det_auroc=0.266 | tpr@5=0.00
round  20 | acc=0.5405 | bsr=nan | agg=0.38s | det_auroc=0.328 | tpr@5=0.00
