device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=label_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.05s
round   2 | acc=0.5263 | bsr=nan | agg=0.05s
round   3 | acc=0.5000 | bsr=nan | agg=0.06s
round   4 | acc=0.5568 | bsr=nan | agg=0.05s
round   5 | acc=0.5000 | bsr=nan | agg=0.05s
round   6 | acc=0.5416 | bsr=nan | agg=0.05s
round   7 | acc=0.5093 | bsr=nan | agg=0.06s
round   8 | acc=0.5556 | bsr=nan | agg=0.05s
round   9 | acc=0.5249 | bsr=nan | agg=0.05s
round  10 | acc=0.5566 | bsr=nan | agg=0.06s
round  11 | acc=0.5373 | bsr=nan | agg=0.05s
round  12 | acc=0.5975 | bsr=nan | agg=0.07s
round  13 | acc=0.5256 | bsr=nan | agg=0.05s
round  14 | acc=0.6167 | bsr=nan | agg=0.05s
round  15 | acc=0.5383 | bsr=nan | agg=0.05s
round  16 | acc=0.6032 | bsr=nan | agg=0.06s
round  17 | acc=0.5516 | bsr=nan | agg=0.05s
round  18 | acc=0.6272 | bsr=nan | agg=0.05s
round  19 | acc=0.5374 | bsr=nan | agg=0.05s
round  20 | acc=0.6478 | bsr=nan | agg=0.06s
