device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.5170 | bsr=nan | agg=0.29s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5319 | bsr=nan | agg=0.26s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5450 | bsr=nan | agg=0.23s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5564 | bsr=nan | agg=0.22s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5588 | bsr=nan | agg=0.25s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5616 | bsr=nan | agg=0.22s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5648 | bsr=nan | agg=0.24s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5709 | bsr=nan | agg=0.22s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5778 | bsr=nan | agg=0.23s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5819 | bsr=nan | agg=0.22s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5880 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.5971 | bsr=nan | agg=0.22s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.5972 | bsr=nan | agg=0.21s | det_auroc=0.375 | tpr@5=0.00
round  14 | acc=0.6030 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6042 | bsr=nan | agg=0.23s | det_auroc=0.062 | tpr@5=0.00
round  16 | acc=0.6085 | bsr=nan | agg=0.21s | det_auroc=0.062 | tpr@5=0.00
round  17 | acc=0.6084 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.6095 | bsr=nan | agg=0.21s | det_auroc=0.438 | tpr@5=0.00
round  19 | acc=0.6090 | bsr=nan | agg=0.22s | det_auroc=0.500 | tpr@5=0.00
round  20 | acc=0.6076 | bsr=nan | agg=0.21s | det_auroc=0.500 | tpr@5=0.00
