device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.5174 | bsr=nan | agg=0.42s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5323 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5458 | bsr=nan | agg=0.41s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5580 | bsr=nan | agg=0.36s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5606 | bsr=nan | agg=0.34s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5654 | bsr=nan | agg=0.34s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5703 | bsr=nan | agg=0.36s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5758 | bsr=nan | agg=0.36s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5822 | bsr=nan | agg=0.40s | det_auroc=0.062 | tpr@5=0.00
round  10 | acc=0.5852 | bsr=nan | agg=0.47s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5936 | bsr=nan | agg=0.36s | det_auroc=0.062 | tpr@5=0.00
round  12 | acc=0.5985 | bsr=nan | agg=0.36s | det_auroc=0.062 | tpr@5=0.00
round  13 | acc=0.6001 | bsr=nan | agg=0.39s | det_auroc=0.375 | tpr@5=0.00
round  14 | acc=0.6048 | bsr=nan | agg=0.39s | det_auroc=0.125 | tpr@5=0.00
round  15 | acc=0.6071 | bsr=nan | agg=0.39s | det_auroc=0.125 | tpr@5=0.00
round  16 | acc=0.6072 | bsr=nan | agg=0.39s | det_auroc=0.062 | tpr@5=0.00
round  17 | acc=0.6096 | bsr=nan | agg=0.36s | det_auroc=0.062 | tpr@5=0.00
round  18 | acc=0.6109 | bsr=nan | agg=0.38s | det_auroc=0.125 | tpr@5=0.00
round  19 | acc=0.6114 | bsr=nan | agg=0.40s | det_auroc=0.125 | tpr@5=0.00
round  20 | acc=0.6090 | bsr=nan | agg=0.39s | det_auroc=0.250 | tpr@5=0.00
