device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=0.05s
round   2 | acc=0.5644 | bsr=nan | agg=0.05s
round   3 | acc=0.5011 | bsr=nan | agg=0.05s
round   4 | acc=0.6024 | bsr=nan | agg=0.05s
round   5 | acc=0.5140 | bsr=nan | agg=0.05s
round   6 | acc=0.5996 | bsr=nan | agg=0.05s
round   7 | acc=0.5858 | bsr=nan | agg=0.05s
round   8 | acc=0.5995 | bsr=nan | agg=0.05s
round   9 | acc=0.6128 | bsr=nan | agg=0.05s
round  10 | acc=0.5958 | bsr=nan | agg=0.05s
round  11 | acc=0.6150 | bsr=nan | agg=0.05s
round  12 | acc=0.6156 | bsr=nan | agg=0.05s
round  13 | acc=0.6163 | bsr=nan | agg=0.05s
round  14 | acc=0.6299 | bsr=nan | agg=0.05s
round  15 | acc=0.6336 | bsr=nan | agg=0.05s
round  16 | acc=0.6158 | bsr=nan | agg=0.05s
round  17 | acc=0.6439 | bsr=nan | agg=0.05s
round  18 | acc=0.6056 | bsr=nan | agg=0.05s
round  19 | acc=0.6549 | bsr=nan | agg=0.05s
round  20 | acc=0.6010 | bsr=nan | agg=0.05s
