device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=0.39s
round   2 | acc=0.5001 | bsr=nan | agg=0.39s
round   3 | acc=0.5014 | bsr=nan | agg=0.38s
round   4 | acc=0.5148 | bsr=nan | agg=0.38s
round   5 | acc=0.5126 | bsr=nan | agg=0.38s
round   6 | acc=0.5432 | bsr=nan | agg=0.40s
round   7 | acc=0.6036 | bsr=nan | agg=0.37s
round   8 | acc=0.5967 | bsr=nan | agg=0.38s
round   9 | acc=0.6077 | bsr=nan | agg=0.38s
round  10 | acc=0.6058 | bsr=nan | agg=0.38s
round  11 | acc=0.6071 | bsr=nan | agg=0.38s
round  12 | acc=0.6098 | bsr=nan | agg=0.39s
round  13 | acc=0.6074 | bsr=nan | agg=0.39s
round  14 | acc=0.6104 | bsr=nan | agg=0.40s
round  15 | acc=0.6102 | bsr=nan | agg=0.39s
round  16 | acc=0.6110 | bsr=nan | agg=0.39s
round  17 | acc=0.6122 | bsr=nan | agg=0.39s
round  18 | acc=0.6111 | bsr=nan | agg=0.39s
round  19 | acc=0.6122 | bsr=nan | agg=0.38s
round  20 | acc=0.6098 | bsr=nan | agg=0.38s
