device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.5150 | bsr=nan | agg=0.51s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.5313 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.5457 | bsr=nan | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.5598 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5652 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5680 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5714 | bsr=nan | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.5718 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.5688 | bsr=nan | agg=0.36s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.5696 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.5655 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.5610 | bsr=nan | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.5626 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.5589 | bsr=nan | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.5599 | bsr=nan | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.5573 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.5542 | bsr=nan | agg=0.35s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.5548 | bsr=nan | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.5585 | bsr=nan | agg=0.35s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.5648 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
