device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=min_max
round   1 | acc=0.5000 | bsr=nan | agg=0.18s | det_auroc=0.438 | tpr@5=0.00
round   2 | acc=0.5002 | bsr=nan | agg=0.19s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=0.15s | det_auroc=0.781 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=0.15s | det_auroc=0.781 | tpr@5=0.00
round   5 | acc=0.5006 | bsr=nan | agg=0.15s | det_auroc=0.875 | tpr@5=0.00
round   6 | acc=0.5012 | bsr=nan | agg=0.14s | det_auroc=0.938 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.13s | det_auroc=0.500 | tpr@5=0.00
round   8 | acc=0.5010 | bsr=nan | agg=0.13s | det_auroc=0.875 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.14s | det_auroc=0.781 | tpr@5=0.00
round  10 | acc=0.5190 | bsr=nan | agg=0.17s | det_auroc=0.844 | tpr@5=0.00
round  11 | acc=0.5015 | bsr=nan | agg=0.14s | det_auroc=0.781 | tpr@5=0.00
round  12 | acc=0.5026 | bsr=nan | agg=0.21s | det_auroc=0.938 | tpr@5=0.00
round  13 | acc=0.5401 | bsr=nan | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round  14 | acc=0.5027 | bsr=nan | agg=0.14s | det_auroc=0.500 | tpr@5=0.00
round  15 | acc=0.5535 | bsr=nan | agg=0.15s | det_auroc=0.844 | tpr@5=0.00
round  16 | acc=0.5108 | bsr=nan | agg=0.13s | det_auroc=0.781 | tpr@5=0.00
round  17 | acc=0.5708 | bsr=nan | agg=0.17s | det_auroc=0.844 | tpr@5=0.00
round  18 | acc=0.5084 | bsr=nan | agg=0.14s | det_auroc=0.500 | tpr@5=0.00
round  19 | acc=0.5745 | bsr=nan | agg=0.14s | det_auroc=0.844 | tpr@5=0.00
round  20 | acc=0.5155 | bsr=nan | agg=0.14s | det_auroc=0.562 | tpr@5=0.00
