device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=min_max
round   1 | acc=0.5000 | bsr=nan | agg=0.43s
round   2 | acc=0.5000 | bsr=nan | agg=0.41s
round   3 | acc=0.5000 | bsr=nan | agg=0.40s
round   4 | acc=0.5000 | bsr=nan | agg=0.41s
round   5 | acc=0.5000 | bsr=nan | agg=0.40s
round   6 | acc=0.5000 | bsr=nan | agg=0.41s
round   7 | acc=0.5000 | bsr=nan | agg=0.39s
round   8 | acc=0.5000 | bsr=nan | agg=0.39s
round   9 | acc=0.5000 | bsr=nan | agg=0.41s
round  10 | acc=0.5003 | bsr=nan | agg=0.42s
round  11 | acc=0.5006 | bsr=nan | agg=0.40s
round  12 | acc=0.5013 | bsr=nan | agg=0.40s
round  13 | acc=0.5102 | bsr=nan | agg=0.39s
round  14 | acc=0.5140 | bsr=nan | agg=0.42s
round  15 | acc=0.5158 | bsr=nan | agg=0.41s
round  16 | acc=0.5171 | bsr=nan | agg=0.40s
round  17 | acc=0.5358 | bsr=nan | agg=0.41s
round  18 | acc=0.5221 | bsr=nan | agg=0.41s
round  19 | acc=0.5557 | bsr=nan | agg=0.40s
round  20 | acc=0.5386 | bsr=nan | agg=0.41s
