device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.5179 | bsr=nan | agg=0.47s | det_auroc=0.156 | tpr@5=0.00
round   2 | acc=0.5314 | bsr=nan | agg=0.37s | det_auroc=0.125 | tpr@5=0.00
round   3 | acc=0.5296 | bsr=nan | agg=0.36s | det_auroc=0.375 | tpr@5=0.00
round   4 | acc=0.5252 | bsr=nan | agg=0.35s | det_auroc=0.422 | tpr@5=0.00
round   5 | acc=0.5268 | bsr=nan | agg=0.41s | det_auroc=0.641 | tpr@5=0.00
round   6 | acc=0.5277 | bsr=nan | agg=0.37s | det_auroc=0.641 | tpr@5=0.00
round   7 | acc=0.5303 | bsr=nan | agg=0.38s | det_auroc=0.672 | tpr@5=0.00
round   8 | acc=0.5317 | bsr=nan | agg=0.37s | det_auroc=0.672 | tpr@5=0.00
round   9 | acc=0.5316 | bsr=nan | agg=0.36s | det_auroc=0.656 | tpr@5=0.00
round  10 | acc=0.5326 | bsr=nan | agg=0.38s | det_auroc=0.766 | tpr@5=0.25
round  11 | acc=0.5310 | bsr=nan | agg=0.37s | det_auroc=0.625 | tpr@5=0.00
round  12 | acc=0.5297 | bsr=nan | agg=0.37s | det_auroc=0.703 | tpr@5=0.25
round  13 | acc=0.5333 | bsr=nan | agg=0.37s | det_auroc=0.641 | tpr@5=0.25
round  14 | acc=0.5332 | bsr=nan | agg=0.38s | det_auroc=0.625 | tpr@5=0.00
round  15 | acc=0.5346 | bsr=nan | agg=0.39s | det_auroc=0.656 | tpr@5=0.00
round  16 | acc=0.5349 | bsr=nan | agg=0.36s | det_auroc=0.672 | tpr@5=0.00
round  17 | acc=0.5345 | bsr=nan | agg=0.36s | det_auroc=0.734 | tpr@5=0.00
round  18 | acc=0.5362 | bsr=nan | agg=0.39s | det_auroc=0.641 | tpr@5=0.00
round  19 | acc=0.5402 | bsr=nan | agg=0.33s | det_auroc=0.703 | tpr@5=0.25
round  20 | acc=0.5450 | bsr=nan | agg=0.36s | det_auroc=0.719 | tpr@5=0.50
