device=cuda dataset=imdb(real) clients=20 malicious=4 defense=multi_krum attack=spurious_feature
round   1 | acc=0.5000 | bsr=nan | agg=3.39s | det_auroc=0.375 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=3.36s | det_auroc=0.359 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=3.34s | det_auroc=0.359 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=3.40s | det_auroc=0.359 | tpr@5=0.00
round   5 | acc=0.5001 | bsr=nan | agg=3.35s | det_auroc=0.359 | tpr@5=0.00
round   6 | acc=0.5002 | bsr=nan | agg=3.35s | det_auroc=0.359 | tpr@5=0.00
round   7 | acc=0.5144 | bsr=nan | agg=3.35s | det_auroc=0.359 | tpr@5=0.00
round   8 | acc=0.5139 | bsr=nan | agg=3.35s | det_auroc=0.375 | tpr@5=0.00
round   9 | acc=0.5305 | bsr=nan | agg=3.34s | det_auroc=0.375 | tpr@5=0.00
round  10 | acc=0.5256 | bsr=nan | agg=3.42s | det_auroc=0.375 | tpr@5=0.00
round  11 | acc=0.5435 | bsr=nan | agg=3.36s | det_auroc=0.391 | tpr@5=0.00
round  12 | acc=0.5649 | bsr=nan | agg=3.35s | det_auroc=0.375 | tpr@5=0.00
round  13 | acc=0.5499 | bsr=nan | agg=3.35s | det_auroc=0.391 | tpr@5=0.00
round  14 | acc=0.5618 | bsr=nan | agg=3.38s | det_auroc=0.422 | tpr@5=0.00
round  15 | acc=0.5868 | bsr=nan | agg=3.35s | det_auroc=0.375 | tpr@5=0.00
round  16 | acc=0.5707 | bsr=nan | agg=3.34s | det_auroc=0.391 | tpr@5=0.00
round  17 | acc=0.5874 | bsr=nan | agg=3.34s | det_auroc=0.406 | tpr@5=0.00
round  18 | acc=0.5886 | bsr=nan | agg=3.34s | det_auroc=0.375 | tpr@5=0.00
round  19 | acc=0.5880 | bsr=nan | agg=3.34s | det_auroc=0.391 | tpr@5=0.00
round  20 | acc=0.5983 | bsr=nan | agg=3.42s | det_auroc=0.406 | tpr@5=0.00
