device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.4450 | bsr=0.000 | agg=0.51s | det_auroc=0.844 | tpr@5=0.00
round   2 | acc=0.6600 | bsr=0.073 | agg=0.50s | det_auroc=0.906 | tpr@5=0.50
round   3 | acc=0.7057 | bsr=0.062 | agg=0.48s | det_auroc=0.781 | tpr@5=0.00
round   4 | acc=0.7495 | bsr=0.104 | agg=0.45s | det_auroc=0.844 | tpr@5=0.25
round   5 | acc=0.7566 | bsr=0.108 | agg=0.47s | det_auroc=0.875 | tpr@5=0.25
round   6 | acc=0.7646 | bsr=0.148 | agg=0.43s | det_auroc=0.812 | tpr@5=0.25
round   7 | acc=0.7812 | bsr=0.271 | agg=0.48s | det_auroc=0.859 | tpr@5=0.25
round   8 | acc=0.7889 | bsr=0.315 | agg=0.49s | det_auroc=0.719 | tpr@5=0.25
round   9 | acc=0.7949 | bsr=0.466 | agg=0.47s | det_auroc=0.781 | tpr@5=0.00
round  10 | acc=0.8029 | bsr=0.540 | agg=0.49s | det_auroc=0.734 | tpr@5=0.00
round  11 | acc=0.7944 | bsr=0.616 | agg=0.46s | det_auroc=0.688 | tpr@5=0.00
round  12 | acc=0.8147 | bsr=0.738 | agg=0.48s | det_auroc=0.703 | tpr@5=0.00
round  13 | acc=0.8181 | bsr=0.750 | agg=0.47s | det_auroc=0.406 | tpr@5=0.00
round  14 | acc=0.8263 | bsr=0.814 | agg=0.43s | det_auroc=0.469 | tpr@5=0.00
round  15 | acc=0.8254 | bsr=0.802 | agg=0.46s | det_auroc=0.516 | tpr@5=0.00
round  16 | acc=0.8289 | bsr=0.834 | agg=0.46s | det_auroc=0.516 | tpr@5=0.00
round  17 | acc=0.8361 | bsr=0.858 | agg=0.46s | det_auroc=0.391 | tpr@5=0.00
round  18 | acc=0.8410 | bsr=0.864 | agg=0.47s | det_auroc=0.547 | tpr@5=0.00
round  19 | acc=0.8488 | bsr=0.867 | agg=0.47s | det_auroc=0.297 | tpr@5=0.00
round  20 | acc=0.8412 | bsr=0.885 | agg=0.47s | det_auroc=0.328 | tpr@5=0.00
round  21 | acc=0.8498 | bsr=0.893 | agg=0.45s | det_auroc=0.484 | tpr@5=0.00
round  22 | acc=0.8501 | bsr=0.900 | agg=0.49s | det_auroc=0.156 | tpr@5=0.00
round  23 | acc=0.8557 | bsr=0.904 | agg=0.52s | det_auroc=0.312 | tpr@5=0.00
round  24 | acc=0.8542 | bsr=0.916 | agg=0.47s | det_auroc=0.266 | tpr@5=0.00
round  25 | acc=0.8578 | bsr=0.911 | agg=0.50s | det_auroc=0.250 | tpr@5=0.00
round  26 | acc=0.8597 | bsr=0.926 | agg=0.46s | det_auroc=0.344 | tpr@5=0.00
round  27 | acc=0.8614 | bsr=0.920 | agg=0.46s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.8595 | bsr=0.920 | agg=0.43s | det_auroc=0.266 | tpr@5=0.00
round  29 | acc=0.8622 | bsr=0.923 | agg=0.45s | det_auroc=0.062 | tpr@5=0.00
round  30 | acc=0.8635 | bsr=0.934 | agg=0.46s | det_auroc=0.094 | tpr@5=0.00
round  31 | acc=0.8613 | bsr=0.927 | agg=0.47s | det_auroc=0.188 | tpr@5=0.00
round  32 | acc=0.8674 | bsr=0.937 | agg=0.46s | det_auroc=0.172 | tpr@5=0.00
round  33 | acc=0.8681 | bsr=0.942 | agg=0.45s | det_auroc=0.109 | tpr@5=0.00
round  34 | acc=0.8689 | bsr=0.946 | agg=0.44s | det_auroc=0.344 | tpr@5=0.00
round  35 | acc=0.8725 | bsr=0.952 | agg=0.39s | det_auroc=0.141 | tpr@5=0.00
round  36 | acc=0.8693 | bsr=0.943 | agg=0.41s | det_auroc=0.094 | tpr@5=0.00
round  37 | acc=0.8735 | bsr=0.953 | agg=0.40s | det_auroc=0.281 | tpr@5=0.00
round  38 | acc=0.8753 | bsr=0.954 | agg=0.50s | det_auroc=0.125 | tpr@5=0.00
round  39 | acc=0.8759 | bsr=0.952 | agg=0.48s | det_auroc=0.141 | tpr@5=0.00
round  40 | acc=0.8754 | bsr=0.960 | agg=0.42s | det_auroc=0.078 | tpr@5=0.00
round  41 | acc=0.8775 | bsr=0.964 | agg=0.39s | det_auroc=0.000 | tpr@5=0.00
round  42 | acc=0.8741 | bsr=0.960 | agg=0.40s | det_auroc=0.016 | tpr@5=0.00
round  43 | acc=0.8772 | bsr=0.963 | agg=0.32s | det_auroc=0.062 | tpr@5=0.00
round  44 | acc=0.8780 | bsr=0.964 | agg=0.43s | det_auroc=0.078 | tpr@5=0.00
round  45 | acc=0.8808 | bsr=0.964 | agg=0.41s | det_auroc=0.047 | tpr@5=0.00
round  46 | acc=0.8818 | bsr=0.970 | agg=0.39s | det_auroc=0.109 | tpr@5=0.00
round  47 | acc=0.8804 | bsr=0.968 | agg=0.42s | det_auroc=0.031 | tpr@5=0.00
round  48 | acc=0.8833 | bsr=0.974 | agg=0.38s | det_auroc=0.109 | tpr@5=0.00
round  49 | acc=0.8828 | bsr=0.974 | agg=0.41s | det_auroc=0.234 | tpr@5=0.00
