device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.5000 | bsr=0.002 | agg=0.42s | det_auroc=0.828 | tpr@5=0.00
round   2 | acc=0.6524 | bsr=0.047 | agg=0.41s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.7081 | bsr=0.060 | agg=0.41s | det_auroc=0.828 | tpr@5=0.50
round   4 | acc=0.7341 | bsr=0.064 | agg=0.43s | det_auroc=0.844 | tpr@5=0.50
round   5 | acc=0.7580 | bsr=0.083 | agg=0.40s | det_auroc=0.875 | tpr@5=0.50
round   6 | acc=0.7568 | bsr=0.061 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7761 | bsr=0.068 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7705 | bsr=0.058 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7934 | bsr=0.061 | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7924 | bsr=0.052 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7969 | bsr=0.053 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8052 | bsr=0.056 | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8165 | bsr=0.061 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8121 | bsr=0.056 | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8208 | bsr=0.060 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8239 | bsr=0.056 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8219 | bsr=0.051 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8306 | bsr=0.051 | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8364 | bsr=0.051 | agg=0.35s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8366 | bsr=0.059 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8460 | bsr=0.055 | agg=0.34s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8467 | bsr=0.041 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8521 | bsr=0.045 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8501 | bsr=0.051 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8528 | bsr=0.044 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8501 | bsr=0.048 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8564 | bsr=0.042 | agg=0.33s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8548 | bsr=0.039 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8550 | bsr=0.049 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8559 | bsr=0.028 | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8630 | bsr=0.040 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8628 | bsr=0.040 | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8658 | bsr=0.040 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8674 | bsr=0.043 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8688 | bsr=0.035 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8691 | bsr=0.037 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8674 | bsr=0.039 | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8700 | bsr=0.034 | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8717 | bsr=0.043 | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8720 | bsr=0.036 | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8725 | bsr=0.033 | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8728 | bsr=0.036 | agg=0.34s | det_auroc=1.000 | tpr@5=1.00
