device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.4990 | bsr=nan | agg=0.44s | det_auroc=0.875 | tpr@5=0.00
round   2 | acc=0.6384 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.7095 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7201 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7422 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7573 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7684 | bsr=nan | agg=0.34s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7878 | bsr=nan | agg=0.48s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7720 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7971 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7945 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8100 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8163 | bsr=nan | agg=0.31s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8083 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8245 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8162 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8326 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8306 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8303 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8347 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8476 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8417 | bsr=nan | agg=0.45s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8496 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8473 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8483 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8540 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8564 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8592 | bsr=nan | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8607 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8604 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8602 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8604 | bsr=nan | agg=0.56s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8637 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8635 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8654 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8668 | bsr=nan | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8675 | bsr=nan | agg=0.38s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8701 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8691 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8698 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8692 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8712 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.8692 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8731 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.8764 | bsr=nan | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8751 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8756 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8794 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.8790 | bsr=nan | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8762 | bsr=nan | agg=0.51s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8794 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8802 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8801 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8818 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8827 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8819 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8835 | bsr=nan | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8832 | bsr=nan | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8841 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8830 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
