device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.4387 | bsr=nan | agg=0.44s | det_auroc=0.875 | tpr@5=0.00
round   2 | acc=0.6370 | bsr=nan | agg=0.42s | det_auroc=0.812 | tpr@5=0.00
round   3 | acc=0.7103 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7337 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7416 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7590 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7685 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7828 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7795 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7913 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7989 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8064 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8102 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8097 | bsr=nan | agg=0.41s | det_auroc=0.938 | tpr@5=0.00
round  15 | acc=0.8189 | bsr=nan | agg=0.27s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8160 | bsr=nan | agg=0.39s | det_auroc=0.938 | tpr@5=0.00
round  17 | acc=0.8315 | bsr=nan | agg=0.40s | det_auroc=0.938 | tpr@5=0.00
round  18 | acc=0.8343 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8386 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8361 | bsr=nan | agg=0.34s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8381 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8486 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8416 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8528 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8543 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8535 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8555 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8564 | bsr=nan | agg=0.43s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8598 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8632 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8605 | bsr=nan | agg=0.32s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8626 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8637 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8671 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8618 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8668 | bsr=nan | agg=0.44s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8671 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8695 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8697 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8698 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8740 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
