device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=min_max
round   1 | acc=0.5062 | bsr=nan | agg=0.43s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.6403 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.7059 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7200 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7428 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7550 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7695 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7870 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7729 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7970 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7948 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8103 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8148 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8093 | bsr=nan | agg=0.37s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8244 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8165 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8323 | bsr=nan | agg=0.10s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8310 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8305 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8354 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
