device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.4809 | bsr=nan | agg=0.48s | det_auroc=0.719 | tpr@5=0.00
round   2 | acc=0.6729 | bsr=nan | agg=0.48s | det_auroc=0.719 | tpr@5=0.50
round   3 | acc=0.7301 | bsr=nan | agg=0.46s | det_auroc=0.656 | tpr@5=0.00
round   4 | acc=0.7483 | bsr=nan | agg=0.47s | det_auroc=0.641 | tpr@5=0.25
round   5 | acc=0.7604 | bsr=nan | agg=0.45s | det_auroc=0.484 | tpr@5=0.00
round   6 | acc=0.7770 | bsr=nan | agg=0.16s | det_auroc=0.562 | tpr@5=0.00
round   7 | acc=0.7841 | bsr=nan | agg=0.48s | det_auroc=0.547 | tpr@5=0.25
round   8 | acc=0.7928 | bsr=nan | agg=0.47s | det_auroc=0.719 | tpr@5=0.25
round   9 | acc=0.7977 | bsr=nan | agg=0.47s | det_auroc=0.609 | tpr@5=0.25
round  10 | acc=0.8049 | bsr=nan | agg=0.40s | det_auroc=0.656 | tpr@5=0.25
round  11 | acc=0.8092 | bsr=nan | agg=0.45s | det_auroc=0.516 | tpr@5=0.25
round  12 | acc=0.8199 | bsr=nan | agg=0.49s | det_auroc=0.719 | tpr@5=0.25
round  13 | acc=0.8197 | bsr=nan | agg=0.46s | det_auroc=0.750 | tpr@5=0.25
round  14 | acc=0.8268 | bsr=nan | agg=0.51s | det_auroc=0.656 | tpr@5=0.25
round  15 | acc=0.8267 | bsr=nan | agg=0.46s | det_auroc=0.656 | tpr@5=0.25
round  16 | acc=0.8312 | bsr=nan | agg=0.46s | det_auroc=0.547 | tpr@5=0.00
round  17 | acc=0.8422 | bsr=nan | agg=0.45s | det_auroc=0.719 | tpr@5=0.00
round  18 | acc=0.8427 | bsr=nan | agg=0.43s | det_auroc=0.734 | tpr@5=0.25
round  19 | acc=0.8473 | bsr=nan | agg=0.46s | det_auroc=0.562 | tpr@5=0.25
round  20 | acc=0.8459 | bsr=nan | agg=0.47s | det_auroc=0.453 | tpr@5=0.25
round  21 | acc=0.8502 | bsr=nan | agg=0.45s | det_auroc=0.812 | tpr@5=0.50
round  22 | acc=0.8513 | bsr=nan | agg=0.41s | det_auroc=0.609 | tpr@5=0.25
round  23 | acc=0.8524 | bsr=nan | agg=0.46s | det_auroc=0.812 | tpr@5=0.25
round  24 | acc=0.8578 | bsr=nan | agg=0.45s | det_auroc=0.656 | tpr@5=0.25
round  25 | acc=0.8579 | bsr=nan | agg=0.45s | det_auroc=0.625 | tpr@5=0.25
round  26 | acc=0.8592 | bsr=nan | agg=0.46s | det_auroc=0.594 | tpr@5=0.25
round  27 | acc=0.8583 | bsr=nan | agg=0.46s | det_auroc=0.734 | tpr@5=0.25
round  28 | acc=0.8633 | bsr=nan | agg=0.42s | det_auroc=0.875 | tpr@5=0.50
round  29 | acc=0.8633 | bsr=nan | agg=0.46s | det_auroc=0.672 | tpr@5=0.25
round  30 | acc=0.8664 | bsr=nan | agg=0.45s | det_auroc=0.781 | tpr@5=0.50
round  31 | acc=0.8653 | bsr=nan | agg=0.46s | det_auroc=0.609 | tpr@5=0.25
round  32 | acc=0.8671 | bsr=nan | agg=0.44s | det_auroc=0.828 | tpr@5=0.50
round  33 | acc=0.8675 | bsr=nan | agg=0.45s | det_auroc=0.672 | tpr@5=0.50
round  34 | acc=0.8686 | bsr=nan | agg=0.45s | det_auroc=0.750 | tpr@5=0.25
round  35 | acc=0.8661 | bsr=nan | agg=0.44s | det_auroc=0.641 | tpr@5=0.25
round  36 | acc=0.8714 | bsr=nan | agg=0.46s | det_auroc=0.922 | tpr@5=0.50
round  37 | acc=0.8734 | bsr=nan | agg=0.47s | det_auroc=0.641 | tpr@5=0.25
round  38 | acc=0.8723 | bsr=nan | agg=0.44s | det_auroc=0.766 | tpr@5=0.25
round  39 | acc=0.8733 | bsr=nan | agg=0.37s | det_auroc=0.938 | tpr@5=0.50
round  40 | acc=0.8749 | bsr=nan | agg=0.38s | det_auroc=0.750 | tpr@5=0.50
round  41 | acc=0.8758 | bsr=nan | agg=0.44s | det_auroc=0.688 | tpr@5=0.25
round  42 | acc=0.8754 | bsr=nan | agg=0.47s | det_auroc=0.844 | tpr@5=0.25
round  43 | acc=0.8775 | bsr=nan | agg=0.44s | det_auroc=0.609 | tpr@5=0.50
round  44 | acc=0.8753 | bsr=nan | agg=0.45s | det_auroc=0.781 | tpr@5=0.50
round  45 | acc=0.8793 | bsr=nan | agg=0.45s | det_auroc=0.891 | tpr@5=0.50
round  46 | acc=0.8784 | bsr=nan | agg=0.46s | det_auroc=0.781 | tpr@5=0.50
round  47 | acc=0.8798 | bsr=nan | agg=0.46s | det_auroc=0.609 | tpr@5=0.00
round  48 | acc=0.8803 | bsr=nan | agg=0.46s | det_auroc=0.859 | tpr@5=0.25
round  49 | acc=0.8792 | bsr=nan | agg=0.40s | det_auroc=0.922 | tpr@5=0.25
round  50 | acc=0.8805 | bsr=nan | agg=0.46s | det_auroc=0.750 | tpr@5=0.00
round  51 | acc=0.8821 | bsr=nan | agg=0.46s | det_auroc=0.734 | tpr@5=0.50
round  52 | acc=0.8829 | bsr=nan | agg=0.45s | det_auroc=0.922 | tpr@5=0.50
round  53 | acc=0.8821 | bsr=nan | agg=0.43s | det_auroc=0.828 | tpr@5=0.25
round  54 | acc=0.8835 | bsr=nan | agg=0.45s | det_auroc=0.625 | tpr@5=0.25
round  55 | acc=0.8861 | bsr=nan | agg=0.52s | det_auroc=0.547 | tpr@5=0.00
round  56 | acc=0.8861 | bsr=nan | agg=0.46s | det_auroc=0.812 | tpr@5=0.50
round  57 | acc=0.8836 | bsr=nan | agg=0.51s | det_auroc=0.766 | tpr@5=0.00
round  58 | acc=0.8838 | bsr=nan | agg=0.46s | det_auroc=0.625 | tpr@5=0.25
round  59 | acc=0.8832 | bsr=nan | agg=0.31s | det_auroc=0.766 | tpr@5=0.25
round  60 | acc=0.8871 | bsr=nan | agg=0.46s | det_auroc=0.641 | tpr@5=0.25
