device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=spurious_feature
round   1 | acc=0.5384 | bsr=nan | agg=0.42s | det_auroc=0.672 | tpr@5=0.00
round   2 | acc=0.6760 | bsr=nan | agg=0.41s | det_auroc=0.672 | tpr@5=0.25
round   3 | acc=0.7207 | bsr=nan | agg=0.43s | det_auroc=0.703 | tpr@5=0.25
round   4 | acc=0.7247 | bsr=nan | agg=0.39s | det_auroc=0.703 | tpr@5=0.00
round   5 | acc=0.7635 | bsr=nan | agg=0.40s | det_auroc=0.734 | tpr@5=0.00
round   6 | acc=0.7618 | bsr=nan | agg=0.42s | det_auroc=0.656 | tpr@5=0.25
round   7 | acc=0.7794 | bsr=nan | agg=0.39s | det_auroc=0.562 | tpr@5=0.00
round   8 | acc=0.7868 | bsr=nan | agg=0.38s | det_auroc=0.531 | tpr@5=0.00
round   9 | acc=0.7784 | bsr=nan | agg=0.34s | det_auroc=0.547 | tpr@5=0.50
round  10 | acc=0.8019 | bsr=nan | agg=0.42s | det_auroc=0.625 | tpr@5=0.00
round  11 | acc=0.8046 | bsr=nan | agg=0.40s | det_auroc=0.734 | tpr@5=0.25
round  12 | acc=0.8147 | bsr=nan | agg=0.39s | det_auroc=0.734 | tpr@5=0.25
round  13 | acc=0.8173 | bsr=nan | agg=0.40s | det_auroc=0.734 | tpr@5=0.50
round  14 | acc=0.8169 | bsr=nan | agg=0.37s | det_auroc=0.656 | tpr@5=0.00
round  15 | acc=0.8267 | bsr=nan | agg=0.40s | det_auroc=0.766 | tpr@5=0.25
round  16 | acc=0.8224 | bsr=nan | agg=0.32s | det_auroc=0.766 | tpr@5=0.25
round  17 | acc=0.8349 | bsr=nan | agg=0.39s | det_auroc=0.828 | tpr@5=0.50
round  18 | acc=0.8388 | bsr=nan | agg=0.38s | det_auroc=0.625 | tpr@5=0.50
round  19 | acc=0.8380 | bsr=nan | agg=0.36s | det_auroc=0.812 | tpr@5=0.25
round  20 | acc=0.8295 | bsr=nan | agg=0.40s | det_auroc=0.875 | tpr@5=0.50
round  21 | acc=0.8499 | bsr=nan | agg=0.39s | det_auroc=0.922 | tpr@5=0.50
round  22 | acc=0.8440 | bsr=nan | agg=0.41s | det_auroc=0.812 | tpr@5=0.25
round  23 | acc=0.8497 | bsr=nan | agg=0.40s | det_auroc=0.734 | tpr@5=0.50
round  24 | acc=0.8514 | bsr=nan | agg=0.45s | det_auroc=0.703 | tpr@5=0.50
round  25 | acc=0.8506 | bsr=nan | agg=0.42s | det_auroc=0.859 | tpr@5=0.25
round  26 | acc=0.8592 | bsr=nan | agg=0.39s | det_auroc=0.922 | tpr@5=0.25
round  27 | acc=0.8604 | bsr=nan | agg=0.38s | det_auroc=0.828 | tpr@5=0.25
round  28 | acc=0.8587 | bsr=nan | agg=0.40s | det_auroc=0.859 | tpr@5=0.25
round  29 | acc=0.8610 | bsr=nan | agg=0.22s | det_auroc=0.812 | tpr@5=0.50
round  30 | acc=0.8648 | bsr=nan | agg=0.40s | det_auroc=0.719 | tpr@5=0.50
round  31 | acc=0.8641 | bsr=nan | agg=0.39s | det_auroc=0.750 | tpr@5=0.50
round  32 | acc=0.8652 | bsr=nan | agg=0.40s | det_auroc=0.859 | tpr@5=0.25
round  33 | acc=0.8681 | bsr=nan | agg=0.41s | det_auroc=0.812 | tpr@5=0.25
round  34 | acc=0.8663 | bsr=nan | agg=0.39s | det_auroc=0.766 | tpr@5=0.50
round  35 | acc=0.8701 | bsr=nan | agg=0.41s | det_auroc=0.609 | tpr@5=0.25
round  36 | acc=0.8699 | bsr=nan | agg=0.39s | det_auroc=0.812 | tpr@5=0.25
round  37 | acc=0.8712 | bsr=nan | agg=0.44s | det_auroc=0.875 | tpr@5=0.25
round  38 | acc=0.8713 | bsr=nan | agg=0.43s | det_auroc=0.859 | tpr@5=0.25
round  39 | acc=0.8713 | bsr=nan | agg=0.39s | det_auroc=0.781 | tpr@5=0.50
round  40 | acc=0.8748 | bsr=nan | agg=0.39s | det_auroc=0.812 | tpr@5=0.25
round  41 | acc=0.8718 | bsr=nan | agg=0.40s | det_auroc=0.844 | tpr@5=0.25
round  42 | acc=0.8752 | bsr=nan | agg=0.40s | det_auroc=0.844 | tpr@5=0.50
round  43 | acc=0.8712 | bsr=nan | agg=0.40s | det_auroc=0.750 | tpr@5=0.25
