device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0477 | bsr=0.000 | agg=0.23s | det_auroc=0.828 | tpr@5=0.25
round   2 | acc=0.0475 | bsr=0.000 | agg=0.22s | det_auroc=0.891 | tpr@5=0.50
round   3 | acc=0.0475 | bsr=0.000 | agg=0.25s | det_auroc=0.734 | tpr@5=0.25
round   4 | acc=0.0481 | bsr=0.000 | agg=0.23s | det_auroc=0.844 | tpr@5=0.25
round   5 | acc=0.0493 | bsr=0.000 | agg=0.21s | det_auroc=0.844 | tpr@5=0.00
round   6 | acc=0.0517 | bsr=0.000 | agg=0.19s | det_auroc=0.875 | tpr@5=0.50
round   7 | acc=0.0544 | bsr=0.000 | agg=0.20s | det_auroc=0.844 | tpr@5=0.25
round   8 | acc=0.0566 | bsr=0.000 | agg=0.22s | det_auroc=0.875 | tpr@5=0.50
round   9 | acc=0.0596 | bsr=0.000 | agg=0.26s | det_auroc=0.859 | tpr@5=0.25
round  10 | acc=0.0631 | bsr=0.000 | agg=0.21s | det_auroc=0.891 | tpr@5=0.25
round  11 | acc=0.0701 | bsr=0.000 | agg=0.20s | det_auroc=0.812 | tpr@5=0.00
round  12 | acc=0.0796 | bsr=0.001 | agg=0.20s | det_auroc=0.859 | tpr@5=0.50
round  13 | acc=0.0956 | bsr=0.002 | agg=0.19s | det_auroc=0.844 | tpr@5=0.25
round  14 | acc=0.1166 | bsr=0.006 | agg=0.20s | det_auroc=0.891 | tpr@5=0.00
round  15 | acc=0.1395 | bsr=0.015 | agg=0.19s | det_auroc=0.922 | tpr@5=0.50
round  16 | acc=0.1633 | bsr=0.037 | agg=0.20s | det_auroc=0.906 | tpr@5=0.50
round  17 | acc=0.1925 | bsr=0.079 | agg=0.23s | det_auroc=0.875 | tpr@5=0.50
round  18 | acc=0.2267 | bsr=0.150 | agg=0.18s | det_auroc=0.906 | tpr@5=0.25
round  19 | acc=0.2608 | bsr=0.231 | agg=0.21s | det_auroc=0.922 | tpr@5=0.25
round  20 | acc=0.2964 | bsr=0.315 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  21 | acc=0.3224 | bsr=0.387 | agg=0.21s | det_auroc=0.922 | tpr@5=0.50
round  22 | acc=0.3432 | bsr=0.438 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  23 | acc=0.3562 | bsr=0.467 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  24 | acc=0.3630 | bsr=0.493 | agg=0.19s | det_auroc=0.938 | tpr@5=0.50
round  25 | acc=0.3694 | bsr=0.505 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  26 | acc=0.3755 | bsr=0.507 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  27 | acc=0.3802 | bsr=0.509 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  28 | acc=0.3859 | bsr=0.507 | agg=0.19s | det_auroc=0.938 | tpr@5=0.50
round  29 | acc=0.3908 | bsr=0.503 | agg=0.19s | det_auroc=0.938 | tpr@5=0.50
round  30 | acc=0.3958 | bsr=0.496 | agg=0.18s | det_auroc=0.938 | tpr@5=0.50
round  31 | acc=0.4020 | bsr=0.490 | agg=0.27s | det_auroc=0.938 | tpr@5=0.50
round  32 | acc=0.4128 | bsr=0.481 | agg=0.24s | det_auroc=0.938 | tpr@5=0.50
round  33 | acc=0.4296 | bsr=0.472 | agg=0.20s | det_auroc=0.938 | tpr@5=0.50
round  34 | acc=0.4460 | bsr=0.462 | agg=0.22s | det_auroc=0.953 | tpr@5=0.50
round  35 | acc=0.4620 | bsr=0.448 | agg=0.25s | det_auroc=0.969 | tpr@5=0.50
round  36 | acc=0.4806 | bsr=0.440 | agg=0.21s | det_auroc=0.938 | tpr@5=0.50
round  37 | acc=0.4933 | bsr=0.432 | agg=0.19s | det_auroc=0.953 | tpr@5=0.50
round  38 | acc=0.5164 | bsr=0.412 | agg=0.20s | det_auroc=0.953 | tpr@5=0.50
round  39 | acc=0.5326 | bsr=0.399 | agg=0.26s | det_auroc=0.953 | tpr@5=0.50
round  40 | acc=0.5472 | bsr=0.385 | agg=0.23s | det_auroc=0.953 | tpr@5=0.50
round  41 | acc=0.5633 | bsr=0.372 | agg=0.20s | det_auroc=0.953 | tpr@5=0.50
round  42 | acc=0.5782 | bsr=0.362 | agg=0.25s | det_auroc=0.969 | tpr@5=0.50
round  43 | acc=0.5913 | bsr=0.353 | agg=0.19s | det_auroc=0.953 | tpr@5=0.50
round  44 | acc=0.6030 | bsr=0.338 | agg=0.23s | det_auroc=0.969 | tpr@5=0.50
round  45 | acc=0.6194 | bsr=0.323 | agg=0.18s | det_auroc=0.969 | tpr@5=0.50
round  46 | acc=0.6279 | bsr=0.310 | agg=0.19s | det_auroc=0.969 | tpr@5=0.50
round  47 | acc=0.6349 | bsr=0.298 | agg=0.19s | det_auroc=0.969 | tpr@5=0.50
round  48 | acc=0.6454 | bsr=0.287 | agg=0.18s | det_auroc=0.953 | tpr@5=0.25
round  49 | acc=0.6545 | bsr=0.273 | agg=0.18s | det_auroc=0.969 | tpr@5=0.50
round  50 | acc=0.6630 | bsr=0.258 | agg=0.21s | det_auroc=0.953 | tpr@5=0.25
round  51 | acc=0.6696 | bsr=0.246 | agg=0.19s | det_auroc=0.984 | tpr@5=0.75
round  52 | acc=0.6723 | bsr=0.238 | agg=0.17s | det_auroc=0.984 | tpr@5=0.75
round  53 | acc=0.6790 | bsr=0.225 | agg=0.21s | det_auroc=0.984 | tpr@5=0.75
round  54 | acc=0.6808 | bsr=0.213 | agg=0.19s | det_auroc=0.969 | tpr@5=0.50
round  55 | acc=0.6851 | bsr=0.204 | agg=0.17s | det_auroc=0.953 | tpr@5=0.25
round  56 | acc=0.6885 | bsr=0.197 | agg=0.19s | det_auroc=0.953 | tpr@5=0.25
round  57 | acc=0.6920 | bsr=0.188 | agg=0.19s | det_auroc=0.953 | tpr@5=0.25
round  58 | acc=0.6923 | bsr=0.181 | agg=0.24s | det_auroc=0.984 | tpr@5=0.75
round  59 | acc=0.6957 | bsr=0.172 | agg=0.18s | det_auroc=0.953 | tpr@5=0.25
round  60 | acc=0.6973 | bsr=0.164 | agg=0.18s | det_auroc=0.953 | tpr@5=0.25
