device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0577 | bsr=0.000 | agg=0.16s | det_auroc=0.844 | tpr@5=0.00
round   2 | acc=0.1096 | bsr=0.000 | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.3369 | bsr=0.041 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round   4 | acc=0.5103 | bsr=0.096 | agg=0.17s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.6242 | bsr=0.056 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6509 | bsr=0.035 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6636 | bsr=0.029 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6590 | bsr=0.024 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6639 | bsr=0.025 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6750 | bsr=0.027 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6733 | bsr=0.025 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6823 | bsr=0.025 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7001 | bsr=0.025 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7106 | bsr=0.024 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  15 | acc=0.7166 | bsr=0.023 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  16 | acc=0.7189 | bsr=0.023 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7255 | bsr=0.024 | agg=0.16s | det_auroc=0.969 | tpr@5=0.75
round  18 | acc=0.7339 | bsr=0.027 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  19 | acc=0.7376 | bsr=0.027 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  20 | acc=0.7389 | bsr=0.028 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round  21 | acc=0.7436 | bsr=0.029 | agg=0.15s | det_auroc=0.969 | tpr@5=0.50
round  22 | acc=0.7449 | bsr=0.029 | agg=0.14s | det_auroc=0.953 | tpr@5=0.50
round  23 | acc=0.7449 | bsr=0.028 | agg=0.13s | det_auroc=0.984 | tpr@5=0.75
round  24 | acc=0.7502 | bsr=0.029 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  25 | acc=0.7567 | bsr=0.030 | agg=0.17s | det_auroc=0.969 | tpr@5=0.75
round  26 | acc=0.7580 | bsr=0.029 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  27 | acc=0.7603 | bsr=0.031 | agg=0.12s | det_auroc=0.938 | tpr@5=0.50
round  28 | acc=0.7593 | bsr=0.030 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  29 | acc=0.7603 | bsr=0.030 | agg=0.11s | det_auroc=0.984 | tpr@5=0.75
round  30 | acc=0.7624 | bsr=0.031 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  31 | acc=0.7613 | bsr=0.029 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  32 | acc=0.7655 | bsr=0.029 | agg=0.12s | det_auroc=0.969 | tpr@5=0.75
round  33 | acc=0.7712 | bsr=0.030 | agg=0.13s | det_auroc=0.984 | tpr@5=0.75
round  34 | acc=0.7728 | bsr=0.030 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  35 | acc=0.7755 | bsr=0.030 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  36 | acc=0.7783 | bsr=0.030 | agg=0.12s | det_auroc=0.953 | tpr@5=0.75
round  37 | acc=0.7807 | bsr=0.030 | agg=0.11s | det_auroc=0.938 | tpr@5=0.50
round  38 | acc=0.7848 | bsr=0.030 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  39 | acc=0.7840 | bsr=0.029 | agg=0.11s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.7863 | bsr=0.029 | agg=0.13s | det_auroc=0.969 | tpr@5=0.50
round  41 | acc=0.7864 | bsr=0.029 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  42 | acc=0.7890 | bsr=0.032 | agg=0.11s | det_auroc=0.969 | tpr@5=0.50
round  43 | acc=0.7922 | bsr=0.036 | agg=0.12s | det_auroc=0.953 | tpr@5=0.25
round  44 | acc=0.7939 | bsr=0.036 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  45 | acc=0.7934 | bsr=0.034 | agg=0.11s | det_auroc=0.953 | tpr@5=0.25
round  46 | acc=0.7933 | bsr=0.034 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  47 | acc=0.7952 | bsr=0.034 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  48 | acc=0.7975 | bsr=0.036 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  49 | acc=0.7982 | bsr=0.036 | agg=0.11s | det_auroc=0.953 | tpr@5=0.25
round  50 | acc=0.8000 | bsr=0.036 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  51 | acc=0.8030 | bsr=0.038 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  52 | acc=0.8040 | bsr=0.038 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  53 | acc=0.8031 | bsr=0.039 | agg=0.13s | det_auroc=0.984 | tpr@5=0.75
round  54 | acc=0.8023 | bsr=0.036 | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8055 | bsr=0.038 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  56 | acc=0.8058 | bsr=0.038 | agg=0.12s | det_auroc=0.984 | tpr@5=0.75
round  57 | acc=0.8081 | bsr=0.038 | agg=0.11s | det_auroc=0.984 | tpr@5=0.75
round  58 | acc=0.8073 | bsr=0.037 | agg=0.11s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8097 | bsr=0.041 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  60 | acc=0.8124 | bsr=0.043 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
