device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0543 | bsr=0.000 | agg=0.16s | det_auroc=0.844 | tpr@5=0.00
round   2 | acc=0.1318 | bsr=0.010 | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.3511 | bsr=0.411 | agg=0.15s | det_auroc=0.922 | tpr@5=0.25
round   4 | acc=0.4096 | bsr=0.451 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.5214 | bsr=0.365 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6279 | bsr=0.253 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6805 | bsr=0.165 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7005 | bsr=0.103 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6947 | bsr=0.087 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6991 | bsr=0.078 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6957 | bsr=0.071 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7024 | bsr=0.074 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7145 | bsr=0.078 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7238 | bsr=0.079 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7266 | bsr=0.076 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7319 | bsr=0.074 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7332 | bsr=0.076 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7385 | bsr=0.081 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7445 | bsr=0.080 | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7450 | bsr=0.085 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7487 | bsr=0.088 | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  22 | acc=0.7504 | bsr=0.088 | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.7530 | bsr=0.089 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7575 | bsr=0.092 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7603 | bsr=0.098 | agg=0.15s | det_auroc=0.984 | tpr@5=0.75
round  26 | acc=0.7619 | bsr=0.097 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.7637 | bsr=0.104 | agg=0.14s | det_auroc=0.969 | tpr@5=0.75
round  28 | acc=0.7644 | bsr=0.106 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7663 | bsr=0.108 | agg=0.16s | det_auroc=0.984 | tpr@5=0.75
round  30 | acc=0.7672 | bsr=0.117 | agg=0.14s | det_auroc=0.969 | tpr@5=0.50
round  31 | acc=0.7681 | bsr=0.117 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  32 | acc=0.7718 | bsr=0.119 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.7742 | bsr=0.125 | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  34 | acc=0.7755 | bsr=0.128 | agg=0.13s | det_auroc=0.984 | tpr@5=0.75
round  35 | acc=0.7773 | bsr=0.134 | agg=0.17s | det_auroc=0.969 | tpr@5=0.50
round  36 | acc=0.7801 | bsr=0.139 | agg=0.17s | det_auroc=0.969 | tpr@5=0.50
round  37 | acc=0.7812 | bsr=0.146 | agg=0.13s | det_auroc=0.969 | tpr@5=0.50
round  38 | acc=0.7824 | bsr=0.150 | agg=0.15s | det_auroc=0.969 | tpr@5=0.50
round  39 | acc=0.7844 | bsr=0.152 | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.7864 | bsr=0.159 | agg=0.14s | det_auroc=0.938 | tpr@5=0.00
round  41 | acc=0.7867 | bsr=0.165 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  42 | acc=0.7894 | bsr=0.171 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  43 | acc=0.7909 | bsr=0.183 | agg=0.12s | det_auroc=0.953 | tpr@5=0.50
round  44 | acc=0.7928 | bsr=0.191 | agg=0.12s | det_auroc=0.938 | tpr@5=0.00
round  45 | acc=0.7943 | bsr=0.193 | agg=0.15s | det_auroc=0.938 | tpr@5=0.00
round  46 | acc=0.7957 | bsr=0.199 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  47 | acc=0.7972 | bsr=0.207 | agg=0.15s | det_auroc=0.938 | tpr@5=0.00
round  48 | acc=0.7978 | bsr=0.218 | agg=0.14s | det_auroc=0.953 | tpr@5=0.25
round  49 | acc=0.7985 | bsr=0.225 | agg=0.13s | det_auroc=0.906 | tpr@5=0.00
round  50 | acc=0.8003 | bsr=0.233 | agg=0.14s | det_auroc=0.938 | tpr@5=0.00
round  51 | acc=0.8017 | bsr=0.239 | agg=0.14s | det_auroc=0.906 | tpr@5=0.00
round  52 | acc=0.8033 | bsr=0.247 | agg=0.16s | det_auroc=0.938 | tpr@5=0.25
round  53 | acc=0.8042 | bsr=0.258 | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8043 | bsr=0.264 | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8058 | bsr=0.276 | agg=0.14s | det_auroc=0.953 | tpr@5=0.50
round  56 | acc=0.8068 | bsr=0.289 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  57 | acc=0.8090 | bsr=0.299 | agg=0.12s | det_auroc=0.953 | tpr@5=0.25
round  58 | acc=0.8096 | bsr=0.306 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  59 | acc=0.8094 | bsr=0.320 | agg=0.12s | det_auroc=0.938 | tpr@5=0.25
round  60 | acc=0.8104 | bsr=0.331 | agg=0.15s | det_auroc=0.922 | tpr@5=0.00
