device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0631 | bsr=0.000 | agg=0.17s | det_auroc=0.828 | tpr@5=0.00
round   2 | acc=0.1113 | bsr=0.000 | agg=0.15s | det_auroc=0.859 | tpr@5=0.00
round   3 | acc=0.3349 | bsr=0.051 | agg=0.14s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.4835 | bsr=0.148 | agg=0.16s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.6013 | bsr=0.138 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round   6 | acc=0.6788 | bsr=0.096 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6871 | bsr=0.077 | agg=0.15s | det_auroc=0.953 | tpr@5=0.50
round   8 | acc=0.6892 | bsr=0.063 | agg=0.16s | det_auroc=0.906 | tpr@5=0.25
round   9 | acc=0.6842 | bsr=0.066 | agg=0.17s | det_auroc=0.828 | tpr@5=0.25
round  10 | acc=0.6779 | bsr=0.062 | agg=0.16s | det_auroc=0.766 | tpr@5=0.00
round  11 | acc=0.6926 | bsr=0.071 | agg=0.15s | det_auroc=0.797 | tpr@5=0.00
round  12 | acc=0.6993 | bsr=0.068 | agg=0.16s | det_auroc=0.766 | tpr@5=0.00
round  13 | acc=0.7105 | bsr=0.067 | agg=0.16s | det_auroc=0.750 | tpr@5=0.00
round  14 | acc=0.7194 | bsr=0.067 | agg=0.16s | det_auroc=0.703 | tpr@5=0.00
round  15 | acc=0.7253 | bsr=0.072 | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  16 | acc=0.7293 | bsr=0.074 | agg=0.16s | det_auroc=0.594 | tpr@5=0.00
round  17 | acc=0.7359 | bsr=0.076 | agg=0.16s | det_auroc=0.422 | tpr@5=0.00
round  18 | acc=0.7404 | bsr=0.079 | agg=0.15s | det_auroc=0.594 | tpr@5=0.00
round  19 | acc=0.7451 | bsr=0.082 | agg=0.15s | det_auroc=0.531 | tpr@5=0.00
round  20 | acc=0.7449 | bsr=0.083 | agg=0.16s | det_auroc=0.500 | tpr@5=0.00
round  21 | acc=0.7529 | bsr=0.086 | agg=0.16s | det_auroc=0.422 | tpr@5=0.00
round  22 | acc=0.7529 | bsr=0.092 | agg=0.15s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.7552 | bsr=0.096 | agg=0.14s | det_auroc=0.547 | tpr@5=0.00
round  24 | acc=0.7583 | bsr=0.096 | agg=0.16s | det_auroc=0.312 | tpr@5=0.00
round  25 | acc=0.7585 | bsr=0.101 | agg=0.16s | det_auroc=0.391 | tpr@5=0.00
round  26 | acc=0.7571 | bsr=0.110 | agg=0.14s | det_auroc=0.391 | tpr@5=0.00
round  27 | acc=0.7607 | bsr=0.114 | agg=0.16s | det_auroc=0.312 | tpr@5=0.00
round  28 | acc=0.7637 | bsr=0.117 | agg=0.16s | det_auroc=0.391 | tpr@5=0.00
round  29 | acc=0.7648 | bsr=0.113 | agg=0.15s | det_auroc=0.359 | tpr@5=0.00
round  30 | acc=0.7680 | bsr=0.118 | agg=0.16s | det_auroc=0.297 | tpr@5=0.00
round  31 | acc=0.7720 | bsr=0.122 | agg=0.15s | det_auroc=0.359 | tpr@5=0.00
round  32 | acc=0.7741 | bsr=0.131 | agg=0.15s | det_auroc=0.266 | tpr@5=0.00
round  33 | acc=0.7763 | bsr=0.139 | agg=0.15s | det_auroc=0.188 | tpr@5=0.00
round  34 | acc=0.7771 | bsr=0.142 | agg=0.16s | det_auroc=0.156 | tpr@5=0.00
round  35 | acc=0.7787 | bsr=0.144 | agg=0.16s | det_auroc=0.172 | tpr@5=0.00
round  36 | acc=0.7812 | bsr=0.147 | agg=0.15s | det_auroc=0.234 | tpr@5=0.00
round  37 | acc=0.7833 | bsr=0.150 | agg=0.16s | det_auroc=0.234 | tpr@5=0.00
round  38 | acc=0.7838 | bsr=0.157 | agg=0.15s | det_auroc=0.391 | tpr@5=0.00
round  39 | acc=0.7849 | bsr=0.168 | agg=0.15s | det_auroc=0.312 | tpr@5=0.00
round  40 | acc=0.7863 | bsr=0.179 | agg=0.15s | det_auroc=0.141 | tpr@5=0.00
round  41 | acc=0.7870 | bsr=0.183 | agg=0.14s | det_auroc=0.250 | tpr@5=0.00
round  42 | acc=0.7898 | bsr=0.191 | agg=0.14s | det_auroc=0.188 | tpr@5=0.00
round  43 | acc=0.7928 | bsr=0.210 | agg=0.15s | det_auroc=0.094 | tpr@5=0.00
round  44 | acc=0.7939 | bsr=0.219 | agg=0.15s | det_auroc=0.266 | tpr@5=0.00
round  45 | acc=0.7964 | bsr=0.228 | agg=0.14s | det_auroc=0.375 | tpr@5=0.00
round  46 | acc=0.7964 | bsr=0.238 | agg=0.15s | det_auroc=0.219 | tpr@5=0.00
round  47 | acc=0.7976 | bsr=0.244 | agg=0.16s | det_auroc=0.266 | tpr@5=0.00
round  48 | acc=0.7982 | bsr=0.252 | agg=0.15s | det_auroc=0.281 | tpr@5=0.00
round  49 | acc=0.8002 | bsr=0.260 | agg=0.15s | det_auroc=0.156 | tpr@5=0.00
round  50 | acc=0.8023 | bsr=0.274 | agg=0.16s | det_auroc=0.219 | tpr@5=0.00
round  51 | acc=0.8026 | bsr=0.283 | agg=0.16s | det_auroc=0.297 | tpr@5=0.00
round  52 | acc=0.8039 | bsr=0.299 | agg=0.15s | det_auroc=0.188 | tpr@5=0.00
round  53 | acc=0.8057 | bsr=0.316 | agg=0.16s | det_auroc=0.094 | tpr@5=0.00
round  54 | acc=0.8065 | bsr=0.330 | agg=0.14s | det_auroc=0.141 | tpr@5=0.00
round  55 | acc=0.8081 | bsr=0.347 | agg=0.15s | det_auroc=0.156 | tpr@5=0.00
round  56 | acc=0.8103 | bsr=0.362 | agg=0.16s | det_auroc=0.250 | tpr@5=0.00
round  57 | acc=0.8135 | bsr=0.377 | agg=0.15s | det_auroc=0.250 | tpr@5=0.00
round  58 | acc=0.8143 | bsr=0.386 | agg=0.15s | det_auroc=0.203 | tpr@5=0.00
round  59 | acc=0.8159 | bsr=0.407 | agg=0.15s | det_auroc=0.219 | tpr@5=0.00
round  60 | acc=0.8154 | bsr=0.419 | agg=0.16s | det_auroc=0.328 | tpr@5=0.00
