device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0592 | bsr=0.000 | agg=0.17s | det_auroc=0.828 | tpr@5=0.00
round   2 | acc=0.1317 | bsr=0.010 | agg=0.16s | det_auroc=0.859 | tpr@5=0.00
round   3 | acc=0.3486 | bsr=0.452 | agg=0.16s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.4101 | bsr=0.454 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round   5 | acc=0.5144 | bsr=0.364 | agg=0.15s | det_auroc=0.938 | tpr@5=0.50
round   6 | acc=0.6221 | bsr=0.266 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6779 | bsr=0.204 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round   8 | acc=0.7000 | bsr=0.133 | agg=0.15s | det_auroc=0.938 | tpr@5=0.25
round   9 | acc=0.6999 | bsr=0.121 | agg=0.16s | det_auroc=0.891 | tpr@5=0.25
round  10 | acc=0.6975 | bsr=0.110 | agg=0.16s | det_auroc=0.828 | tpr@5=0.00
round  11 | acc=0.7032 | bsr=0.108 | agg=0.17s | det_auroc=0.797 | tpr@5=0.00
round  12 | acc=0.7093 | bsr=0.104 | agg=0.15s | det_auroc=0.750 | tpr@5=0.00
round  13 | acc=0.7172 | bsr=0.096 | agg=0.18s | det_auroc=0.688 | tpr@5=0.00
round  14 | acc=0.7210 | bsr=0.094 | agg=0.16s | det_auroc=0.672 | tpr@5=0.00
round  15 | acc=0.7267 | bsr=0.093 | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  16 | acc=0.7316 | bsr=0.095 | agg=0.16s | det_auroc=0.531 | tpr@5=0.00
round  17 | acc=0.7372 | bsr=0.098 | agg=0.16s | det_auroc=0.484 | tpr@5=0.00
round  18 | acc=0.7407 | bsr=0.097 | agg=0.15s | det_auroc=0.547 | tpr@5=0.00
round  19 | acc=0.7437 | bsr=0.101 | agg=0.15s | det_auroc=0.547 | tpr@5=0.00
round  20 | acc=0.7467 | bsr=0.104 | agg=0.17s | det_auroc=0.531 | tpr@5=0.00
round  21 | acc=0.7529 | bsr=0.107 | agg=0.15s | det_auroc=0.375 | tpr@5=0.00
round  22 | acc=0.7538 | bsr=0.115 | agg=0.17s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.7567 | bsr=0.117 | agg=0.16s | det_auroc=0.484 | tpr@5=0.00
round  24 | acc=0.7580 | bsr=0.118 | agg=0.18s | det_auroc=0.344 | tpr@5=0.00
round  25 | acc=0.7577 | bsr=0.121 | agg=0.16s | det_auroc=0.297 | tpr@5=0.00
round  26 | acc=0.7578 | bsr=0.128 | agg=0.16s | det_auroc=0.344 | tpr@5=0.00
round  27 | acc=0.7603 | bsr=0.134 | agg=0.16s | det_auroc=0.391 | tpr@5=0.00
round  28 | acc=0.7623 | bsr=0.140 | agg=0.14s | det_auroc=0.516 | tpr@5=0.00
round  29 | acc=0.7634 | bsr=0.135 | agg=0.15s | det_auroc=0.453 | tpr@5=0.00
round  30 | acc=0.7659 | bsr=0.142 | agg=0.15s | det_auroc=0.328 | tpr@5=0.00
round  31 | acc=0.7692 | bsr=0.147 | agg=0.15s | det_auroc=0.406 | tpr@5=0.00
round  32 | acc=0.7711 | bsr=0.156 | agg=0.15s | det_auroc=0.328 | tpr@5=0.00
round  33 | acc=0.7729 | bsr=0.163 | agg=0.16s | det_auroc=0.344 | tpr@5=0.00
round  34 | acc=0.7752 | bsr=0.166 | agg=0.16s | det_auroc=0.281 | tpr@5=0.00
round  35 | acc=0.7766 | bsr=0.167 | agg=0.16s | det_auroc=0.266 | tpr@5=0.00
round  36 | acc=0.7793 | bsr=0.171 | agg=0.17s | det_auroc=0.266 | tpr@5=0.00
round  37 | acc=0.7808 | bsr=0.174 | agg=0.16s | det_auroc=0.266 | tpr@5=0.00
round  38 | acc=0.7816 | bsr=0.181 | agg=0.15s | det_auroc=0.391 | tpr@5=0.00
round  39 | acc=0.7819 | bsr=0.192 | agg=0.17s | det_auroc=0.328 | tpr@5=0.00
round  40 | acc=0.7830 | bsr=0.199 | agg=0.17s | det_auroc=0.203 | tpr@5=0.00
round  41 | acc=0.7840 | bsr=0.203 | agg=0.16s | det_auroc=0.266 | tpr@5=0.00
round  42 | acc=0.7864 | bsr=0.212 | agg=0.15s | det_auroc=0.219 | tpr@5=0.00
round  43 | acc=0.7882 | bsr=0.229 | agg=0.16s | det_auroc=0.109 | tpr@5=0.00
round  44 | acc=0.7902 | bsr=0.238 | agg=0.15s | det_auroc=0.328 | tpr@5=0.00
round  45 | acc=0.7930 | bsr=0.246 | agg=0.15s | det_auroc=0.281 | tpr@5=0.00
