device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0538 | bsr=0.000 | agg=2.59s | det_auroc=0.047 | tpr@5=0.00
round   2 | acc=0.1364 | bsr=0.015 | agg=2.58s | det_auroc=0.016 | tpr@5=0.00
round   3 | acc=0.3447 | bsr=0.480 | agg=2.55s | det_auroc=0.062 | tpr@5=0.00
round   4 | acc=0.3793 | bsr=0.536 | agg=2.55s | det_auroc=0.219 | tpr@5=0.00
round   5 | acc=0.4642 | bsr=0.498 | agg=2.58s | det_auroc=0.266 | tpr@5=0.00
round   6 | acc=0.5767 | bsr=0.407 | agg=2.55s | det_auroc=0.234 | tpr@5=0.00
round   7 | acc=0.6472 | bsr=0.307 | agg=2.55s | det_auroc=0.141 | tpr@5=0.00
round   8 | acc=0.6915 | bsr=0.196 | agg=2.55s | det_auroc=0.109 | tpr@5=0.00
round   9 | acc=0.6898 | bsr=0.164 | agg=2.56s | det_auroc=0.344 | tpr@5=0.00
round  10 | acc=0.6982 | bsr=0.126 | agg=2.55s | det_auroc=0.953 | tpr@5=0.75
round  11 | acc=0.6922 | bsr=0.095 | agg=2.60s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.6988 | bsr=0.089 | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7097 | bsr=0.086 | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7207 | bsr=0.088 | agg=2.54s | det_auroc=0.969 | tpr@5=0.50
round  15 | acc=0.7262 | bsr=0.085 | agg=2.57s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7316 | bsr=0.081 | agg=2.55s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7332 | bsr=0.083 | agg=2.58s | det_auroc=0.969 | tpr@5=0.50
round  18 | acc=0.7396 | bsr=0.086 | agg=2.58s | det_auroc=0.984 | tpr@5=0.75
round  19 | acc=0.7452 | bsr=0.085 | agg=2.55s | det_auroc=0.969 | tpr@5=0.50
round  20 | acc=0.7470 | bsr=0.092 | agg=2.56s | det_auroc=0.969 | tpr@5=0.50
round  21 | acc=0.7489 | bsr=0.094 | agg=2.55s | det_auroc=0.938 | tpr@5=0.50
round  22 | acc=0.7504 | bsr=0.093 | agg=2.53s | det_auroc=0.938 | tpr@5=0.25
round  23 | acc=0.7525 | bsr=0.095 | agg=2.56s | det_auroc=0.938 | tpr@5=0.25
round  24 | acc=0.7573 | bsr=0.097 | agg=2.57s | det_auroc=0.922 | tpr@5=0.25
round  25 | acc=0.7596 | bsr=0.102 | agg=2.55s | det_auroc=0.875 | tpr@5=0.00
round  26 | acc=0.7621 | bsr=0.102 | agg=2.54s | det_auroc=0.953 | tpr@5=0.50
round  27 | acc=0.7645 | bsr=0.107 | agg=2.54s | det_auroc=0.906 | tpr@5=0.00
round  28 | acc=0.7636 | bsr=0.110 | agg=2.59s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.7660 | bsr=0.112 | agg=2.53s | det_auroc=0.891 | tpr@5=0.25
round  30 | acc=0.7680 | bsr=0.119 | agg=2.59s | det_auroc=0.875 | tpr@5=0.00
round  31 | acc=0.7681 | bsr=0.117 | agg=2.54s | det_auroc=0.906 | tpr@5=0.25
round  32 | acc=0.7725 | bsr=0.121 | agg=2.57s | det_auroc=0.969 | tpr@5=0.50
round  33 | acc=0.7750 | bsr=0.126 | agg=2.56s | det_auroc=0.938 | tpr@5=0.25
round  34 | acc=0.7758 | bsr=0.130 | agg=2.58s | det_auroc=0.953 | tpr@5=0.25
round  35 | acc=0.7788 | bsr=0.136 | agg=2.51s | det_auroc=0.938 | tpr@5=0.50
round  36 | acc=0.7809 | bsr=0.141 | agg=2.55s | det_auroc=0.938 | tpr@5=0.75
round  37 | acc=0.7823 | bsr=0.149 | agg=2.54s | det_auroc=0.938 | tpr@5=0.50
round  38 | acc=0.7837 | bsr=0.153 | agg=2.54s | det_auroc=0.938 | tpr@5=0.50
round  39 | acc=0.7851 | bsr=0.155 | agg=2.55s | det_auroc=0.984 | tpr@5=0.75
round  40 | acc=0.7864 | bsr=0.160 | agg=2.57s | det_auroc=0.922 | tpr@5=0.25
round  41 | acc=0.7868 | bsr=0.167 | agg=2.58s | det_auroc=0.953 | tpr@5=0.25
round  42 | acc=0.7886 | bsr=0.174 | agg=2.58s | det_auroc=0.953 | tpr@5=0.25
round  43 | acc=0.7910 | bsr=0.181 | agg=2.55s | det_auroc=0.938 | tpr@5=0.00
round  44 | acc=0.7930 | bsr=0.189 | agg=2.56s | det_auroc=0.953 | tpr@5=0.25
round  45 | acc=0.7943 | bsr=0.193 | agg=2.56s | det_auroc=0.953 | tpr@5=0.75
round  46 | acc=0.7967 | bsr=0.200 | agg=2.58s | det_auroc=0.953 | tpr@5=0.25
round  47 | acc=0.7980 | bsr=0.207 | agg=2.56s | det_auroc=0.953 | tpr@5=0.50
round  48 | acc=0.7993 | bsr=0.217 | agg=2.55s | det_auroc=0.969 | tpr@5=0.50
round  49 | acc=0.7999 | bsr=0.225 | agg=2.53s | det_auroc=0.969 | tpr@5=0.75
round  50 | acc=0.8013 | bsr=0.234 | agg=2.55s | det_auroc=0.938 | tpr@5=0.00
round  51 | acc=0.8017 | bsr=0.240 | agg=2.54s | det_auroc=0.953 | tpr@5=0.50
round  52 | acc=0.8043 | bsr=0.247 | agg=2.58s | det_auroc=0.953 | tpr@5=0.25
round  53 | acc=0.8055 | bsr=0.258 | agg=2.61s | det_auroc=0.906 | tpr@5=0.00
round  54 | acc=0.8058 | bsr=0.262 | agg=2.56s | det_auroc=0.922 | tpr@5=0.25
round  55 | acc=0.8061 | bsr=0.266 | agg=2.53s | det_auroc=0.938 | tpr@5=0.50
round  56 | acc=0.8076 | bsr=0.278 | agg=2.60s | det_auroc=0.953 | tpr@5=0.25
round  57 | acc=0.8091 | bsr=0.288 | agg=2.57s | det_auroc=0.906 | tpr@5=0.00
round  58 | acc=0.8102 | bsr=0.296 | agg=2.59s | det_auroc=0.953 | tpr@5=0.50
round  59 | acc=0.8113 | bsr=0.309 | agg=2.54s | det_auroc=0.891 | tpr@5=0.25
round  60 | acc=0.8132 | bsr=0.320 | agg=2.58s | det_auroc=0.938 | tpr@5=0.25
