device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=adaptive_ecf
round   1 | acc=0.4601 | bsr=0.228 | agg=0.81s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6179 | bsr=0.043 | agg=0.79s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6977 | bsr=0.031 | agg=0.81s | det_auroc=0.953 | tpr@5=0.50
round   4 | acc=0.7272 | bsr=0.036 | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round   5 | acc=0.7529 | bsr=0.037 | agg=0.79s | det_auroc=0.969 | tpr@5=0.75
round   6 | acc=0.7628 | bsr=0.032 | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.7729 | bsr=0.037 | agg=0.80s | det_auroc=0.969 | tpr@5=0.75
round   8 | acc=0.7807 | bsr=0.051 | agg=0.80s | det_auroc=0.969 | tpr@5=0.75
round   9 | acc=0.7800 | bsr=0.041 | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round  10 | acc=0.7906 | bsr=0.033 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7996 | bsr=0.039 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8044 | bsr=0.040 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8054 | bsr=0.028 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8097 | bsr=0.037 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8190 | bsr=0.035 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8224 | bsr=0.036 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8236 | bsr=0.034 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8328 | bsr=0.034 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8332 | bsr=0.034 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8375 | bsr=0.031 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8382 | bsr=0.030 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8411 | bsr=0.032 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8455 | bsr=0.031 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8450 | bsr=0.030 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8502 | bsr=0.034 | agg=0.79s | det_auroc=0.984 | tpr@5=0.75
round  26 | acc=0.8586 | bsr=0.034 | agg=0.80s | det_auroc=0.953 | tpr@5=0.75
round  27 | acc=0.8562 | bsr=0.033 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8534 | bsr=0.026 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8565 | bsr=0.031 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8572 | bsr=0.028 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8581 | bsr=0.033 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8600 | bsr=0.023 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8599 | bsr=0.026 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8647 | bsr=0.029 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
