device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=backdoor
round   1 | acc=0.4601 | bsr=0.228 | agg=0.82s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6179 | bsr=0.043 | agg=0.80s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6958 | bsr=0.026 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7219 | bsr=0.028 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7484 | bsr=0.028 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7549 | bsr=0.020 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7730 | bsr=0.023 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7784 | bsr=0.030 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7876 | bsr=0.026 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7962 | bsr=0.021 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7985 | bsr=0.025 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8058 | bsr=0.026 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8084 | bsr=0.019 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8117 | bsr=0.024 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8217 | bsr=0.023 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8239 | bsr=0.020 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8242 | bsr=0.021 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8357 | bsr=0.019 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8339 | bsr=0.019 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8400 | bsr=0.017 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8390 | bsr=0.016 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8422 | bsr=0.018 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8468 | bsr=0.017 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8458 | bsr=0.017 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8484 | bsr=0.018 | agg=0.82s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8538 | bsr=0.018 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
