device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=rda attack=adaptive_ecf
round   1 | acc=0.4518 | bsr=0.483 | agg=0.52s | det_auroc=0.703 | tpr@5=0.25
round   2 | acc=0.6418 | bsr=0.026 | agg=0.45s | det_auroc=0.938 | tpr@5=0.00
round   3 | acc=0.7281 | bsr=0.158 | agg=0.61s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.7205 | bsr=0.090 | agg=0.83s | det_auroc=0.422 | tpr@5=0.00
round   5 | acc=0.7311 | bsr=0.120 | agg=0.45s | det_auroc=0.469 | tpr@5=0.00
round   6 | acc=0.7712 | bsr=0.230 | agg=0.51s | det_auroc=0.453 | tpr@5=0.00
round   7 | acc=0.7601 | bsr=0.298 | agg=0.51s | det_auroc=0.531 | tpr@5=0.00
round   8 | acc=0.7888 | bsr=0.413 | agg=0.63s | det_auroc=0.641 | tpr@5=0.00
round   9 | acc=0.7882 | bsr=0.536 | agg=0.52s | det_auroc=0.422 | tpr@5=0.00
round  10 | acc=0.8026 | bsr=0.695 | agg=0.64s | det_auroc=0.422 | tpr@5=0.00
round  11 | acc=0.8091 | bsr=0.700 | agg=0.49s | det_auroc=0.547 | tpr@5=0.00
round  12 | acc=0.8078 | bsr=0.690 | agg=0.65s | det_auroc=0.484 | tpr@5=0.00
round  13 | acc=0.8185 | bsr=0.781 | agg=0.59s | det_auroc=0.562 | tpr@5=0.00
round  14 | acc=0.8220 | bsr=0.770 | agg=0.53s | det_auroc=0.562 | tpr@5=0.00
round  15 | acc=0.8311 | bsr=0.817 | agg=0.49s | det_auroc=0.562 | tpr@5=0.00
round  16 | acc=0.8298 | bsr=0.823 | agg=0.49s | det_auroc=0.438 | tpr@5=0.00
round  17 | acc=0.8403 | bsr=0.817 | agg=0.56s | det_auroc=0.578 | tpr@5=0.00
round  18 | acc=0.8395 | bsr=0.860 | agg=0.47s | det_auroc=0.547 | tpr@5=0.00
round  19 | acc=0.8446 | bsr=0.871 | agg=0.47s | det_auroc=0.469 | tpr@5=0.00
round  20 | acc=0.8414 | bsr=0.896 | agg=0.51s | det_auroc=0.656 | tpr@5=0.00
round  21 | acc=0.8500 | bsr=0.895 | agg=0.55s | det_auroc=0.422 | tpr@5=0.00
round  22 | acc=0.8471 | bsr=0.899 | agg=0.54s | det_auroc=0.328 | tpr@5=0.00
round  23 | acc=0.8550 | bsr=0.906 | agg=0.47s | det_auroc=0.438 | tpr@5=0.00
round  24 | acc=0.8543 | bsr=0.905 | agg=0.52s | det_auroc=0.391 | tpr@5=0.00
round  25 | acc=0.8601 | bsr=0.915 | agg=0.49s | det_auroc=0.453 | tpr@5=0.00
round  26 | acc=0.8612 | bsr=0.915 | agg=0.46s | det_auroc=0.484 | tpr@5=0.00
round  27 | acc=0.8630 | bsr=0.935 | agg=0.51s | det_auroc=0.234 | tpr@5=0.00
round  28 | acc=0.8584 | bsr=0.932 | agg=0.50s | det_auroc=0.312 | tpr@5=0.00
round  29 | acc=0.8629 | bsr=0.928 | agg=0.51s | det_auroc=0.516 | tpr@5=0.00
round  30 | acc=0.8664 | bsr=0.943 | agg=0.50s | det_auroc=0.297 | tpr@5=0.00
round  31 | acc=0.8688 | bsr=0.943 | agg=0.50s | det_auroc=0.266 | tpr@5=0.00
round  32 | acc=0.8651 | bsr=0.938 | agg=0.55s | det_auroc=0.516 | tpr@5=0.00
round  33 | acc=0.8711 | bsr=0.942 | agg=0.49s | det_auroc=0.375 | tpr@5=0.25
round  34 | acc=0.8692 | bsr=0.949 | agg=0.54s | det_auroc=0.531 | tpr@5=0.00
round  35 | acc=0.8722 | bsr=0.948 | agg=0.56s | det_auroc=0.344 | tpr@5=0.00
round  36 | acc=0.8706 | bsr=0.945 | agg=0.55s | det_auroc=0.156 | tpr@5=0.00
round  37 | acc=0.8754 | bsr=0.954 | agg=0.46s | det_auroc=0.328 | tpr@5=0.00
round  38 | acc=0.8769 | bsr=0.960 | agg=0.49s | det_auroc=0.203 | tpr@5=0.00
round  39 | acc=0.8758 | bsr=0.966 | agg=0.49s | det_auroc=0.312 | tpr@5=0.00
round  40 | acc=0.8731 | bsr=0.965 | agg=0.45s | det_auroc=0.312 | tpr@5=0.00
round  41 | acc=0.8758 | bsr=0.962 | agg=0.49s | det_auroc=0.266 | tpr@5=0.00
round  42 | acc=0.8792 | bsr=0.962 | agg=0.51s | det_auroc=0.344 | tpr@5=0.00
round  43 | acc=0.8793 | bsr=0.967 | agg=0.48s | det_auroc=0.328 | tpr@5=0.00
round  44 | acc=0.8769 | bsr=0.961 | agg=0.42s | det_auroc=0.234 | tpr@5=0.00
