device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=rda attack=adaptive_ecf
round   1 | acc=0.5440 | bsr=0.205 | agg=0.15s | det_auroc=0.750 | tpr@5=0.50
round   2 | acc=0.6875 | bsr=0.092 | agg=0.15s | det_auroc=0.812 | tpr@5=0.00
round   3 | acc=0.7169 | bsr=0.148 | agg=0.17s | det_auroc=0.266 | tpr@5=0.00
round   4 | acc=0.7431 | bsr=0.234 | agg=0.13s | det_auroc=0.453 | tpr@5=0.00
round   5 | acc=0.7482 | bsr=0.266 | agg=0.15s | det_auroc=0.273 | tpr@5=0.00
round   6 | acc=0.7686 | bsr=0.432 | agg=0.15s | det_auroc=0.352 | tpr@5=0.00
round   7 | acc=0.7682 | bsr=0.552 | agg=0.14s | det_auroc=0.375 | tpr@5=0.00
round   8 | acc=0.7785 | bsr=0.670 | agg=0.13s | det_auroc=0.484 | tpr@5=0.00
round   9 | acc=0.7936 | bsr=0.751 | agg=0.15s | det_auroc=0.469 | tpr@5=0.00
round  10 | acc=0.8019 | bsr=0.841 | agg=0.13s | det_auroc=0.469 | tpr@5=0.00
round  11 | acc=0.8076 | bsr=0.832 | agg=0.14s | det_auroc=0.547 | tpr@5=0.00
round  12 | acc=0.8111 | bsr=0.833 | agg=0.14s | det_auroc=0.422 | tpr@5=0.00
round  13 | acc=0.8228 | bsr=0.891 | agg=0.12s | det_auroc=0.484 | tpr@5=0.00
round  14 | acc=0.8226 | bsr=0.868 | agg=0.13s | det_auroc=0.594 | tpr@5=0.00
round  15 | acc=0.8300 | bsr=0.895 | agg=0.12s | det_auroc=0.562 | tpr@5=0.00
round  16 | acc=0.8297 | bsr=0.887 | agg=0.13s | det_auroc=0.578 | tpr@5=0.00
round  17 | acc=0.8403 | bsr=0.882 | agg=0.17s | det_auroc=0.516 | tpr@5=0.00
round  18 | acc=0.8466 | bsr=0.909 | agg=0.13s | det_auroc=0.484 | tpr@5=0.00
round  19 | acc=0.8478 | bsr=0.911 | agg=0.14s | det_auroc=0.359 | tpr@5=0.00
round  20 | acc=0.8470 | bsr=0.911 | agg=0.22s | det_auroc=0.453 | tpr@5=0.00
round  21 | acc=0.8442 | bsr=0.914 | agg=0.12s | det_auroc=0.531 | tpr@5=0.00
round  22 | acc=0.8458 | bsr=0.924 | agg=0.11s | det_auroc=0.562 | tpr@5=0.00
round  23 | acc=0.8490 | bsr=0.945 | agg=0.12s | det_auroc=0.453 | tpr@5=0.00
round  24 | acc=0.8550 | bsr=0.926 | agg=0.39s | det_auroc=0.359 | tpr@5=0.00
round  25 | acc=0.8608 | bsr=0.941 | agg=0.12s | det_auroc=0.547 | tpr@5=0.00
round  26 | acc=0.8571 | bsr=0.931 | agg=0.11s | det_auroc=0.562 | tpr@5=0.00
round  27 | acc=0.8619 | bsr=0.949 | agg=0.14s | det_auroc=0.562 | tpr@5=0.00
round  28 | acc=0.8597 | bsr=0.947 | agg=0.13s | det_auroc=0.484 | tpr@5=0.00
round  29 | acc=0.8617 | bsr=0.943 | agg=0.14s | det_auroc=0.500 | tpr@5=0.00
round  30 | acc=0.8642 | bsr=0.960 | agg=0.11s | det_auroc=0.672 | tpr@5=0.25
round  31 | acc=0.8658 | bsr=0.948 | agg=0.13s | det_auroc=0.453 | tpr@5=0.00
round  32 | acc=0.8667 | bsr=0.951 | agg=0.12s | det_auroc=0.531 | tpr@5=0.25
round  33 | acc=0.8716 | bsr=0.951 | agg=0.13s | det_auroc=0.484 | tpr@5=0.00
round  34 | acc=0.8683 | bsr=0.954 | agg=0.13s | det_auroc=0.484 | tpr@5=0.00
round  35 | acc=0.8724 | bsr=0.955 | agg=0.15s | det_auroc=0.609 | tpr@5=0.00
round  36 | acc=0.8677 | bsr=0.954 | agg=0.16s | det_auroc=0.547 | tpr@5=0.00
round  37 | acc=0.8755 | bsr=0.961 | agg=0.12s | det_auroc=0.562 | tpr@5=0.00
round  38 | acc=0.8718 | bsr=0.965 | agg=0.11s | det_auroc=0.422 | tpr@5=0.00
round  39 | acc=0.8727 | bsr=0.965 | agg=0.12s | det_auroc=0.734 | tpr@5=0.00
round  40 | acc=0.8732 | bsr=0.959 | agg=0.11s | det_auroc=0.531 | tpr@5=0.00
round  41 | acc=0.8774 | bsr=0.970 | agg=0.12s | det_auroc=0.578 | tpr@5=0.00
round  42 | acc=0.8783 | bsr=0.970 | agg=0.12s | det_auroc=0.516 | tpr@5=0.00
round  43 | acc=0.8768 | bsr=0.970 | agg=0.11s | det_auroc=0.391 | tpr@5=0.00
round  44 | acc=0.8746 | bsr=0.964 | agg=0.12s | det_auroc=0.469 | tpr@5=0.00
round  45 | acc=0.8812 | bsr=0.971 | agg=0.11s | det_auroc=0.688 | tpr@5=0.25
round  46 | acc=0.8779 | bsr=0.962 | agg=0.11s | det_auroc=0.375 | tpr@5=0.25
round  47 | acc=0.8837 | bsr=0.981 | agg=0.11s | det_auroc=0.625 | tpr@5=0.00
round  48 | acc=0.8806 | bsr=0.977 | agg=0.13s | det_auroc=0.516 | tpr@5=0.00
round  49 | acc=0.8784 | bsr=0.973 | agg=0.13s | det_auroc=0.578 | tpr@5=0.00
round  50 | acc=0.8819 | bsr=0.977 | agg=0.13s | det_auroc=0.453 | tpr@5=0.00
round  51 | acc=0.8805 | bsr=0.980 | agg=0.12s | det_auroc=0.547 | tpr@5=0.25
round  52 | acc=0.8829 | bsr=0.979 | agg=0.13s | det_auroc=0.438 | tpr@5=0.25
