device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=rda attack=backdoor
round   1 | acc=0.4518 | bsr=0.483 | agg=0.45s | det_auroc=0.703 | tpr@5=0.25
round   2 | acc=0.6369 | bsr=0.024 | agg=0.49s | det_auroc=0.906 | tpr@5=0.00
round   3 | acc=0.7244 | bsr=0.050 | agg=0.52s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7218 | bsr=0.068 | agg=0.46s | det_auroc=0.844 | tpr@5=0.25
round   5 | acc=0.7335 | bsr=0.075 | agg=0.78s | det_auroc=0.906 | tpr@5=0.00
round   6 | acc=0.7660 | bsr=0.215 | agg=0.61s | det_auroc=0.812 | tpr@5=0.00
round   7 | acc=0.7575 | bsr=0.222 | agg=0.55s | det_auroc=0.906 | tpr@5=0.00
round   8 | acc=0.7871 | bsr=0.336 | agg=0.51s | det_auroc=0.906 | tpr@5=0.00
round   9 | acc=0.7858 | bsr=0.460 | agg=0.47s | det_auroc=0.812 | tpr@5=0.00
round  10 | acc=0.8004 | bsr=0.610 | agg=0.78s | det_auroc=0.875 | tpr@5=0.00
round  11 | acc=0.8041 | bsr=0.563 | agg=0.46s | det_auroc=0.672 | tpr@5=0.00
round  12 | acc=0.8097 | bsr=0.641 | agg=0.42s | det_auroc=0.828 | tpr@5=0.00
round  13 | acc=0.8109 | bsr=0.721 | agg=0.86s | det_auroc=0.828 | tpr@5=0.00
round  14 | acc=0.8163 | bsr=0.670 | agg=0.47s | det_auroc=0.875 | tpr@5=0.50
round  15 | acc=0.8295 | bsr=0.792 | agg=0.50s | det_auroc=0.766 | tpr@5=0.00
round  16 | acc=0.8216 | bsr=0.776 | agg=0.45s | det_auroc=0.734 | tpr@5=0.00
round  17 | acc=0.8360 | bsr=0.767 | agg=0.73s | det_auroc=0.703 | tpr@5=0.25
round  18 | acc=0.8356 | bsr=0.771 | agg=0.70s | det_auroc=0.734 | tpr@5=0.00
round  19 | acc=0.8413 | bsr=0.787 | agg=0.64s | det_auroc=0.688 | tpr@5=0.00
round  20 | acc=0.8441 | bsr=0.826 | agg=0.43s | det_auroc=0.797 | tpr@5=0.00
round  21 | acc=0.8457 | bsr=0.821 | agg=0.57s | det_auroc=0.812 | tpr@5=0.25
round  22 | acc=0.8488 | bsr=0.852 | agg=0.73s | det_auroc=0.719 | tpr@5=0.25
round  23 | acc=0.8527 | bsr=0.831 | agg=0.68s | det_auroc=0.719 | tpr@5=0.25
round  24 | acc=0.8529 | bsr=0.841 | agg=0.50s | det_auroc=0.688 | tpr@5=0.25
round  25 | acc=0.8559 | bsr=0.859 | agg=0.48s | det_auroc=0.938 | tpr@5=0.50
round  26 | acc=0.8587 | bsr=0.845 | agg=0.44s | det_auroc=0.828 | tpr@5=0.25
round  27 | acc=0.8612 | bsr=0.878 | agg=0.51s | det_auroc=0.719 | tpr@5=0.50
round  28 | acc=0.8553 | bsr=0.874 | agg=0.65s | det_auroc=0.703 | tpr@5=0.00
round  29 | acc=0.8626 | bsr=0.857 | agg=0.60s | det_auroc=0.781 | tpr@5=0.50
round  30 | acc=0.8638 | bsr=0.882 | agg=0.49s | det_auroc=0.750 | tpr@5=0.25
round  31 | acc=0.8652 | bsr=0.895 | agg=0.49s | det_auroc=0.859 | tpr@5=0.50
round  32 | acc=0.8667 | bsr=0.892 | agg=0.52s | det_auroc=0.766 | tpr@5=0.00
round  33 | acc=0.8675 | bsr=0.882 | agg=0.64s | det_auroc=0.797 | tpr@5=0.75
round  34 | acc=0.8673 | bsr=0.901 | agg=0.47s | det_auroc=0.844 | tpr@5=0.50
round  35 | acc=0.8692 | bsr=0.884 | agg=0.47s | det_auroc=0.922 | tpr@5=0.25
round  36 | acc=0.8669 | bsr=0.880 | agg=0.49s | det_auroc=0.906 | tpr@5=0.25
round  37 | acc=0.8757 | bsr=0.903 | agg=0.58s | det_auroc=0.891 | tpr@5=0.50
round  38 | acc=0.8770 | bsr=0.919 | agg=0.55s | det_auroc=0.859 | tpr@5=0.50
round  39 | acc=0.8722 | bsr=0.925 | agg=0.46s | det_auroc=0.859 | tpr@5=0.25
round  40 | acc=0.8774 | bsr=0.922 | agg=0.48s | det_auroc=0.859 | tpr@5=0.25
round  41 | acc=0.8743 | bsr=0.917 | agg=0.50s | det_auroc=0.969 | tpr@5=0.75
round  42 | acc=0.8792 | bsr=0.924 | agg=0.54s | det_auroc=0.891 | tpr@5=0.00
round  43 | acc=0.8761 | bsr=0.922 | agg=0.52s | det_auroc=0.719 | tpr@5=0.00
round  44 | acc=0.8775 | bsr=0.930 | agg=0.49s | det_auroc=0.922 | tpr@5=0.50
