device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=rda attack=backdoor
round   1 | acc=0.5440 | bsr=0.205 | agg=0.11s | det_auroc=0.750 | tpr@5=0.50
round   2 | acc=0.6873 | bsr=0.092 | agg=0.06s | det_auroc=0.812 | tpr@5=0.00
round   3 | acc=0.7166 | bsr=0.198 | agg=0.07s | det_auroc=0.562 | tpr@5=0.00
round   4 | acc=0.7456 | bsr=0.224 | agg=0.10s | det_auroc=0.594 | tpr@5=0.00
round   5 | acc=0.7523 | bsr=0.248 | agg=0.07s | det_auroc=0.500 | tpr@5=0.00
round   6 | acc=0.7689 | bsr=0.452 | agg=0.07s | det_auroc=0.422 | tpr@5=0.00
round   7 | acc=0.7681 | bsr=0.620 | agg=0.06s | det_auroc=0.516 | tpr@5=0.00
round   8 | acc=0.7883 | bsr=0.682 | agg=0.08s | det_auroc=0.578 | tpr@5=0.00
round   9 | acc=0.7994 | bsr=0.797 | agg=0.07s | det_auroc=0.531 | tpr@5=0.00
round  10 | acc=0.8029 | bsr=0.867 | agg=0.06s | det_auroc=0.453 | tpr@5=0.00
round  11 | acc=0.8040 | bsr=0.866 | agg=0.16s | det_auroc=0.625 | tpr@5=0.00
round  12 | acc=0.8126 | bsr=0.859 | agg=0.08s | det_auroc=0.406 | tpr@5=0.00
round  13 | acc=0.8134 | bsr=0.927 | agg=0.06s | det_auroc=0.609 | tpr@5=0.00
round  14 | acc=0.8237 | bsr=0.894 | agg=0.14s | det_auroc=0.641 | tpr@5=0.25
round  15 | acc=0.8304 | bsr=0.906 | agg=0.13s | det_auroc=0.625 | tpr@5=0.00
round  16 | acc=0.8309 | bsr=0.905 | agg=0.07s | det_auroc=0.547 | tpr@5=0.00
round  17 | acc=0.8406 | bsr=0.897 | agg=0.12s | det_auroc=0.641 | tpr@5=0.00
round  18 | acc=0.8408 | bsr=0.921 | agg=0.06s | det_auroc=0.516 | tpr@5=0.00
round  19 | acc=0.8440 | bsr=0.920 | agg=0.24s | det_auroc=0.641 | tpr@5=0.00
round  20 | acc=0.8489 | bsr=0.930 | agg=0.06s | det_auroc=0.688 | tpr@5=0.00
round  21 | acc=0.8474 | bsr=0.931 | agg=0.34s | det_auroc=0.734 | tpr@5=0.00
round  22 | acc=0.8461 | bsr=0.942 | agg=0.09s | det_auroc=0.656 | tpr@5=0.00
round  23 | acc=0.8466 | bsr=0.962 | agg=0.10s | det_auroc=0.688 | tpr@5=0.00
round  24 | acc=0.8541 | bsr=0.948 | agg=0.22s | det_auroc=0.719 | tpr@5=0.25
round  25 | acc=0.8606 | bsr=0.959 | agg=0.07s | det_auroc=0.719 | tpr@5=0.25
round  26 | acc=0.8553 | bsr=0.936 | agg=0.21s | det_auroc=0.922 | tpr@5=0.25
round  27 | acc=0.8605 | bsr=0.962 | agg=0.08s | det_auroc=0.688 | tpr@5=0.25
round  28 | acc=0.8593 | bsr=0.964 | agg=0.07s | det_auroc=0.688 | tpr@5=0.00
round  29 | acc=0.8638 | bsr=0.966 | agg=0.06s | det_auroc=0.672 | tpr@5=0.00
round  30 | acc=0.8633 | bsr=0.976 | agg=0.15s | det_auroc=0.750 | tpr@5=0.25
round  31 | acc=0.8668 | bsr=0.967 | agg=0.31s | det_auroc=0.672 | tpr@5=0.25
round  32 | acc=0.8684 | bsr=0.963 | agg=0.09s | det_auroc=0.797 | tpr@5=0.25
round  33 | acc=0.8696 | bsr=0.966 | agg=0.05s | det_auroc=0.688 | tpr@5=0.00
round  34 | acc=0.8693 | bsr=0.973 | agg=0.08s | det_auroc=0.719 | tpr@5=0.00
round  35 | acc=0.8689 | bsr=0.962 | agg=0.08s | det_auroc=0.750 | tpr@5=0.50
round  36 | acc=0.8660 | bsr=0.960 | agg=0.07s | det_auroc=0.797 | tpr@5=0.50
round  37 | acc=0.8745 | bsr=0.976 | agg=0.10s | det_auroc=0.766 | tpr@5=0.00
round  38 | acc=0.8763 | bsr=0.985 | agg=0.07s | det_auroc=0.688 | tpr@5=0.00
round  39 | acc=0.8725 | bsr=0.972 | agg=0.08s | det_auroc=0.766 | tpr@5=0.00
round  40 | acc=0.8744 | bsr=0.974 | agg=0.13s | det_auroc=0.703 | tpr@5=0.00
round  41 | acc=0.8759 | bsr=0.983 | agg=0.08s | det_auroc=0.875 | tpr@5=0.50
round  42 | acc=0.8786 | bsr=0.982 | agg=0.09s | det_auroc=0.766 | tpr@5=0.25
round  43 | acc=0.8771 | bsr=0.984 | agg=0.07s | det_auroc=0.719 | tpr@5=0.25
round  44 | acc=0.8763 | bsr=0.983 | agg=0.08s | det_auroc=0.766 | tpr@5=0.25
round  45 | acc=0.8806 | bsr=0.985 | agg=0.06s | det_auroc=0.719 | tpr@5=0.25
round  46 | acc=0.8803 | bsr=0.983 | agg=0.25s | det_auroc=0.719 | tpr@5=0.25
