device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0477 | bsr=0.000 | agg=2.60s | det_auroc=0.016 | tpr@5=0.00
round   2 | acc=0.0475 | bsr=0.000 | agg=2.54s | det_auroc=0.031 | tpr@5=0.00
round   3 | acc=0.0474 | bsr=0.000 | agg=2.56s | det_auroc=0.031 | tpr@5=0.00
round   4 | acc=0.0481 | bsr=0.000 | agg=2.55s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.0493 | bsr=0.000 | agg=2.57s | det_auroc=0.078 | tpr@5=0.00
round   6 | acc=0.0517 | bsr=0.000 | agg=2.53s | det_auroc=0.078 | tpr@5=0.00
round   7 | acc=0.0544 | bsr=0.000 | agg=2.54s | det_auroc=0.047 | tpr@5=0.00
round   8 | acc=0.0566 | bsr=0.000 | agg=2.55s | det_auroc=0.094 | tpr@5=0.00
round   9 | acc=0.0597 | bsr=0.000 | agg=2.51s | det_auroc=0.234 | tpr@5=0.00
round  10 | acc=0.0630 | bsr=0.000 | agg=2.58s | det_auroc=0.219 | tpr@5=0.00
round  11 | acc=0.0704 | bsr=0.000 | agg=2.56s | det_auroc=0.062 | tpr@5=0.00
round  12 | acc=0.0801 | bsr=0.001 | agg=2.54s | det_auroc=0.031 | tpr@5=0.00
round  13 | acc=0.0974 | bsr=0.003 | agg=2.58s | det_auroc=0.172 | tpr@5=0.00
round  14 | acc=0.1179 | bsr=0.008 | agg=2.56s | det_auroc=0.188 | tpr@5=0.00
round  15 | acc=0.1392 | bsr=0.017 | agg=2.55s | det_auroc=0.172 | tpr@5=0.00
round  16 | acc=0.1661 | bsr=0.045 | agg=2.56s | det_auroc=0.109 | tpr@5=0.00
round  17 | acc=0.1974 | bsr=0.098 | agg=2.53s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.2326 | bsr=0.175 | agg=2.54s | det_auroc=0.062 | tpr@5=0.00
round  19 | acc=0.2661 | bsr=0.260 | agg=2.52s | det_auroc=0.078 | tpr@5=0.00
round  20 | acc=0.2990 | bsr=0.342 | agg=2.56s | det_auroc=0.078 | tpr@5=0.00
round  21 | acc=0.3244 | bsr=0.412 | agg=2.57s | det_auroc=0.031 | tpr@5=0.00
round  22 | acc=0.3437 | bsr=0.457 | agg=2.56s | det_auroc=0.031 | tpr@5=0.00
round  23 | acc=0.3550 | bsr=0.483 | agg=2.54s | det_auroc=0.047 | tpr@5=0.00
round  24 | acc=0.3601 | bsr=0.505 | agg=2.58s | det_auroc=0.094 | tpr@5=0.00
round  25 | acc=0.3678 | bsr=0.516 | agg=2.57s | det_auroc=0.016 | tpr@5=0.00
round  26 | acc=0.3731 | bsr=0.516 | agg=2.55s | det_auroc=0.109 | tpr@5=0.00
round  27 | acc=0.3787 | bsr=0.519 | agg=2.56s | det_auroc=0.094 | tpr@5=0.00
round  28 | acc=0.3831 | bsr=0.519 | agg=2.53s | det_auroc=0.047 | tpr@5=0.00
round  29 | acc=0.3880 | bsr=0.512 | agg=2.56s | det_auroc=0.062 | tpr@5=0.00
round  30 | acc=0.3918 | bsr=0.509 | agg=2.56s | det_auroc=0.156 | tpr@5=0.00
round  31 | acc=0.3980 | bsr=0.502 | agg=2.52s | det_auroc=0.203 | tpr@5=0.00
round  32 | acc=0.4075 | bsr=0.492 | agg=2.55s | det_auroc=0.250 | tpr@5=0.00
round  33 | acc=0.4233 | bsr=0.483 | agg=2.56s | det_auroc=0.297 | tpr@5=0.00
round  34 | acc=0.4402 | bsr=0.470 | agg=2.56s | det_auroc=0.312 | tpr@5=0.00
round  35 | acc=0.4557 | bsr=0.459 | agg=2.53s | det_auroc=0.266 | tpr@5=0.00
round  36 | acc=0.4754 | bsr=0.449 | agg=2.57s | det_auroc=0.312 | tpr@5=0.00
round  37 | acc=0.4860 | bsr=0.441 | agg=2.54s | det_auroc=0.438 | tpr@5=0.00
round  38 | acc=0.5091 | bsr=0.424 | agg=2.56s | det_auroc=0.469 | tpr@5=0.00
round  39 | acc=0.5263 | bsr=0.409 | agg=2.57s | det_auroc=0.547 | tpr@5=0.00
round  40 | acc=0.5398 | bsr=0.395 | agg=2.53s | det_auroc=0.594 | tpr@5=0.25
round  41 | acc=0.5585 | bsr=0.383 | agg=2.56s | det_auroc=0.641 | tpr@5=0.00
round  42 | acc=0.5727 | bsr=0.374 | agg=2.52s | det_auroc=0.672 | tpr@5=0.00
round  43 | acc=0.5863 | bsr=0.363 | agg=2.56s | det_auroc=0.672 | tpr@5=0.00
round  44 | acc=0.5988 | bsr=0.350 | agg=2.52s | det_auroc=0.688 | tpr@5=0.00
round  45 | acc=0.6128 | bsr=0.333 | agg=2.56s | det_auroc=0.688 | tpr@5=0.00
round  46 | acc=0.6234 | bsr=0.321 | agg=2.53s | det_auroc=0.703 | tpr@5=0.00
round  47 | acc=0.6303 | bsr=0.309 | agg=2.56s | det_auroc=0.672 | tpr@5=0.00
round  48 | acc=0.6403 | bsr=0.296 | agg=2.56s | det_auroc=0.734 | tpr@5=0.25
round  49 | acc=0.6511 | bsr=0.281 | agg=2.53s | det_auroc=0.844 | tpr@5=0.75
round  50 | acc=0.6610 | bsr=0.266 | agg=2.54s | det_auroc=0.672 | tpr@5=0.25
round  51 | acc=0.6664 | bsr=0.257 | agg=2.53s | det_auroc=0.641 | tpr@5=0.00
round  52 | acc=0.6696 | bsr=0.245 | agg=2.57s | det_auroc=0.453 | tpr@5=0.00
round  53 | acc=0.6761 | bsr=0.234 | agg=2.55s | det_auroc=0.844 | tpr@5=0.00
round  54 | acc=0.6799 | bsr=0.222 | agg=2.54s | det_auroc=0.484 | tpr@5=0.00
round  55 | acc=0.6826 | bsr=0.211 | agg=2.53s | det_auroc=0.531 | tpr@5=0.00
round  56 | acc=0.6854 | bsr=0.203 | agg=2.57s | det_auroc=0.188 | tpr@5=0.00
