device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0479 | bsr=0.000 | agg=0.15s | det_auroc=0.797 | tpr@5=0.25
round   2 | acc=0.0483 | bsr=0.000 | agg=0.13s | det_auroc=0.797 | tpr@5=0.50
round   3 | acc=0.0494 | bsr=0.000 | agg=0.15s | det_auroc=0.797 | tpr@5=0.00
round   4 | acc=0.0509 | bsr=0.000 | agg=0.15s | det_auroc=0.859 | tpr@5=0.50
round   5 | acc=0.0526 | bsr=0.000 | agg=0.13s | det_auroc=0.766 | tpr@5=0.25
round   6 | acc=0.0554 | bsr=0.000 | agg=0.14s | det_auroc=0.859 | tpr@5=0.25
round   7 | acc=0.0585 | bsr=0.000 | agg=0.14s | det_auroc=0.891 | tpr@5=0.25
round   8 | acc=0.0609 | bsr=0.000 | agg=0.15s | det_auroc=0.844 | tpr@5=0.25
round   9 | acc=0.0648 | bsr=0.000 | agg=0.15s | det_auroc=0.828 | tpr@5=0.25
round  10 | acc=0.0707 | bsr=0.000 | agg=0.14s | det_auroc=0.781 | tpr@5=0.25
round  11 | acc=0.0780 | bsr=0.000 | agg=0.15s | det_auroc=0.891 | tpr@5=0.25
round  12 | acc=0.0841 | bsr=0.000 | agg=0.14s | det_auroc=0.844 | tpr@5=0.25
round  13 | acc=0.0920 | bsr=0.000 | agg=0.14s | det_auroc=0.828 | tpr@5=0.00
round  14 | acc=0.1021 | bsr=0.000 | agg=0.15s | det_auroc=0.797 | tpr@5=0.50
round  15 | acc=0.1171 | bsr=0.001 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  16 | acc=0.1371 | bsr=0.002 | agg=0.14s | det_auroc=0.891 | tpr@5=0.50
round  17 | acc=0.1590 | bsr=0.004 | agg=0.14s | det_auroc=0.844 | tpr@5=0.00
round  18 | acc=0.1819 | bsr=0.006 | agg=0.13s | det_auroc=0.891 | tpr@5=0.50
