device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=adaptive_ecf
round   1 | acc=0.3861 | bsr=0.469 | agg=0.20s
round   2 | acc=0.6281 | bsr=0.011 | agg=0.19s
round   3 | acc=0.6830 | bsr=0.063 | agg=0.19s
round   4 | acc=0.7320 | bsr=0.026 | agg=0.20s
round   5 | acc=0.7343 | bsr=0.049 | agg=0.18s
round   6 | acc=0.7604 | bsr=0.034 | agg=0.19s
round   7 | acc=0.7672 | bsr=0.038 | agg=0.19s
round   8 | acc=0.7777 | bsr=0.034 | agg=0.19s
round   9 | acc=0.7868 | bsr=0.038 | agg=0.20s
round  10 | acc=0.7939 | bsr=0.035 | agg=0.20s
round  11 | acc=0.7980 | bsr=0.038 | agg=0.18s
round  12 | acc=0.8048 | bsr=0.044 | agg=0.20s
round  13 | acc=0.8109 | bsr=0.046 | agg=0.20s
round  14 | acc=0.8110 | bsr=0.045 | agg=0.19s
round  15 | acc=0.8172 | bsr=0.042 | agg=0.19s
round  16 | acc=0.8257 | bsr=0.046 | agg=0.19s
round  17 | acc=0.8292 | bsr=0.043 | agg=0.19s
round  18 | acc=0.8268 | bsr=0.048 | agg=0.20s
round  19 | acc=0.8378 | bsr=0.049 | agg=0.19s
round  20 | acc=0.8387 | bsr=0.046 | agg=0.20s
round  21 | acc=0.8391 | bsr=0.052 | agg=0.19s
round  22 | acc=0.8431 | bsr=0.046 | agg=0.19s
round  23 | acc=0.8479 | bsr=0.051 | agg=0.19s
round  24 | acc=0.8508 | bsr=0.045 | agg=0.19s
round  25 | acc=0.8502 | bsr=0.052 | agg=0.20s
round  26 | acc=0.8515 | bsr=0.047 | agg=0.19s
round  27 | acc=0.8562 | bsr=0.053 | agg=0.19s
round  28 | acc=0.8570 | bsr=0.054 | agg=0.19s
round  29 | acc=0.8587 | bsr=0.060 | agg=0.19s
round  30 | acc=0.8617 | bsr=0.064 | agg=0.19s
round  31 | acc=0.8602 | bsr=0.053 | agg=0.19s
round  32 | acc=0.8615 | bsr=0.062 | agg=0.19s
round  33 | acc=0.8664 | bsr=0.072 | agg=0.19s
round  34 | acc=0.8630 | bsr=0.066 | agg=0.19s
round  35 | acc=0.8636 | bsr=0.075 | agg=0.19s
round  36 | acc=0.8652 | bsr=0.069 | agg=0.19s
round  37 | acc=0.8672 | bsr=0.085 | agg=0.19s
round  38 | acc=0.8699 | bsr=0.087 | agg=0.19s
round  39 | acc=0.8724 | bsr=0.092 | agg=0.19s
round  40 | acc=0.8721 | bsr=0.090 | agg=0.21s
round  41 | acc=0.8719 | bsr=0.090 | agg=0.20s
round  42 | acc=0.8727 | bsr=0.095 | agg=0.20s
round  43 | acc=0.8748 | bsr=0.106 | agg=0.20s
round  44 | acc=0.8756 | bsr=0.104 | agg=0.20s
round  45 | acc=0.8738 | bsr=0.102 | agg=0.19s
round  46 | acc=0.8776 | bsr=0.123 | agg=0.20s
round  47 | acc=0.8781 | bsr=0.125 | agg=0.19s
round  48 | acc=0.8786 | bsr=0.127 | agg=0.20s
round  49 | acc=0.8800 | bsr=0.132 | agg=0.20s
round  50 | acc=0.8793 | bsr=0.151 | agg=0.21s
round  51 | acc=0.8794 | bsr=0.143 | agg=0.20s
round  52 | acc=0.8810 | bsr=0.158 | agg=0.20s
round  53 | acc=0.8818 | bsr=0.155 | agg=0.19s
round  54 | acc=0.8808 | bsr=0.166 | agg=0.21s
round  55 | acc=0.8811 | bsr=0.176 | agg=0.21s
round  56 | acc=0.8848 | bsr=0.183 | agg=0.20s
round  57 | acc=0.8824 | bsr=0.193 | agg=0.21s
round  58 | acc=0.8841 | bsr=0.201 | agg=0.21s
round  59 | acc=0.8829 | bsr=0.213 | agg=0.20s
round  60 | acc=0.8828 | bsr=0.228 | agg=0.20s
