device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0470 | bsr=0.000 | agg=2.62s | det_auroc=0.016 | tpr@5=0.00
round   2 | acc=0.0466 | bsr=0.000 | agg=2.60s | det_auroc=0.031 | tpr@5=0.00
round   3 | acc=0.0458 | bsr=0.000 | agg=2.60s | det_auroc=0.047 | tpr@5=0.00
round   4 | acc=0.0471 | bsr=0.000 | agg=2.61s | det_auroc=0.062 | tpr@5=0.00
round   5 | acc=0.0485 | bsr=0.000 | agg=2.61s | det_auroc=0.031 | tpr@5=0.00
round   6 | acc=0.0508 | bsr=0.000 | agg=2.61s | det_auroc=0.109 | tpr@5=0.00
round   7 | acc=0.0539 | bsr=0.000 | agg=2.61s | det_auroc=0.188 | tpr@5=0.00
round   8 | acc=0.0559 | bsr=0.000 | agg=2.61s | det_auroc=0.250 | tpr@5=0.00
round   9 | acc=0.0590 | bsr=0.000 | agg=2.60s | det_auroc=0.125 | tpr@5=0.00
round  10 | acc=0.0627 | bsr=0.000 | agg=2.61s | det_auroc=0.234 | tpr@5=0.00
round  11 | acc=0.0692 | bsr=0.000 | agg=2.62s | det_auroc=0.281 | tpr@5=0.00
round  12 | acc=0.0782 | bsr=0.001 | agg=2.62s | det_auroc=0.141 | tpr@5=0.00
round  13 | acc=0.0959 | bsr=0.003 | agg=2.60s | det_auroc=0.062 | tpr@5=0.00
round  14 | acc=0.1190 | bsr=0.008 | agg=2.60s | det_auroc=0.250 | tpr@5=0.00
round  15 | acc=0.1419 | bsr=0.016 | agg=2.60s | det_auroc=0.125 | tpr@5=0.00
round  16 | acc=0.1677 | bsr=0.041 | agg=2.62s | det_auroc=0.094 | tpr@5=0.00
round  17 | acc=0.1982 | bsr=0.089 | agg=2.61s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.2316 | bsr=0.167 | agg=2.62s | det_auroc=0.016 | tpr@5=0.00
round  19 | acc=0.2656 | bsr=0.252 | agg=2.62s | det_auroc=0.094 | tpr@5=0.00
round  20 | acc=0.2970 | bsr=0.333 | agg=2.61s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.3242 | bsr=0.403 | agg=2.61s | det_auroc=0.031 | tpr@5=0.00
round  22 | acc=0.3438 | bsr=0.451 | agg=2.61s | det_auroc=0.078 | tpr@5=0.00
round  23 | acc=0.3549 | bsr=0.477 | agg=2.59s | det_auroc=0.047 | tpr@5=0.00
round  24 | acc=0.3603 | bsr=0.501 | agg=2.61s | det_auroc=0.094 | tpr@5=0.00
round  25 | acc=0.3661 | bsr=0.512 | agg=2.60s | det_auroc=0.094 | tpr@5=0.00
round  26 | acc=0.3725 | bsr=0.513 | agg=2.59s | det_auroc=0.094 | tpr@5=0.00
round  27 | acc=0.3787 | bsr=0.516 | agg=2.60s | det_auroc=0.078 | tpr@5=0.00
round  28 | acc=0.3831 | bsr=0.515 | agg=2.60s | det_auroc=0.031 | tpr@5=0.00
round  29 | acc=0.3880 | bsr=0.509 | agg=2.61s | det_auroc=0.094 | tpr@5=0.00
round  30 | acc=0.3916 | bsr=0.506 | agg=2.61s | det_auroc=0.109 | tpr@5=0.00
round  31 | acc=0.3986 | bsr=0.499 | agg=2.62s | det_auroc=0.203 | tpr@5=0.00
round  32 | acc=0.4084 | bsr=0.488 | agg=2.61s | det_auroc=0.172 | tpr@5=0.00
round  33 | acc=0.4245 | bsr=0.480 | agg=2.62s | det_auroc=0.297 | tpr@5=0.00
round  34 | acc=0.4426 | bsr=0.475 | agg=2.61s | det_auroc=0.266 | tpr@5=0.00
round  35 | acc=0.4583 | bsr=0.465 | agg=2.61s | det_auroc=0.281 | tpr@5=0.00
round  36 | acc=0.4758 | bsr=0.454 | agg=2.61s | det_auroc=0.219 | tpr@5=0.00
round  37 | acc=0.4877 | bsr=0.445 | agg=2.61s | det_auroc=0.438 | tpr@5=0.00
round  38 | acc=0.5109 | bsr=0.428 | agg=2.61s | det_auroc=0.547 | tpr@5=0.00
round  39 | acc=0.5284 | bsr=0.413 | agg=2.61s | det_auroc=0.562 | tpr@5=0.00
round  40 | acc=0.5420 | bsr=0.399 | agg=2.60s | det_auroc=0.703 | tpr@5=0.25
round  41 | acc=0.5601 | bsr=0.385 | agg=2.61s | det_auroc=0.625 | tpr@5=0.00
round  42 | acc=0.5736 | bsr=0.376 | agg=2.60s | det_auroc=0.656 | tpr@5=0.00
round  43 | acc=0.5890 | bsr=0.365 | agg=2.60s | det_auroc=0.625 | tpr@5=0.00
round  44 | acc=0.6004 | bsr=0.353 | agg=2.60s | det_auroc=0.703 | tpr@5=0.00
round  45 | acc=0.6158 | bsr=0.335 | agg=2.60s | det_auroc=0.641 | tpr@5=0.00
round  46 | acc=0.6247 | bsr=0.322 | agg=2.61s | det_auroc=0.734 | tpr@5=0.00
round  47 | acc=0.6306 | bsr=0.310 | agg=2.62s | det_auroc=0.734 | tpr@5=0.00
round  48 | acc=0.6429 | bsr=0.296 | agg=2.61s | det_auroc=0.750 | tpr@5=0.25
round  49 | acc=0.6520 | bsr=0.283 | agg=2.60s | det_auroc=0.781 | tpr@5=0.50
round  50 | acc=0.6610 | bsr=0.268 | agg=2.62s | det_auroc=0.891 | tpr@5=0.25
round  51 | acc=0.6665 | bsr=0.258 | agg=2.61s | det_auroc=0.734 | tpr@5=0.00
round  52 | acc=0.6704 | bsr=0.245 | agg=2.61s | det_auroc=0.453 | tpr@5=0.00
round  53 | acc=0.6769 | bsr=0.234 | agg=2.61s | det_auroc=0.781 | tpr@5=0.25
round  54 | acc=0.6804 | bsr=0.223 | agg=2.61s | det_auroc=0.781 | tpr@5=0.50
round  55 | acc=0.6828 | bsr=0.211 | agg=2.61s | det_auroc=0.453 | tpr@5=0.00
round  56 | acc=0.6866 | bsr=0.202 | agg=2.62s | det_auroc=0.375 | tpr@5=0.00
round  57 | acc=0.6892 | bsr=0.195 | agg=2.62s | det_auroc=0.344 | tpr@5=0.00
round  58 | acc=0.6919 | bsr=0.187 | agg=2.61s | det_auroc=0.172 | tpr@5=0.00
