device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0479 | bsr=0.000 | agg=0.18s | det_auroc=0.797 | tpr@5=0.25
round   2 | acc=0.0483 | bsr=0.000 | agg=0.17s | det_auroc=0.797 | tpr@5=0.50
round   3 | acc=0.0494 | bsr=0.000 | agg=0.17s | det_auroc=0.781 | tpr@5=0.00
round   4 | acc=0.0509 | bsr=0.000 | agg=0.18s | det_auroc=0.844 | tpr@5=0.50
round   5 | acc=0.0526 | bsr=0.000 | agg=0.18s | det_auroc=0.766 | tpr@5=0.25
round   6 | acc=0.0554 | bsr=0.000 | agg=0.17s | det_auroc=0.828 | tpr@5=0.00
round   7 | acc=0.0584 | bsr=0.000 | agg=0.17s | det_auroc=0.891 | tpr@5=0.25
round   8 | acc=0.0609 | bsr=0.000 | agg=0.16s | det_auroc=0.875 | tpr@5=0.25
round   9 | acc=0.0648 | bsr=0.000 | agg=0.17s | det_auroc=0.859 | tpr@5=0.25
round  10 | acc=0.0707 | bsr=0.000 | agg=0.16s | det_auroc=0.766 | tpr@5=0.25
round  11 | acc=0.0779 | bsr=0.000 | agg=0.17s | det_auroc=0.859 | tpr@5=0.25
round  12 | acc=0.0841 | bsr=0.000 | agg=0.16s | det_auroc=0.844 | tpr@5=0.25
round  13 | acc=0.0919 | bsr=0.000 | agg=0.17s | det_auroc=0.844 | tpr@5=0.00
round  14 | acc=0.1021 | bsr=0.000 | agg=0.16s | det_auroc=0.812 | tpr@5=0.25
round  15 | acc=0.1174 | bsr=0.001 | agg=0.17s | det_auroc=0.922 | tpr@5=0.50
round  16 | acc=0.1367 | bsr=0.002 | agg=0.17s | det_auroc=0.891 | tpr@5=0.50
round  17 | acc=0.1590 | bsr=0.004 | agg=0.17s | det_auroc=0.859 | tpr@5=0.25
round  18 | acc=0.1816 | bsr=0.006 | agg=0.17s | det_auroc=0.875 | tpr@5=0.50
round  19 | acc=0.2117 | bsr=0.012 | agg=0.17s | det_auroc=0.891 | tpr@5=0.50
round  20 | acc=0.2444 | bsr=0.019 | agg=0.16s | det_auroc=0.844 | tpr@5=0.25
round  21 | acc=0.2856 | bsr=0.029 | agg=0.17s | det_auroc=0.891 | tpr@5=0.50
round  22 | acc=0.3262 | bsr=0.044 | agg=0.17s | det_auroc=0.828 | tpr@5=0.25
round  23 | acc=0.3593 | bsr=0.064 | agg=0.16s | det_auroc=0.891 | tpr@5=0.25
round  24 | acc=0.3868 | bsr=0.093 | agg=0.19s | det_auroc=0.906 | tpr@5=0.00
round  25 | acc=0.4062 | bsr=0.115 | agg=0.17s | det_auroc=0.922 | tpr@5=0.25
round  26 | acc=0.4228 | bsr=0.137 | agg=0.18s | det_auroc=0.922 | tpr@5=0.25
round  27 | acc=0.4349 | bsr=0.151 | agg=0.17s | det_auroc=0.938 | tpr@5=0.50
round  28 | acc=0.4516 | bsr=0.164 | agg=0.17s | det_auroc=0.938 | tpr@5=0.50
round  29 | acc=0.4702 | bsr=0.172 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  30 | acc=0.4880 | bsr=0.175 | agg=0.17s | det_auroc=0.938 | tpr@5=0.50
round  31 | acc=0.5078 | bsr=0.172 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  32 | acc=0.5248 | bsr=0.172 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  33 | acc=0.5392 | bsr=0.169 | agg=0.15s | det_auroc=0.922 | tpr@5=0.50
round  34 | acc=0.5532 | bsr=0.166 | agg=0.18s | det_auroc=0.938 | tpr@5=0.50
round  35 | acc=0.5740 | bsr=0.161 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  36 | acc=0.5933 | bsr=0.158 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  37 | acc=0.6103 | bsr=0.151 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  38 | acc=0.6289 | bsr=0.143 | agg=0.15s | det_auroc=0.922 | tpr@5=0.50
round  39 | acc=0.6409 | bsr=0.138 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  40 | acc=0.6511 | bsr=0.135 | agg=0.17s | det_auroc=0.922 | tpr@5=0.25
round  41 | acc=0.6600 | bsr=0.128 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  42 | acc=0.6663 | bsr=0.127 | agg=0.15s | det_auroc=0.938 | tpr@5=0.25
round  43 | acc=0.6744 | bsr=0.121 | agg=0.16s | det_auroc=0.953 | tpr@5=0.50
round  44 | acc=0.6799 | bsr=0.113 | agg=0.15s | det_auroc=0.922 | tpr@5=0.25
round  45 | acc=0.6842 | bsr=0.111 | agg=0.17s | det_auroc=0.922 | tpr@5=0.25
round  46 | acc=0.6884 | bsr=0.112 | agg=0.16s | det_auroc=0.844 | tpr@5=0.25
round  47 | acc=0.6907 | bsr=0.109 | agg=0.16s | det_auroc=0.859 | tpr@5=0.25
round  48 | acc=0.6933 | bsr=0.108 | agg=0.15s | det_auroc=0.922 | tpr@5=0.25
round  49 | acc=0.6960 | bsr=0.105 | agg=0.16s | det_auroc=0.922 | tpr@5=0.25
round  50 | acc=0.6968 | bsr=0.103 | agg=0.16s | det_auroc=0.953 | tpr@5=0.25
round  51 | acc=0.6975 | bsr=0.100 | agg=0.16s | det_auroc=0.891 | tpr@5=0.25
round  52 | acc=0.6983 | bsr=0.099 | agg=0.14s | det_auroc=0.953 | tpr@5=0.25
round  53 | acc=0.6981 | bsr=0.098 | agg=0.15s | det_auroc=0.891 | tpr@5=0.00
round  54 | acc=0.6990 | bsr=0.095 | agg=0.16s | det_auroc=0.922 | tpr@5=0.25
round  55 | acc=0.6992 | bsr=0.092 | agg=0.15s | det_auroc=0.906 | tpr@5=0.25
round  56 | acc=0.6993 | bsr=0.091 | agg=0.15s | det_auroc=0.938 | tpr@5=0.25
round  57 | acc=0.6994 | bsr=0.091 | agg=0.15s | det_auroc=0.922 | tpr@5=0.25
round  58 | acc=0.7009 | bsr=0.088 | agg=0.14s | det_auroc=0.922 | tpr@5=0.00
round  59 | acc=0.7024 | bsr=0.083 | agg=0.15s | det_auroc=0.938 | tpr@5=0.25
round  60 | acc=0.7027 | bsr=0.083 | agg=0.14s | det_auroc=0.859 | tpr@5=0.00
