device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fedavg attack=backdoor
round   1 | acc=0.5480 | bsr=0.290 | agg=0.01s
round   2 | acc=0.6536 | bsr=0.062 | agg=0.01s
round   3 | acc=0.7219 | bsr=0.210 | agg=0.01s
round   4 | acc=0.7271 | bsr=0.185 | agg=0.01s
round   5 | acc=0.7578 | bsr=0.408 | agg=0.01s
round   6 | acc=0.7647 | bsr=0.491 | agg=0.01s
round   7 | acc=0.7834 | bsr=0.655 | agg=0.01s
round   8 | acc=0.7886 | bsr=0.740 | agg=0.01s
round   9 | acc=0.7958 | bsr=0.807 | agg=0.01s
round  10 | acc=0.8050 | bsr=0.833 | agg=0.01s
round  11 | acc=0.8082 | bsr=0.847 | agg=0.01s
round  12 | acc=0.8152 | bsr=0.893 | agg=0.01s
round  13 | acc=0.8202 | bsr=0.902 | agg=0.01s
round  14 | acc=0.8210 | bsr=0.905 | agg=0.01s
round  15 | acc=0.8248 | bsr=0.904 | agg=0.01s
round  16 | acc=0.8377 | bsr=0.927 | agg=0.01s
round  17 | acc=0.8359 | bsr=0.908 | agg=0.01s
round  18 | acc=0.8376 | bsr=0.926 | agg=0.01s
round  19 | acc=0.8484 | bsr=0.932 | agg=0.01s
round  20 | acc=0.8486 | bsr=0.935 | agg=0.01s
round  21 | acc=0.8484 | bsr=0.943 | agg=0.01s
round  22 | acc=0.8492 | bsr=0.941 | agg=0.01s
round  23 | acc=0.8555 | bsr=0.944 | agg=0.01s
round  24 | acc=0.8539 | bsr=0.941 | agg=0.01s
round  25 | acc=0.8543 | bsr=0.949 | agg=0.01s
round  26 | acc=0.8576 | bsr=0.947 | agg=0.01s
round  27 | acc=0.8616 | bsr=0.963 | agg=0.01s
round  28 | acc=0.8626 | bsr=0.960 | agg=0.01s
round  29 | acc=0.8640 | bsr=0.966 | agg=0.01s
round  30 | acc=0.8661 | bsr=0.967 | agg=0.01s
round  31 | acc=0.8652 | bsr=0.966 | agg=0.01s
round  32 | acc=0.8670 | bsr=0.969 | agg=0.01s
round  33 | acc=0.8696 | bsr=0.971 | agg=0.01s
round  34 | acc=0.8702 | bsr=0.971 | agg=0.01s
round  35 | acc=0.8696 | bsr=0.976 | agg=0.01s
round  36 | acc=0.8724 | bsr=0.974 | agg=0.01s
round  37 | acc=0.8726 | bsr=0.981 | agg=0.01s
round  38 | acc=0.8752 | bsr=0.980 | agg=0.01s
round  39 | acc=0.8768 | bsr=0.988 | agg=0.01s
round  40 | acc=0.8767 | bsr=0.983 | agg=0.01s
round  41 | acc=0.8773 | bsr=0.984 | agg=0.01s
round  42 | acc=0.8785 | bsr=0.986 | agg=0.01s
round  43 | acc=0.8793 | bsr=0.989 | agg=0.01s
round  44 | acc=0.8804 | bsr=0.988 | agg=0.01s
round  45 | acc=0.8799 | bsr=0.988 | agg=0.01s
round  46 | acc=0.8814 | bsr=0.991 | agg=0.01s
round  47 | acc=0.8804 | bsr=0.991 | agg=0.01s
round  48 | acc=0.8812 | bsr=0.990 | agg=0.01s
round  49 | acc=0.8827 | bsr=0.993 | agg=0.01s
round  50 | acc=0.8825 | bsr=0.994 | agg=0.01s
round  51 | acc=0.8825 | bsr=0.992 | agg=0.01s
round  52 | acc=0.8831 | bsr=0.993 | agg=0.01s
round  53 | acc=0.8838 | bsr=0.994 | agg=0.01s
round  54 | acc=0.8855 | bsr=0.995 | agg=0.01s
round  55 | acc=0.8856 | bsr=0.994 | agg=0.01s
round  56 | acc=0.8866 | bsr=0.993 | agg=0.01s
round  57 | acc=0.8854 | bsr=0.994 | agg=0.01s
round  58 | acc=0.8871 | bsr=0.995 | agg=0.01s
round  59 | acc=0.8872 | bsr=0.997 | agg=0.01s
round  60 | acc=0.8870 | bsr=0.997 | agg=0.01s
