device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=backdoor
round   1 | acc=0.3760 | bsr=0.462 | agg=0.21s
round   2 | acc=0.6143 | bsr=0.011 | agg=0.19s
round   3 | acc=0.6730 | bsr=0.062 | agg=0.19s
round   4 | acc=0.7210 | bsr=0.030 | agg=0.19s
round   5 | acc=0.7318 | bsr=0.049 | agg=0.19s
round   6 | acc=0.7553 | bsr=0.038 | agg=0.19s
round   7 | acc=0.7654 | bsr=0.035 | agg=0.19s
round   8 | acc=0.7731 | bsr=0.037 | agg=0.19s
round   9 | acc=0.7825 | bsr=0.039 | agg=0.19s
round  10 | acc=0.7867 | bsr=0.035 | agg=0.20s
round  11 | acc=0.7927 | bsr=0.039 | agg=0.19s
round  12 | acc=0.7984 | bsr=0.043 | agg=0.19s
round  13 | acc=0.8052 | bsr=0.047 | agg=0.19s
round  14 | acc=0.8076 | bsr=0.043 | agg=0.19s
round  15 | acc=0.8121 | bsr=0.038 | agg=0.19s
round  16 | acc=0.8225 | bsr=0.044 | agg=0.19s
round  17 | acc=0.8250 | bsr=0.040 | agg=0.19s
round  18 | acc=0.8237 | bsr=0.044 | agg=0.20s
round  19 | acc=0.8325 | bsr=0.046 | agg=0.20s
round  20 | acc=0.8370 | bsr=0.041 | agg=0.21s
round  21 | acc=0.8361 | bsr=0.047 | agg=0.20s
round  22 | acc=0.8412 | bsr=0.041 | agg=0.21s
round  23 | acc=0.8444 | bsr=0.042 | agg=0.21s
round  24 | acc=0.8479 | bsr=0.040 | agg=0.19s
round  25 | acc=0.8468 | bsr=0.043 | agg=0.20s
round  26 | acc=0.8508 | bsr=0.039 | agg=0.20s
round  27 | acc=0.8538 | bsr=0.039 | agg=0.20s
round  28 | acc=0.8543 | bsr=0.042 | agg=0.19s
round  29 | acc=0.8582 | bsr=0.042 | agg=0.19s
round  30 | acc=0.8608 | bsr=0.047 | agg=0.19s
round  31 | acc=0.8588 | bsr=0.038 | agg=0.19s
round  32 | acc=0.8613 | bsr=0.043 | agg=0.19s
round  33 | acc=0.8634 | bsr=0.048 | agg=0.19s
round  34 | acc=0.8633 | bsr=0.046 | agg=0.20s
round  35 | acc=0.8636 | bsr=0.049 | agg=0.19s
round  36 | acc=0.8651 | bsr=0.047 | agg=0.20s
round  37 | acc=0.8656 | bsr=0.056 | agg=0.20s
round  38 | acc=0.8669 | bsr=0.055 | agg=0.19s
round  39 | acc=0.8699 | bsr=0.064 | agg=0.20s
round  40 | acc=0.8696 | bsr=0.059 | agg=0.20s
round  41 | acc=0.8701 | bsr=0.059 | agg=0.20s
round  42 | acc=0.8715 | bsr=0.064 | agg=0.19s
round  43 | acc=0.8725 | bsr=0.066 | agg=0.20s
round  44 | acc=0.8736 | bsr=0.067 | agg=0.20s
round  45 | acc=0.8732 | bsr=0.065 | agg=0.21s
round  46 | acc=0.8757 | bsr=0.081 | agg=0.20s
round  47 | acc=0.8753 | bsr=0.082 | agg=0.21s
round  48 | acc=0.8775 | bsr=0.085 | agg=0.21s
round  49 | acc=0.8775 | bsr=0.080 | agg=0.20s
round  50 | acc=0.8759 | bsr=0.100 | agg=0.21s
round  51 | acc=0.8785 | bsr=0.091 | agg=0.20s
round  52 | acc=0.8804 | bsr=0.103 | agg=0.19s
round  53 | acc=0.8799 | bsr=0.104 | agg=0.21s
round  54 | acc=0.8795 | bsr=0.106 | agg=0.21s
round  55 | acc=0.8810 | bsr=0.110 | agg=0.21s
round  56 | acc=0.8825 | bsr=0.119 | agg=0.20s
round  57 | acc=0.8817 | bsr=0.123 | agg=0.21s
round  58 | acc=0.8823 | bsr=0.126 | agg=0.20s
round  59 | acc=0.8809 | bsr=0.135 | agg=0.20s
round  60 | acc=0.8814 | bsr=0.149 | agg=0.20s
