device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.0477 | bsr=0.000 | agg=0.15s | det_auroc=0.812 | tpr@5=0.25
round   2 | acc=0.0475 | bsr=0.000 | agg=0.14s | det_auroc=0.875 | tpr@5=0.25
round   3 | acc=0.0475 | bsr=0.000 | agg=0.14s | det_auroc=0.734 | tpr@5=0.50
round   4 | acc=0.0481 | bsr=0.000 | agg=0.14s | det_auroc=0.781 | tpr@5=0.50
round   5 | acc=0.0494 | bsr=0.000 | agg=0.15s | det_auroc=0.844 | tpr@5=0.00
round   6 | acc=0.0518 | bsr=0.000 | agg=0.14s | det_auroc=0.828 | tpr@5=0.25
round   7 | acc=0.0544 | bsr=0.000 | agg=0.15s | det_auroc=0.859 | tpr@5=0.25
round   8 | acc=0.0566 | bsr=0.000 | agg=0.14s | det_auroc=0.891 | tpr@5=0.50
round   9 | acc=0.0596 | bsr=0.000 | agg=0.14s | det_auroc=0.844 | tpr@5=0.25
round  10 | acc=0.0631 | bsr=0.000 | agg=0.14s | det_auroc=0.891 | tpr@5=0.25
round  11 | acc=0.0703 | bsr=0.000 | agg=0.14s | det_auroc=0.734 | tpr@5=0.00
round  12 | acc=0.0796 | bsr=0.001 | agg=0.15s | det_auroc=0.734 | tpr@5=0.00
round  13 | acc=0.0958 | bsr=0.002 | agg=0.15s | det_auroc=0.844 | tpr@5=0.50
round  14 | acc=0.1165 | bsr=0.007 | agg=0.14s | det_auroc=0.891 | tpr@5=0.50
round  15 | acc=0.1396 | bsr=0.015 | agg=0.13s | det_auroc=0.891 | tpr@5=0.50
round  16 | acc=0.1634 | bsr=0.038 | agg=0.13s | det_auroc=0.875 | tpr@5=0.25
round  17 | acc=0.1927 | bsr=0.081 | agg=0.13s | det_auroc=0.891 | tpr@5=0.50
round  18 | acc=0.2273 | bsr=0.152 | agg=0.15s | det_auroc=0.828 | tpr@5=0.25
round  19 | acc=0.2614 | bsr=0.233 | agg=0.13s | det_auroc=0.844 | tpr@5=0.25
round  20 | acc=0.2965 | bsr=0.317 | agg=0.13s | det_auroc=0.922 | tpr@5=0.50
round  21 | acc=0.3227 | bsr=0.388 | agg=0.14s | det_auroc=0.922 | tpr@5=0.50
round  22 | acc=0.3432 | bsr=0.439 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  23 | acc=0.3562 | bsr=0.468 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  24 | acc=0.3627 | bsr=0.494 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  25 | acc=0.3694 | bsr=0.506 | agg=0.13s | det_auroc=0.922 | tpr@5=0.25
round  26 | acc=0.3754 | bsr=0.508 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  27 | acc=0.3799 | bsr=0.509 | agg=0.14s | det_auroc=0.922 | tpr@5=0.50
round  28 | acc=0.3855 | bsr=0.508 | agg=0.15s | det_auroc=0.938 | tpr@5=0.50
round  29 | acc=0.3907 | bsr=0.503 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  30 | acc=0.3957 | bsr=0.498 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  31 | acc=0.4016 | bsr=0.491 | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  32 | acc=0.4124 | bsr=0.483 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  33 | acc=0.4293 | bsr=0.474 | agg=0.12s | det_auroc=0.938 | tpr@5=0.50
round  34 | acc=0.4455 | bsr=0.463 | agg=0.13s | det_auroc=0.922 | tpr@5=0.25
round  35 | acc=0.4614 | bsr=0.450 | agg=0.13s | det_auroc=0.922 | tpr@5=0.25
round  36 | acc=0.4802 | bsr=0.441 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  37 | acc=0.4926 | bsr=0.433 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  38 | acc=0.5163 | bsr=0.413 | agg=0.13s | det_auroc=0.938 | tpr@5=0.25
round  39 | acc=0.5324 | bsr=0.401 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  40 | acc=0.5470 | bsr=0.387 | agg=0.13s | det_auroc=0.922 | tpr@5=0.50
round  41 | acc=0.5631 | bsr=0.373 | agg=0.14s | det_auroc=0.922 | tpr@5=0.25
round  42 | acc=0.5786 | bsr=0.363 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  43 | acc=0.5914 | bsr=0.354 | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  44 | acc=0.6032 | bsr=0.339 | agg=0.13s | det_auroc=0.906 | tpr@5=0.25
round  45 | acc=0.6196 | bsr=0.324 | agg=0.13s | det_auroc=0.859 | tpr@5=0.00
round  46 | acc=0.6282 | bsr=0.311 | agg=0.13s | det_auroc=0.938 | tpr@5=0.25
round  47 | acc=0.6346 | bsr=0.299 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  48 | acc=0.6456 | bsr=0.288 | agg=0.14s | det_auroc=0.953 | tpr@5=0.25
round  49 | acc=0.6544 | bsr=0.274 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  50 | acc=0.6633 | bsr=0.260 | agg=0.12s | det_auroc=0.938 | tpr@5=0.25
round  51 | acc=0.6699 | bsr=0.248 | agg=0.12s | det_auroc=0.969 | tpr@5=0.50
round  52 | acc=0.6728 | bsr=0.239 | agg=0.13s | det_auroc=0.922 | tpr@5=0.25
round  53 | acc=0.6794 | bsr=0.226 | agg=0.12s | det_auroc=0.938 | tpr@5=0.25
round  54 | acc=0.6807 | bsr=0.215 | agg=0.13s | det_auroc=0.938 | tpr@5=0.25
round  55 | acc=0.6848 | bsr=0.205 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  56 | acc=0.6882 | bsr=0.198 | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  57 | acc=0.6920 | bsr=0.190 | agg=0.13s | det_auroc=0.938 | tpr@5=0.25
round  58 | acc=0.6930 | bsr=0.181 | agg=0.13s | det_auroc=0.922 | tpr@5=0.00
round  59 | acc=0.6959 | bsr=0.173 | agg=0.13s | det_auroc=0.922 | tpr@5=0.00
round  60 | acc=0.6977 | bsr=0.164 | agg=0.13s | det_auroc=0.938 | tpr@5=0.00
