device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.0477 | bsr=0.000 | agg=2.57s | det_auroc=0.016 | tpr@5=0.00
round   2 | acc=0.0475 | bsr=0.000 | agg=2.55s | det_auroc=0.031 | tpr@5=0.00
round   3 | acc=0.0475 | bsr=0.000 | agg=2.56s | det_auroc=0.078 | tpr@5=0.00
round   4 | acc=0.0481 | bsr=0.000 | agg=2.57s | det_auroc=0.031 | tpr@5=0.00
round   5 | acc=0.0494 | bsr=0.000 | agg=2.53s | det_auroc=0.062 | tpr@5=0.00
round   6 | acc=0.0516 | bsr=0.000 | agg=2.57s | det_auroc=0.125 | tpr@5=0.00
round   7 | acc=0.0545 | bsr=0.000 | agg=2.54s | det_auroc=0.047 | tpr@5=0.00
round   8 | acc=0.0561 | bsr=0.000 | agg=2.56s | det_auroc=0.125 | tpr@5=0.00
round   9 | acc=0.0596 | bsr=0.000 | agg=2.55s | det_auroc=0.094 | tpr@5=0.00
round  10 | acc=0.0631 | bsr=0.000 | agg=2.52s | det_auroc=0.203 | tpr@5=0.00
round  11 | acc=0.0705 | bsr=0.000 | agg=2.54s | det_auroc=0.094 | tpr@5=0.00
round  12 | acc=0.0801 | bsr=0.001 | agg=2.54s | det_auroc=0.109 | tpr@5=0.00
round  13 | acc=0.0991 | bsr=0.004 | agg=2.54s | det_auroc=0.047 | tpr@5=0.00
round  14 | acc=0.1207 | bsr=0.009 | agg=2.54s | det_auroc=0.141 | tpr@5=0.00
round  15 | acc=0.1440 | bsr=0.021 | agg=2.57s | det_auroc=0.203 | tpr@5=0.00
round  16 | acc=0.1684 | bsr=0.053 | agg=2.56s | det_auroc=0.094 | tpr@5=0.00
round  17 | acc=0.1967 | bsr=0.106 | agg=2.53s | det_auroc=0.016 | tpr@5=0.00
round  18 | acc=0.2287 | bsr=0.187 | agg=2.52s | det_auroc=0.078 | tpr@5=0.00
round  19 | acc=0.2606 | bsr=0.272 | agg=2.56s | det_auroc=0.094 | tpr@5=0.00
round  20 | acc=0.2923 | bsr=0.354 | agg=2.53s | det_auroc=0.062 | tpr@5=0.00
round  21 | acc=0.3209 | bsr=0.423 | agg=2.54s | det_auroc=0.031 | tpr@5=0.00
round  22 | acc=0.3404 | bsr=0.466 | agg=2.57s | det_auroc=0.047 | tpr@5=0.00
round  23 | acc=0.3510 | bsr=0.493 | agg=2.54s | det_auroc=0.125 | tpr@5=0.00
round  24 | acc=0.3574 | bsr=0.512 | agg=2.53s | det_auroc=0.078 | tpr@5=0.00
round  25 | acc=0.3641 | bsr=0.522 | agg=2.55s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.3706 | bsr=0.524 | agg=2.51s | det_auroc=0.172 | tpr@5=0.00
round  27 | acc=0.3756 | bsr=0.527 | agg=2.54s | det_auroc=0.156 | tpr@5=0.00
round  28 | acc=0.3811 | bsr=0.526 | agg=2.56s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.3851 | bsr=0.519 | agg=2.54s | det_auroc=0.062 | tpr@5=0.00
round  30 | acc=0.3898 | bsr=0.517 | agg=2.53s | det_auroc=0.109 | tpr@5=0.00
round  31 | acc=0.3945 | bsr=0.510 | agg=2.53s | det_auroc=0.250 | tpr@5=0.00
round  32 | acc=0.4062 | bsr=0.500 | agg=2.56s | det_auroc=0.172 | tpr@5=0.00
round  33 | acc=0.4227 | bsr=0.498 | agg=2.57s | det_auroc=0.281 | tpr@5=0.00
round  34 | acc=0.4410 | bsr=0.485 | agg=2.54s | det_auroc=0.281 | tpr@5=0.00
round  35 | acc=0.4581 | bsr=0.472 | agg=2.52s | det_auroc=0.250 | tpr@5=0.00
round  36 | acc=0.4746 | bsr=0.462 | agg=2.54s | det_auroc=0.250 | tpr@5=0.00
round  37 | acc=0.4867 | bsr=0.453 | agg=2.52s | det_auroc=0.391 | tpr@5=0.00
round  38 | acc=0.5098 | bsr=0.435 | agg=2.55s | det_auroc=0.484 | tpr@5=0.00
round  39 | acc=0.5276 | bsr=0.421 | agg=2.53s | det_auroc=0.547 | tpr@5=0.00
round  40 | acc=0.5412 | bsr=0.406 | agg=2.56s | det_auroc=0.656 | tpr@5=0.25
round  41 | acc=0.5592 | bsr=0.392 | agg=2.52s | det_auroc=0.656 | tpr@5=0.25
