device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.0479 | bsr=0.000 | agg=0.14s | det_auroc=0.797 | tpr@5=0.25
round   2 | acc=0.0483 | bsr=0.000 | agg=0.15s | det_auroc=0.797 | tpr@5=0.50
round   3 | acc=0.0494 | bsr=0.000 | agg=0.14s | det_auroc=0.781 | tpr@5=0.00
round   4 | acc=0.0509 | bsr=0.000 | agg=0.15s | det_auroc=0.844 | tpr@5=0.50
round   5 | acc=0.0525 | bsr=0.000 | agg=0.14s | det_auroc=0.781 | tpr@5=0.25
round   6 | acc=0.0554 | bsr=0.000 | agg=0.15s | det_auroc=0.828 | tpr@5=0.00
round   7 | acc=0.0584 | bsr=0.000 | agg=0.15s | det_auroc=0.844 | tpr@5=0.25
round   8 | acc=0.0609 | bsr=0.000 | agg=0.14s | det_auroc=0.859 | tpr@5=0.25
round   9 | acc=0.0648 | bsr=0.000 | agg=0.14s | det_auroc=0.844 | tpr@5=0.25
round  10 | acc=0.0707 | bsr=0.000 | agg=0.14s | det_auroc=0.781 | tpr@5=0.25
round  11 | acc=0.0780 | bsr=0.000 | agg=0.14s | det_auroc=0.891 | tpr@5=0.25
round  12 | acc=0.0841 | bsr=0.000 | agg=0.13s | det_auroc=0.828 | tpr@5=0.00
round  13 | acc=0.0916 | bsr=0.000 | agg=0.13s | det_auroc=0.812 | tpr@5=0.00
round  14 | acc=0.1020 | bsr=0.000 | agg=0.17s | det_auroc=0.812 | tpr@5=0.50
round  15 | acc=0.1174 | bsr=0.001 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round  16 | acc=0.1371 | bsr=0.002 | agg=0.13s | det_auroc=0.891 | tpr@5=0.50
round  17 | acc=0.1585 | bsr=0.004 | agg=0.13s | det_auroc=0.859 | tpr@5=0.00
round  18 | acc=0.1814 | bsr=0.006 | agg=0.14s | det_auroc=0.875 | tpr@5=0.50
round  19 | acc=0.2120 | bsr=0.012 | agg=0.13s | det_auroc=0.875 | tpr@5=0.50
round  20 | acc=0.2440 | bsr=0.019 | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round  21 | acc=0.2852 | bsr=0.029 | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round  22 | acc=0.3257 | bsr=0.044 | agg=0.13s | det_auroc=0.844 | tpr@5=0.25
round  23 | acc=0.3596 | bsr=0.064 | agg=0.14s | det_auroc=0.922 | tpr@5=0.50
round  24 | acc=0.3870 | bsr=0.093 | agg=0.13s | det_auroc=0.906 | tpr@5=0.00
round  25 | acc=0.4062 | bsr=0.115 | agg=0.13s | det_auroc=0.922 | tpr@5=0.25
round  26 | acc=0.4228 | bsr=0.137 | agg=0.13s | det_auroc=0.906 | tpr@5=0.25
round  27 | acc=0.4354 | bsr=0.151 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
round  28 | acc=0.4532 | bsr=0.165 | agg=0.13s | det_auroc=0.938 | tpr@5=0.50
