device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fedavg attack=constrained_backdoor
round   1 | acc=0.5480 | bsr=0.290 | agg=0.01s
round   2 | acc=0.6552 | bsr=0.061 | agg=0.01s
round   3 | acc=0.7262 | bsr=0.180 | agg=0.01s
round   4 | acc=0.7333 | bsr=0.139 | agg=0.01s
round   5 | acc=0.7565 | bsr=0.313 | agg=0.01s
round   6 | acc=0.7655 | bsr=0.389 | agg=0.01s
round   7 | acc=0.7847 | bsr=0.552 | agg=0.01s
round   8 | acc=0.7886 | bsr=0.674 | agg=0.01s
round   9 | acc=0.7962 | bsr=0.752 | agg=0.01s
round  10 | acc=0.8050 | bsr=0.800 | agg=0.01s
round  11 | acc=0.8074 | bsr=0.825 | agg=0.01s
round  12 | acc=0.8162 | bsr=0.880 | agg=0.01s
round  13 | acc=0.8190 | bsr=0.895 | agg=0.01s
round  14 | acc=0.8217 | bsr=0.898 | agg=0.01s
round  15 | acc=0.8246 | bsr=0.896 | agg=0.01s
round  16 | acc=0.8376 | bsr=0.922 | agg=0.01s
round  17 | acc=0.8367 | bsr=0.906 | agg=0.01s
round  18 | acc=0.8381 | bsr=0.919 | agg=0.01s
round  19 | acc=0.8478 | bsr=0.929 | agg=0.01s
round  20 | acc=0.8493 | bsr=0.932 | agg=0.01s
round  21 | acc=0.8489 | bsr=0.941 | agg=0.01s
round  22 | acc=0.8505 | bsr=0.939 | agg=0.01s
round  23 | acc=0.8555 | bsr=0.940 | agg=0.01s
round  24 | acc=0.8546 | bsr=0.940 | agg=0.01s
round  25 | acc=0.8544 | bsr=0.948 | agg=0.01s
round  26 | acc=0.8587 | bsr=0.947 | agg=0.01s
round  27 | acc=0.8614 | bsr=0.962 | agg=0.01s
round  28 | acc=0.8615 | bsr=0.959 | agg=0.01s
round  29 | acc=0.8639 | bsr=0.965 | agg=0.01s
round  30 | acc=0.8663 | bsr=0.967 | agg=0.01s
round  31 | acc=0.8658 | bsr=0.965 | agg=0.01s
round  32 | acc=0.8675 | bsr=0.969 | agg=0.01s
round  33 | acc=0.8701 | bsr=0.970 | agg=0.01s
round  34 | acc=0.8702 | bsr=0.971 | agg=0.01s
round  35 | acc=0.8703 | bsr=0.976 | agg=0.01s
round  36 | acc=0.8715 | bsr=0.974 | agg=0.01s
round  37 | acc=0.8723 | bsr=0.979 | agg=0.01s
round  38 | acc=0.8754 | bsr=0.980 | agg=0.01s
round  39 | acc=0.8771 | bsr=0.988 | agg=0.01s
round  40 | acc=0.8761 | bsr=0.983 | agg=0.01s
round  41 | acc=0.8783 | bsr=0.984 | agg=0.01s
round  42 | acc=0.8775 | bsr=0.986 | agg=0.01s
round  43 | acc=0.8791 | bsr=0.988 | agg=0.01s
round  44 | acc=0.8815 | bsr=0.987 | agg=0.01s
round  45 | acc=0.8794 | bsr=0.988 | agg=0.01s
round  46 | acc=0.8816 | bsr=0.991 | agg=0.01s
round  47 | acc=0.8798 | bsr=0.991 | agg=0.01s
round  48 | acc=0.8813 | bsr=0.990 | agg=0.01s
round  49 | acc=0.8823 | bsr=0.992 | agg=0.01s
round  50 | acc=0.8825 | bsr=0.993 | agg=0.01s
round  51 | acc=0.8820 | bsr=0.992 | agg=0.01s
round  52 | acc=0.8839 | bsr=0.993 | agg=0.01s
round  53 | acc=0.8849 | bsr=0.994 | agg=0.01s
round  54 | acc=0.8859 | bsr=0.994 | agg=0.01s
round  55 | acc=0.8854 | bsr=0.994 | agg=0.01s
round  56 | acc=0.8860 | bsr=0.994 | agg=0.01s
round  57 | acc=0.8863 | bsr=0.994 | agg=0.01s
round  58 | acc=0.8874 | bsr=0.995 | agg=0.01s
round  59 | acc=0.8877 | bsr=0.997 | agg=0.01s
round  60 | acc=0.8878 | bsr=0.997 | agg=0.01s
