device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=constrained_backdoor
round   1 | acc=0.3861 | bsr=0.469 | agg=0.20s
round   2 | acc=0.6285 | bsr=0.011 | agg=0.19s
round   3 | acc=0.6830 | bsr=0.060 | agg=0.19s
round   4 | acc=0.7298 | bsr=0.027 | agg=0.18s
round   5 | acc=0.7331 | bsr=0.051 | agg=0.18s
round   6 | acc=0.7608 | bsr=0.036 | agg=0.18s
round   7 | acc=0.7675 | bsr=0.037 | agg=0.18s
round   8 | acc=0.7778 | bsr=0.034 | agg=0.19s
round   9 | acc=0.7862 | bsr=0.039 | agg=0.19s
round  10 | acc=0.7937 | bsr=0.035 | agg=0.19s
round  11 | acc=0.7986 | bsr=0.037 | agg=0.20s
round  12 | acc=0.8055 | bsr=0.043 | agg=0.20s
round  13 | acc=0.8111 | bsr=0.046 | agg=0.20s
round  14 | acc=0.8122 | bsr=0.045 | agg=0.19s
round  15 | acc=0.8179 | bsr=0.042 | agg=0.20s
round  16 | acc=0.8259 | bsr=0.047 | agg=0.20s
round  17 | acc=0.8295 | bsr=0.042 | agg=0.19s
round  18 | acc=0.8272 | bsr=0.050 | agg=0.19s
round  19 | acc=0.8395 | bsr=0.049 | agg=0.20s
round  20 | acc=0.8393 | bsr=0.049 | agg=0.19s
round  21 | acc=0.8396 | bsr=0.053 | agg=0.20s
round  22 | acc=0.8435 | bsr=0.048 | agg=0.19s
round  23 | acc=0.8478 | bsr=0.053 | agg=0.19s
round  24 | acc=0.8508 | bsr=0.047 | agg=0.20s
round  25 | acc=0.8505 | bsr=0.055 | agg=0.20s
round  26 | acc=0.8532 | bsr=0.051 | agg=0.20s
round  27 | acc=0.8568 | bsr=0.055 | agg=0.19s
round  28 | acc=0.8571 | bsr=0.057 | agg=0.19s
round  29 | acc=0.8596 | bsr=0.063 | agg=0.19s
round  30 | acc=0.8615 | bsr=0.068 | agg=0.21s
round  31 | acc=0.8614 | bsr=0.057 | agg=0.20s
round  32 | acc=0.8620 | bsr=0.069 | agg=0.21s
round  33 | acc=0.8653 | bsr=0.078 | agg=0.21s
round  34 | acc=0.8652 | bsr=0.074 | agg=0.19s
round  35 | acc=0.8648 | bsr=0.083 | agg=0.20s
round  36 | acc=0.8655 | bsr=0.078 | agg=0.20s
round  37 | acc=0.8667 | bsr=0.091 | agg=0.20s
round  38 | acc=0.8690 | bsr=0.096 | agg=0.21s
round  39 | acc=0.8722 | bsr=0.102 | agg=0.20s
round  40 | acc=0.8723 | bsr=0.102 | agg=0.19s
round  41 | acc=0.8720 | bsr=0.106 | agg=0.19s
round  42 | acc=0.8723 | bsr=0.110 | agg=0.19s
round  43 | acc=0.8747 | bsr=0.122 | agg=0.19s
round  44 | acc=0.8764 | bsr=0.121 | agg=0.19s
round  45 | acc=0.8753 | bsr=0.121 | agg=0.20s
round  46 | acc=0.8775 | bsr=0.145 | agg=0.21s
round  47 | acc=0.8786 | bsr=0.153 | agg=0.21s
round  48 | acc=0.8783 | bsr=0.153 | agg=0.21s
round  49 | acc=0.8797 | bsr=0.164 | agg=0.21s
round  50 | acc=0.8789 | bsr=0.189 | agg=0.21s
round  51 | acc=0.8784 | bsr=0.185 | agg=0.20s
round  52 | acc=0.8814 | bsr=0.204 | agg=0.20s
round  53 | acc=0.8819 | bsr=0.209 | agg=0.21s
round  54 | acc=0.8810 | bsr=0.225 | agg=0.21s
round  55 | acc=0.8812 | bsr=0.234 | agg=0.21s
round  56 | acc=0.8830 | bsr=0.244 | agg=0.19s
round  57 | acc=0.8829 | bsr=0.259 | agg=0.20s
round  58 | acc=0.8849 | bsr=0.280 | agg=0.19s
round  59 | acc=0.8824 | bsr=0.298 | agg=0.20s
round  60 | acc=0.8833 | bsr=0.323 | agg=0.20s
