device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=gaussian
round   1 | acc=0.0485 | bsr=nan | agg=0.17s | det_auroc=0.469 | tpr@5=0.00
round   2 | acc=0.0496 | bsr=nan | agg=0.16s | det_auroc=0.422 | tpr@5=0.00
round   3 | acc=0.0512 | bsr=nan | agg=0.17s | det_auroc=0.250 | tpr@5=0.00
round   4 | acc=0.0520 | bsr=nan | agg=0.17s | det_auroc=0.203 | tpr@5=0.00
round   5 | acc=0.0541 | bsr=nan | agg=0.17s | det_auroc=0.328 | tpr@5=0.00
round   6 | acc=0.0558 | bsr=nan | agg=0.16s | det_auroc=0.438 | tpr@5=0.00
round   7 | acc=0.0590 | bsr=nan | agg=0.15s | det_auroc=0.484 | tpr@5=0.00
round   8 | acc=0.0620 | bsr=nan | agg=0.16s | det_auroc=0.469 | tpr@5=0.00
round   9 | acc=0.0640 | bsr=nan | agg=0.16s | det_auroc=0.266 | tpr@5=0.00
round  10 | acc=0.0673 | bsr=nan | agg=0.16s | det_auroc=0.578 | tpr@5=0.00
round  11 | acc=0.0715 | bsr=nan | agg=0.17s | det_auroc=0.641 | tpr@5=0.00
round  12 | acc=0.0748 | bsr=nan | agg=0.16s | det_auroc=0.547 | tpr@5=0.00
round  13 | acc=0.0777 | bsr=nan | agg=0.16s | det_auroc=0.391 | tpr@5=0.00
round  14 | acc=0.0826 | bsr=nan | agg=0.17s | det_auroc=0.484 | tpr@5=0.00
round  15 | acc=0.0880 | bsr=nan | agg=0.16s | det_auroc=0.578 | tpr@5=0.00
round  16 | acc=0.0935 | bsr=nan | agg=0.17s | det_auroc=0.344 | tpr@5=0.00
round  17 | acc=0.0988 | bsr=nan | agg=0.17s | det_auroc=0.672 | tpr@5=0.00
round  18 | acc=0.1068 | bsr=nan | agg=0.16s | det_auroc=0.125 | tpr@5=0.00
round  19 | acc=0.1171 | bsr=nan | agg=0.15s | det_auroc=0.406 | tpr@5=0.00
round  20 | acc=0.1313 | bsr=nan | agg=0.15s | det_auroc=0.797 | tpr@5=0.00
round  21 | acc=0.1533 | bsr=nan | agg=0.16s | det_auroc=0.438 | tpr@5=0.00
round  22 | acc=0.1798 | bsr=nan | agg=0.17s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.2086 | bsr=nan | agg=0.16s | det_auroc=0.609 | tpr@5=0.00
round  24 | acc=0.2363 | bsr=nan | agg=0.15s | det_auroc=0.578 | tpr@5=0.00
round  25 | acc=0.2641 | bsr=nan | agg=0.16s | det_auroc=0.672 | tpr@5=0.00
round  26 | acc=0.2892 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  27 | acc=0.3118 | bsr=nan | agg=0.17s | det_auroc=0.594 | tpr@5=0.00
round  28 | acc=0.3357 | bsr=nan | agg=0.16s | det_auroc=0.812 | tpr@5=0.00
round  29 | acc=0.3582 | bsr=nan | agg=0.17s | det_auroc=0.578 | tpr@5=0.00
round  30 | acc=0.3828 | bsr=nan | agg=0.16s | det_auroc=0.656 | tpr@5=0.00
round  31 | acc=0.4065 | bsr=nan | agg=0.15s | det_auroc=0.641 | tpr@5=0.00
round  32 | acc=0.4321 | bsr=nan | agg=0.15s | det_auroc=0.719 | tpr@5=0.00
round  33 | acc=0.4558 | bsr=nan | agg=0.16s | det_auroc=0.688 | tpr@5=0.00
round  34 | acc=0.4788 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.00
round  35 | acc=0.5007 | bsr=nan | agg=0.16s | det_auroc=0.609 | tpr@5=0.00
round  36 | acc=0.5169 | bsr=nan | agg=0.16s | det_auroc=0.750 | tpr@5=0.00
round  37 | acc=0.5343 | bsr=nan | agg=0.16s | det_auroc=0.875 | tpr@5=0.00
round  38 | acc=0.5472 | bsr=nan | agg=0.16s | det_auroc=0.750 | tpr@5=0.00
round  39 | acc=0.5613 | bsr=nan | agg=0.16s | det_auroc=0.422 | tpr@5=0.00
round  40 | acc=0.5720 | bsr=nan | agg=0.16s | det_auroc=0.875 | tpr@5=0.00
round  41 | acc=0.5817 | bsr=nan | agg=0.16s | det_auroc=0.781 | tpr@5=0.00
round  42 | acc=0.5873 | bsr=nan | agg=0.15s | det_auroc=0.750 | tpr@5=0.00
round  43 | acc=0.5939 | bsr=nan | agg=0.17s | det_auroc=0.750 | tpr@5=0.00
round  44 | acc=0.6001 | bsr=nan | agg=0.15s | det_auroc=0.688 | tpr@5=0.00
round  45 | acc=0.6083 | bsr=nan | agg=0.16s | det_auroc=0.672 | tpr@5=0.00
round  46 | acc=0.6168 | bsr=nan | agg=0.17s | det_auroc=0.688 | tpr@5=0.00
round  47 | acc=0.6239 | bsr=nan | agg=0.13s | det_auroc=0.688 | tpr@5=0.00
round  48 | acc=0.6317 | bsr=nan | agg=0.17s | det_auroc=0.688 | tpr@5=0.00
round  49 | acc=0.6368 | bsr=nan | agg=0.15s | det_auroc=0.578 | tpr@5=0.00
round  50 | acc=0.6433 | bsr=nan | agg=0.16s | det_auroc=0.703 | tpr@5=0.00
round  51 | acc=0.6473 | bsr=nan | agg=0.15s | det_auroc=0.641 | tpr@5=0.00
round  52 | acc=0.6506 | bsr=nan | agg=0.14s | det_auroc=0.766 | tpr@5=0.00
round  53 | acc=0.6553 | bsr=nan | agg=0.16s | det_auroc=0.484 | tpr@5=0.00
round  54 | acc=0.6572 | bsr=nan | agg=0.16s | det_auroc=0.438 | tpr@5=0.00
round  55 | acc=0.6593 | bsr=nan | agg=0.16s | det_auroc=0.312 | tpr@5=0.00
round  56 | acc=0.6600 | bsr=nan | agg=0.16s | det_auroc=0.625 | tpr@5=0.00
round  57 | acc=0.6626 | bsr=nan | agg=0.16s | det_auroc=0.484 | tpr@5=0.00
round  58 | acc=0.6623 | bsr=nan | agg=0.14s | det_auroc=0.359 | tpr@5=0.00
round  59 | acc=0.6628 | bsr=nan | agg=0.16s | det_auroc=0.562 | tpr@5=0.00
round  60 | acc=0.6642 | bsr=nan | agg=0.15s | det_auroc=0.391 | tpr@5=0.00
